stage,schedule,fill_model,fold,train_start,train_end_exclusive,test_start,test_end_exclusive,param_id,parameter_set,a,b,c,d,direction,selection_mode,composite_score,train_total_pnl_cents,train_daily_sharpe,train_top_trade_removed_pnl_cents,train_profit_factor,train_max_drawdown_cents,train_neighborhood_count,train_consistency_gate_pass,train_top_trade_gate_pass,train_neighborhood_gate_pass,winner_is_top_composite,test_total_pnl_cents,test_daily_sharpe,test_trades,test_win_rate,test_profit_factor,test_max_drawdown_cents,test_top_trade_removed_pnl_cents
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a300_b0.9_c3600_d7200_reversal,a=300s | b=0.9x sigma | c=3600s | d=7200s | reversal,300,0.9,3600,7200,reversal,strict_all_gates,0.5499999999999999,261.4212658691406,3.9709156195557265,164.64386596679685,1.920458457734793,-74.75374206542966,3,True,True,True,True,-371.469835357666,-8.703166562495861,11,0.2727272727272727,0.14475882515714303,-385.00132705688475,-419.4641421508789
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-05,2025-02-01,2025-05-01,2025-05-01,2025-06-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,0.0,613.4158947753905,3.285815489800452,294.1795727539061,1.8525713409247708,-220.36062866210943,3,True,True,True,True,278.8296643066406,7.593559185512506,14,0.6428571428571429,3.148099408300818,-78.47365951538086,209.36292373657227
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-06,2025-03-01,2025-06-01,2025-06-01,2025-07-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,0.3124372050377171,869.5062438964844,4.302147556769792,550.269921875,2.149834904154925,-220.36062866210943,5,True,True,True,True,-128.21129089355466,-1.938432002727111,13,0.38461538461538464,0.6788403833783125,-265.6125015258789,-257.77678558349606
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-07,2025-04-01,2025-07-01,2025-07-01,2025-08-01,a60_b0.9_c900_d14400_continuation,a=60s | b=0.9x sigma | c=900s | d=14400s | continuation,60,0.9,900,14400,continuation,strict_all_gates,0.5252144142719012,920.000439147949,3.9650955520986226,601.2642425537108,2.0923549819194514,-224.90632202148436,3,True,True,True,True,69.93118255615234,2.1039806899175115,14,0.5714285714285714,1.418772445418627,-72.00805450439454,-17.38340698242189
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-08,2025-05-01,2025-08-01,2025-08-01,2025-09-01,a300_b0.3_c1800_d14400_reversal,a=300s | b=0.3x sigma | c=1800s | d=14400s | reversal,300,0.3,1800,14400,reversal,strict_all_gates,1.0859519295954416,516.3903376770019,2.754763478665758,306.2962123107909,1.6138477163819203,-257.80880157470705,5,True,True,True,True,-106.77324432373045,-2.119352746934557,14,0.35714285714285715,0.6984831350500678,-305.12373901367187,-232.48044769287108
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-09,2025-06-01,2025-09-01,2025-09-01,2025-10-01,a300_b0.5_c1800_d14400_reversal,a=300s | b=0.5x sigma | c=1800s | d=14400s | reversal,300,0.5,1800,14400,reversal,strict_all_gates,1.4666709862530412,747.9184133911134,4.635917990523122,537.8242880249024,2.3967145166353667,-192.31284393310546,6,True,True,True,True,176.97223724365233,3.4815938669695625,13,0.46153846153846156,1.8389898707832975,-69.32274566650389,42.10743713378906
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-10,2025-07-01,2025-10-01,2025-10-01,2025-11-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,1.3802788398755936,786.7118103027344,6.522757850322116,652.3465356445313,3.1355314119164976,-107.12923034667978,4,True,True,True,True,-46.670764312744126,-1.1131671355525763,15,0.26666666666666666,0.8224092119396467,-129.26866424560546,-144.1605642700195
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-11,2025-08-01,2025-11-01,2025-11-01,2025-12-01,a120_b0.9_c3600_d7200_reversal,a=120s | b=0.9x sigma | c=3600s | d=7200s | reversal,120,0.9,3600,7200,reversal,strict_all_gates,1.4908638881739207,451.58397415161136,4.827618666361446,337.3471571350098,2.2868144877590924,-141.45084075927733,6,True,True,True,True,40.89976791381835,1.90691179113023,13,0.38461538461538464,1.3437825443593627,-59.255099639892585,-5.6005999755859435
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-12,2025-09-01,2025-12-01,2025-12-01,2026-01-01,a120_b0.3_c1800_d14400_reversal,a=120s | b=0.3x sigma | c=1800s | d=14400s | reversal,120,0.3,1800,14400,reversal,strict_all_gates,1.2399632894572528,552.2867616271973,3.7191095048132126,422.9189921569824,1.8256159253792799,-181.14308990478514,6,True,True,True,True,0.0,0.0,0,0.0,0.0,0.0,0.0
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2026-01,2025-10-01,2026-01-01,2026-01-01,2026-02-01,a300_b0.7_c1800_d14400_reversal,a=300s | b=0.7x sigma | c=1800s | d=14400s | reversal,300,0.7,1800,14400,reversal,strict_all_gates,0.9664486028588859,390.7266381835937,5.185358992117857,266.30961090087885,2.295451924766921,-176.61367919921875,3,True,True,True,True,-54.4992643737793,0.0,1,0.0,0.0,0.0,-54.4992643737793
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2026-02,2025-11-01,2026-02-01,2026-02-01,2026-03-01,a120_b0.7_c3600_d7200_reversal,a=120s | b=0.7x sigma | c=3600s | d=7200s | reversal,120,0.7,3600,7200,reversal,strict_all_gates,0.6877016324592155,181.81350296020508,5.9919689783876615,110.35991653442383,2.990843870350825,-30.69175415039063,3,True,True,True,True,0.0,0.0,0,0.0,0.0,0.0,0.0
2,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2026-03,2025-12-01,2026-03-01,2026-03-01,2026-04-01,a60_b0.5_c900_d14400_reversal,a=60s | b=0.5x sigma | c=900s | d=14400s | reversal,60,0.5,900,14400,reversal,fallback_no_neighbor_gate_survivors,1.1394388688011376,239.09170989990236,15.28036210731341,158.60510833740236,9.130588503207557,-29.406445770263673,0,True,True,False,True,0.0,0.0,0,0.0,0.0,0.0,0.0
2,6m_train_1m_test,mid_dynamic_cost,6m_train_1m_test_2025-07,2025-01-01,2025-07-01,2025-07-01,2025-08-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,1.3898340888070582,967.7734039306642,2.7395951289722307,648.5370819091798,1.6308025565415227,-267.47988601684597,5,True,True,True,True,102.95016601562502,3.169557791028527,14,0.6428571428571429,1.7505335920272524,-30.744477844238283,16.135301818847665
2,6m_train_1m_test,mid_dynamic_cost,6m_train_1m_test_2025-08,2025-02-01,2025-08-01,2025-08-01,2025-09-01,a120_b0.7_c1500_d14400_continuation,a=120s | b=0.7x sigma | c=1500s | d=14400s | continuation,120,0.7,1500,14400,continuation,fallback_no_neighbor_gate_survivors,2.0328509859674195,1157.5920797729493,3.4207389192965416,838.3557577514649,1.8617702529790787,-363.66597839355495,0,True,True,False,True,-65.75430847167968,-2.7244647845957624,12,0.4166666666666667,0.6490747556945836,-72.6272915649414,-119.50975250244139
2,6m_train_1m_test,mid_dynamic_cost,6m_train_1m_test_2025-09,2025-03-01,2025-09-01,2025-09-01,2025-10-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,0.9134111340117266,997.4885223388673,2.8222621626553934,678.2522003173829,1.6845010835900989,-272.8492012023928,4,True,True,True,True,530.5182409667968,12.78915697607857,13,0.7692307692307693,8.970868310113012,-32.699742126464855,396.1529663085937
2,6m_train_1m_test,mid_dynamic_cost,6m_train_1m_test_2025-10,2025-04-01,2025-10-01,2025-10-01,2025-11-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,1.0647150849963951,1573.9546380615238,4.444979648802577,1254.7183160400396,2.29772453800172,-272.8492012023928,5,True,True,True,True,-46.670764312744126,-1.1131671355525763,15,0.26666666666666666,0.8224092119396467,-129.26866424560546,-144.1605642700195
2,6m_train_1m_test,mid_dynamic_cost,6m_train_1m_test_2025-11,2025-05-01,2025-11-01,2025-11-01,2025-12-01,a120_b0.9_c3600_d7200_reversal,a=120s | b=0.9x sigma | c=3600s | d=7200s | reversal,120,0.9,3600,7200,reversal,strict_all_gates,1.3329320974391492,666.7734712219238,3.2283457519918803,536.6918879699707,1.7194542934083883,-141.4508407592774,6,True,True,True,True,40.89976791381835,1.90691179113023,13,0.38461538461538464,1.3437825443593627,-59.255099639892585,-5.6005999755859435
2,6m_train_1m_test,mid_dynamic_cost,6m_train_1m_test_2025-12,2025-06-01,2025-12-01,2025-12-01,2026-01-01,a300_b0.7_c1800_d14400_reversal,a=300s | b=0.7x sigma | c=1800s | d=14400s | reversal,300,0.7,1800,14400,reversal,strict_all_gates,1.4903970925296965,1118.142541809082,3.9052872582547464,908.0484164428711,1.9783736015307618,-269.7533798217775,5,True,True,True,True,0.0,0.0,0,0.0,0.0,0.0,0.0
2,6m_train_1m_test,mid_dynamic_cost,6m_train_1m_test_2026-01,2025-07-01,2026-01-01,2026-01-01,2026-02-01,a120_b0.9_c3600_d7200_reversal,a=120s | b=0.9x sigma | c=3600s | d=7200s | reversal,120,0.9,3600,7200,reversal,strict_all_gates,1.2393598024388512,565.4309658813478,3.986243640580185,451.19414886474624,1.9641520206401335,-141.45084075927738,5,True,True,True,True,46.47609161376954,4.44430520347882,3,0.6666666666666666,2.384959040416087,-33.557737274169924,-29.0037678527832
2,6m_train_1m_test,mid_dynamic_cost,6m_train_1m_test_2026-02,2025-08-01,2026-02-01,2026-02-01,2026-03-01,a300_b0.3_c3600_d14400_reversal,a=300s | b=0.3x sigma | c=3600s | d=14400s | reversal,300,0.3,3600,14400,reversal,strict_all_gates,1.6892621269834671,783.9189787292481,4.027134905688069,649.0541786193849,1.9564105549034523,-217.26204101562496,4,True,True,True,True,0.0,0.0,0,0.0,0.0,0.0,0.0
2,6m_train_1m_test,mid_dynamic_cost,6m_train_1m_test_2026-03,2025-09-01,2026-03-01,2026-03-01,2026-04-01,a300_b0.3_c3600_d14400_reversal,a=300s | b=0.3x sigma | c=3600s | d=14400s | reversal,300,0.3,3600,14400,reversal,strict_all_gates,1.2886293512481035,731.8399995422365,5.183453816134043,596.9751994323732,2.376565667032163,-69.08553894042973,4,True,True,True,True,0.0,0.0,0,0.0,0.0,0.0,0.0
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a300_b0.9_c3600_d7200_reversal,a=300s | b=0.9x sigma | c=3600s | d=7200s | reversal,300,0.9,3600,7200,reversal,strict_all_gates,1.2607979563353495,312.9974365234375,4.748933936929341,213.99765014648438,2.1901021118589,-63.99993896484375,5,True,True,True,True,-355.99937438964844,-8.353308469174097,11,0.2727272727272727,0.15839382289522028,-370.99952697753906,-404.99916076660156
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-05,2025-02-01,2025-05-01,2025-05-01,2025-06-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,0.0,671.0033416748047,3.5940417394267654,350.00343322753906,1.9627034804648356,-215.9992218017578,4,True,True,True,True,297.0020294189453,8.08731996549262,14,0.6428571428571429,3.414674010805312,-72.99880981445312,226.0021209716797
2,3m_train_1m_test,actual_bid_ask,3m_train_1m_test_2025-06,2025-03-01,2025-06-01,2025-06-01,2025-07-01,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation,strict_all_gates,0.5134207087090918,926.0040283203125,4.57940352922684,605.0041198730469,2.2564545974497863,-215.9992218017578,5,True,True,True,True,-109.00115966796875,-1.645412219726281,13,0.38461538461538464,0.7190695296523517,-258.0009460449219,-240.00091552734375
