schedule,fill_model,date,pnl_cents,trades,month,cum_pnl_cents
3m_train_1m_test,actual_bid_ask,2025-04-02,15.000152587890625,1,2025-04,15.000152587890625
3m_train_1m_test,actual_bid_ask,2025-04-03,-22.0001220703125,1,2025-04,-6.999969482421875
3m_train_1m_test,actual_bid_ask,2025-04-04,-145.00045776367188,1,2025-04,-152.00042724609375
3m_train_1m_test,actual_bid_ask,2025-04-07,48.999786376953125,1,2025-04,-103.00064086914062
3m_train_1m_test,actual_bid_ask,2025-04-08,-2.9998779296875,1,2025-04,-106.00051879882812
3m_train_1m_test,actual_bid_ask,2025-04-10,-114.99977111816406,1,2025-04,-221.0002899169922
3m_train_1m_test,actual_bid_ask,2025-04-11,-11.00006103515625,1,2025-04,-232.00035095214844
3m_train_1m_test,actual_bid_ask,2025-04-16,-107.99942016601562,1,2025-04,-339.99977111816406
3m_train_1m_test,actual_bid_ask,2025-04-17,3.000640869140625,1,2025-04,-336.99913024902344
3m_train_1m_test,actual_bid_ask,2025-04-22,-11.00006103515625,1,2025-04,-347.9991912841797
3m_train_1m_test,actual_bid_ask,2025-04-23,-8.00018310546875,1,2025-04,-355.99937438964844
3m_train_1m_test,actual_bid_ask,2025-05-02,43.99986267089844,1,2025-05,-311.99951171875
3m_train_1m_test,actual_bid_ask,2025-05-05,68.00003051757812,1,2025-05,-243.99948120117188
3m_train_1m_test,actual_bid_ask,2025-05-06,-8.00018310546875,1,2025-05,-251.99966430664062
3m_train_1m_test,actual_bid_ask,2025-05-08,62.000274658203125,1,2025-05,-189.9993896484375
3m_train_1m_test,actual_bid_ask,2025-05-09,70.99990844726562,1,2025-05,-118.99948120117188
3m_train_1m_test,actual_bid_ask,2025-05-12,54.000091552734375,1,2025-05,-64.9993896484375
3m_train_1m_test,actual_bid_ask,2025-05-13,34.000396728515625,1,2025-05,-30.998992919921875
3m_train_1m_test,actual_bid_ask,2025-05-15,-1.999664306640625,1,2025-05,-32.9986572265625
3m_train_1m_test,actual_bid_ask,2025-05-16,47.0001220703125,1,2025-05,14.00146484375
3m_train_1m_test,actual_bid_ask,2025-05-19,-36.00006103515625,1,2025-05,-21.99859619140625
3m_train_1m_test,actual_bid_ask,2025-05-20,-7.999420166015625,1,2025-05,-29.998016357421875
3m_train_1m_test,actual_bid_ask,2025-05-21,12.000274658203125,1,2025-05,-17.99774169921875
3m_train_1m_test,actual_bid_ask,2025-05-22,27.9998779296875,1,2025-05,10.00213623046875
3m_train_1m_test,actual_bid_ask,2025-05-23,-68.99948120117188,1,2025-05,-58.997344970703125
3m_train_1m_test,actual_bid_ask,2025-06-02,69.99969482421875,1,2025-06,11.002349853515625
3m_train_1m_test,actual_bid_ask,2025-06-03,-2.9998779296875,1,2025-06,8.002471923828125
3m_train_1m_test,actual_bid_ask,2025-06-04,4.000091552734375,1,2025-06,12.0025634765625
3m_train_1m_test,actual_bid_ask,2025-06-05,12.000274658203125,1,2025-06,24.002838134765625
3m_train_1m_test,actual_bid_ask,2025-06-06,-33.9996337890625,1,2025-06,-9.996795654296875
3m_train_1m_test,actual_bid_ask,2025-06-09,-45.000457763671875,1,2025-06,-54.99725341796875
3m_train_1m_test,actual_bid_ask,2025-06-10,-26.000213623046875,1,2025-06,-80.99746704101562
3m_train_1m_test,actual_bid_ask,2025-06-12,61.99951171875,1,2025-06,-18.997955322265625
3m_train_1m_test,actual_bid_ask,2025-06-13,-215.00015258789062,1,2025-06,-233.99810791015625
3m_train_1m_test,actual_bid_ask,2025-06-17,130.999755859375,1,2025-06,-102.99835205078125
3m_train_1m_test,actual_bid_ask,2025-06-19,-2.9998779296875,1,2025-06,-105.99822998046875
3m_train_1m_test,actual_bid_ask,2025-06-20,-56.999969482421875,1,2025-06,-162.99819946289062
3m_train_1m_test,actual_bid_ask,2025-06-23,-5.00030517578125,1,2025-06,-167.99850463867188
3m_train_1m_test,actual_bid_ask,2025-07-02,88.00048828125,1,2025-07,-79.99801635742188
3m_train_1m_test,actual_bid_ask,2025-07-03,-31.999969482421875,1,2025-07,-111.99798583984375
3m_train_1m_test,actual_bid_ask,2025-07-04,-33.00018310546875,1,2025-07,-144.9981689453125
3m_train_1m_test,actual_bid_ask,2025-07-07,36.00006103515625,1,2025-07,-108.99810791015625
3m_train_1m_test,actual_bid_ask,2025-07-08,13.99993896484375,1,2025-07,-94.9981689453125
3m_train_1m_test,actual_bid_ask,2025-07-09,20.000457763671875,1,2025-07,-74.99771118164062
3m_train_1m_test,actual_bid_ask,2025-07-10,15.999603271484375,1,2025-07,-58.99810791015625
3m_train_1m_test,actual_bid_ask,2025-07-11,-11.00006103515625,1,2025-07,-69.9981689453125
3m_train_1m_test,actual_bid_ask,2025-07-16,50.99945068359375,1,2025-07,-18.99871826171875
3m_train_1m_test,actual_bid_ask,2025-07-17,-15.000152587890625,1,2025-07,-33.998870849609375
3m_train_1m_test,actual_bid_ask,2025-07-21,2.9998779296875,1,2025-07,-30.998992919921875
3m_train_1m_test,actual_bid_ask,2025-07-22,19.000244140625,1,2025-07,-11.998748779296875
3m_train_1m_test,actual_bid_ask,2025-07-23,-59.000396728515625,1,2025-07,-70.9991455078125
3m_train_1m_test,actual_bid_ask,2025-07-24,-9.999847412109375,1,2025-07,-80.99899291992188
3m_train_1m_test,actual_bid_ask,2025-08-01,64.00070190429688,1,2025-08,-16.998291015625
3m_train_1m_test,actual_bid_ask,2025-08-04,127.00042724609375,1,2025-08,110.00213623046875
3m_train_1m_test,actual_bid_ask,2025-08-05,-51.999664306640625,1,2025-08,58.002471923828125
3m_train_1m_test,actual_bid_ask,2025-08-06,-33.00018310546875,1,2025-08,25.002288818359375
3m_train_1m_test,actual_bid_ask,2025-08-07,-9.999847412109375,1,2025-08,15.00244140625
3m_train_1m_test,actual_bid_ask,2025-08-08,-87.99972534179688,1,2025-08,-72.99728393554688
3m_train_1m_test,actual_bid_ask,2025-08-11,-84.99984741210938,1,2025-08,-157.99713134765625
3m_train_1m_test,actual_bid_ask,2025-08-12,-27.9998779296875,1,2025-08,-185.99700927734375
3m_train_1m_test,actual_bid_ask,2025-08-13,41.99981689453125,1,2025-08,-143.9971923828125
3m_train_1m_test,actual_bid_ask,2025-08-15,-16.99981689453125,1,2025-08,-160.99700927734375
3m_train_1m_test,actual_bid_ask,2025-08-18,18.000030517578125,1,2025-08,-142.99697875976562
3m_train_1m_test,actual_bid_ask,2025-08-19,-25.99945068359375,1,2025-08,-168.99642944335938
3m_train_1m_test,actual_bid_ask,2025-08-21,-1.000213623046875,1,2025-08,-169.99664306640625
3m_train_1m_test,actual_bid_ask,2025-08-22,3.99932861328125,1,2025-08,-165.997314453125
