stage,schedule,fill_model,fold,train_start,train_end_exclusive,test_start,test_end_exclusive,param_id,parameter_set,a,b,c,d,direction,total_pnl_cents,trades,daily_sharpe,win_rate,profit_factor,max_drawdown_cents,top_trade_pnl_cents,top_trade_removed_pnl_cents,subfold_1_pnl_cents,subfold_2_pnl_cents,subfold_3_pnl_cents,profitable_train_subfolds,consistency_gate_pass,top_trade_gate_pass,neighborhood_count,neighborhood_gate_pass,survives_base_gates,survives_all_gates,eligible_for_selection,selection_mode,z_sharpe,z_top_trade_removed_pnl,z_profit_factor,z_neighborhood_count,z_drawdown,composite_score,is_winner,winner_is_top_composite,rank,elimination_reason,stage2_source
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c1800_d7200_reversal,a=60s | b=0.3x sigma | c=1800s | d=7200s | reversal,60,0.3,1800,7200,reversal,27.939200000000163,63,0.23250811885814848,0.47619047619047616,1.0364081319904248,-202.17699999999908,69.21859999999988,-41.27939999999972,43.57899999999716,-21.617799999996645,5.977999999999675,2,True,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c1800_d14400_continuation,a=60s | b=0.3x sigma | c=1800s | d=14400s | continuation,60,0.3,1800,14400,continuation,-1.5608000000027928,63,-0.0078459809561365,0.47619047619047616,0.9987665488165468,-404.90680000000293,142.90519999999938,-144.46600000000217,169.07899999999813,-45.11780000000085,-125.52200000000008,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c1800_d14400_reversal,a=60s | b=0.3x sigma | c=1800s | d=14400s | reversal,60,0.3,1800,14400,reversal,-376.56079999999713,63,-1.892428641877009,0.4126984126984127,0.743387100445312,-345.1231999999977,118.21860000000079,-494.7793999999979,-306.9209999999982,-75.11779999999915,5.4780000000001365,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c3600_d1800_continuation,a=60s | b=0.3x sigma | c=3600s | d=1800s | continuation,60,0.3,3600,1800,continuation,-87.55679999999712,63,-1.5725914138737234,0.47619047619047616,0.7711522055502655,-145.03619999999444,31.21860000000034,-118.77539999999746,12.078199999997395,7.3856000000025475,-107.02059999999706,2,True,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c3600_d1800_reversal,a=60s | b=0.3x sigma | c=3600s | d=1800s | reversal,60,0.3,3600,1800,reversal,-290.55680000000285,63,-5.206918052553902,0.30158730158730157,0.4407421950186627,-325.79520000000554,29.403799999998864,-319.9606000000017,-149.9217999999974,-127.61440000000256,-13.020600000002965,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c3600_d7200_continuation,a=60s | b=0.3x sigma | c=3600s | d=7200s | continuation,60,0.3,3600,7200,continuation,-217.55680000000393,63,-1.7663027416493708,0.5079365079365079,0.7602389270324744,-391.2962000000025,69.21859999999988,-286.7754000000038,-293.92180000000144,14.38559999999477,61.97940000000272,2,True,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c3600_d7200_reversal,a=60s | b=0.3x sigma | c=3600s | d=7200s | reversal,60,0.3,3600,7200,reversal,-160.55679999999606,63,-1.3056300037983948,0.42857142857142855,0.8200668464539872,-336.569599999998,46.929,-207.48579999999606,156.0782000000014,-134.6143999999948,-182.0206000000027,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c3600_d14400_continuation,a=60s | b=0.3x sigma | c=3600s | d=14400s | continuation,60,0.3,3600,14400,continuation,202.44320000000076,63,1.028912603490347,0.5396825396825397,1.1763143634363036,-372.40599999999904,141.90519999999887,60.53800000000189,-33.42180000000099,116.3856000000001,119.47940000000159,2,True,True,2,False,True,False,False,strict_all_gates,,,,,,,False,True,,neighborhood_support,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.3_c3600_d14400_reversal,a=60s | b=0.3x sigma | c=3600s | d=14400s | reversal,60,0.3,3600,14400,reversal,-580.5568000000005,63,-2.9517605270634615,0.38095238095238093,0.6314774436114087,-500.0777999999998,91.65680000000074,-672.2136000000013,-104.42179999999892,-236.61440000000002,-239.52060000000156,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c900_d1800_continuation,a=60s | b=0.5x sigma | c=900s | d=1800s | continuation,60,0.5,900,1800,continuation,-233.55859999999223,63,-4.276443280014639,0.38095238095238093,0.49796290715526814,-265.94059999999877,31.21860000000034,-264.77719999999255,-166.9203999999961,-65.61800000000211,-1.0201999999939702,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c900_d1800_reversal,a=60s | b=0.5x sigma | c=900s | d=1800s | reversal,60,0.5,900,1800,reversal,-144.55860000000783,63,-2.6582019542512976,0.38095238095238093,0.6591973520113208,-196.6388000000017,25.902999999999203,-170.46160000000702,29.07959999999613,-54.61799999999792,-119.02020000000603,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c900_d7200_continuation,a=60s | b=0.5x sigma | c=900s | d=7200s | continuation,60,0.5,900,7200,continuation,-333.0585999999926,63,-2.746223750036575,0.4444444444444444,0.6559872781069448,-438.5473999999965,69.21859999999988,-402.2771999999925,47.57960000000347,-115.6180000000021,-265.0201999999941,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c900_d7200_reversal,a=60s | b=0.5x sigma | c=900s | d=7200s | reversal,60,0.5,900,7200,reversal,-45.05860000000733,63,-0.370760664539348,0.5079365079365079,0.9445965851943031,-355.3908000000022,55.557799999999375,-100.6164000000067,-185.4204000000035,-4.61799999999789,144.979799999994,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c900_d14400_continuation,a=60s | b=0.5x sigma | c=900s | d=14400s | continuation,60,0.5,900,14400,continuation,-115.05859999999063,63,-0.5805526957984177,0.47619047619047616,0.9128844721685815,-347.8009999999971,118.21860000000079,-233.2771999999914,118.07960000000614,-150.1180000000006,-83.02019999999614,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c900_d14400_reversal,a=60s | b=0.5x sigma | c=900s | d=14400s | reversal,60,0.5,900,14400,reversal,-263.0586000000095,63,-1.3269062459998537,0.42857142857142855,0.811434312543012,-327.2770000000041,141.90499999999886,-404.96360000000834,-255.9204000000061,29.882000000000573,-37.02020000000388,1,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c1800_d1800_continuation,a=60s | b=0.5x sigma | c=1800s | d=1800s | continuation,60,0.5,1800,1800,continuation,-110.06599999999655,63,-2.020895497992968,0.47619047619047616,0.7193504052954958,-155.88979999999097,23.00379999999909,-133.06979999999564,-50.925000000007856,-30.61879999999558,-28.522199999993123,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
1,3m_train_1m_test,mid_dynamic_cost,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,a60_b0.5_c1800_d1800_reversal,a=60s | b=0.5x sigma | c=1800s | d=1800s | reversal,60,0.5,1800,1800,reversal,-268.06600000000356,63,-4.9254670884777365,0.31746031746031744,0.46510852031966593,-252.1284000000041,32.71899999999898,-300.7850000000025,-86.92499999999217,-89.61880000000446,-91.52220000000689,0,False,False,0,False,False,False,False,strict_all_gates,,,,,,,False,True,,train_subfold_consistency;top_trade_survival,
