stage,param_id,parameter_set,a,b,c,d,direction,stage2_source
2,a60_b0.7_c3600_d5400_reversal,a=60s | b=0.7x sigma | c=3600s | d=5400s | reversal,60,0.7,3600,5400,reversal,refined_from_stage1_gate_survivors
2,a60_b0.7_c3600_d7200_continuation,a=60s | b=0.7x sigma | c=3600s | d=7200s | continuation,60,0.7,3600,7200,continuation,refined_from_stage1_gate_survivors
2,a60_b0.7_c3600_d7200_reversal,a=60s | b=0.7x sigma | c=3600s | d=7200s | reversal,60,0.7,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a60_b0.7_c3600_d9600_reversal,a=60s | b=0.7x sigma | c=3600s | d=9600s | reversal,60,0.7,3600,9600,reversal,refined_from_stage1_gate_survivors
2,a60_b0.7_c3600_d12000_reversal,a=60s | b=0.7x sigma | c=3600s | d=12000s | reversal,60,0.7,3600,12000,reversal,refined_from_stage1_gate_survivors
2,a60_b0.7_c3600_d14400_reversal,a=60s | b=0.7x sigma | c=3600s | d=14400s | reversal,60,0.7,3600,14400,reversal,refined_from_stage1_gate_survivors
2,a60_b0.8_c900_d14400_continuation,a=60s | b=0.8x sigma | c=900s | d=14400s | continuation,60,0.8,900,14400,continuation,refined_from_stage1_gate_survivors
2,a60_b0.8_c3600_d1800_reversal,a=60s | b=0.8x sigma | c=3600s | d=1800s | reversal,60,0.8,3600,1800,reversal,refined_from_stage1_gate_survivors
2,a60_b0.8_c3600_d7200_reversal,a=60s | b=0.8x sigma | c=3600s | d=7200s | reversal,60,0.8,3600,7200,reversal,refined_from_stage1_gate_survivors
2,a60_b0.9_c900_d7200_continuation,a=60s | b=0.9x sigma | c=900s | d=7200s | continuation,60,0.9,900,7200,continuation,refined_from_stage1_gate_survivors
2,a60_b0.9_c900_d9600_continuation,a=60s | b=0.9x sigma | c=900s | d=9600s | continuation,60,0.9,900,9600,continuation,refined_from_stage1_gate_survivors
2,a60_b0.9_c900_d12000_continuation,a=60s | b=0.9x sigma | c=900s | d=12000s | continuation,60,0.9,900,12000,continuation,refined_from_stage1_gate_survivors
2,a60_b0.9_c900_d14400_continuation,a=60s | b=0.9x sigma | c=900s | d=14400s | continuation,60,0.9,900,14400,continuation,refined_from_stage1_gate_survivors
2,a60_b0.9_c900_d14400_reversal,a=60s | b=0.9x sigma | c=900s | d=14400s | reversal,60,0.9,900,14400,reversal,refined_from_stage1_gate_survivors
2,a60_b0.9_c1200_d14400_continuation,a=60s | b=0.9x sigma | c=1200s | d=14400s | continuation,60,0.9,1200,14400,continuation,refined_from_stage1_gate_survivors
2,a60_b0.9_c1500_d14400_continuation,a=60s | b=0.9x sigma | c=1500s | d=14400s | continuation,60,0.9,1500,14400,continuation,refined_from_stage1_gate_survivors
2,a60_b0.9_c1800_d7200_reversal,a=60s | b=0.9x sigma | c=1800s | d=7200s | reversal,60,0.9,1800,7200,reversal,refined_from_stage1_gate_survivors
2,a60_b0.9_c1800_d14400_continuation,a=60s | b=0.9x sigma | c=1800s | d=14400s | continuation,60,0.9,1800,14400,continuation,refined_from_stage1_gate_survivors
2,a60_b0.9_c2400_d7200_reversal,a=60s | b=0.9x sigma | c=2400s | d=7200s | reversal,60,0.9,2400,7200,reversal,refined_from_stage1_gate_survivors
2,a60_b0.9_c3000_d7200_reversal,a=60s | b=0.9x sigma | c=3000s | d=7200s | reversal,60,0.9,3000,7200,reversal,refined_from_stage1_gate_survivors
2,a60_b0.9_c3600_d1800_reversal,a=60s | b=0.9x sigma | c=3600s | d=1800s | reversal,60,0.9,3600,1800,reversal,refined_from_stage1_gate_survivors
