stage,param_id,parameter_set,a,b,c,d,direction,side,side_sign,signal_time_utc,signal_move_cents,signal_sigma_cents,entry_time_utc,entry_time_dubai,entry_dubai_date,exit_time_utc,exit_time_dubai,hold_seconds,source_type,selected_symbol,mid_entry_px,mid_exit_px,mid_dynamic_cost_cents,mid_dynamic_pnl_cents,actual_entry_px,actual_exit_px,actual_pnl_cents,actual_fill_status,actual_entry_side,actual_exit_side,entry_px,exit_px,pnl_cents,fill_status,entry_fill_side,exit_fill_side,fill_model,schedule,fold,train_start,train_end_exclusive,test_start,test_end_exclusive,selected_composite_score,selection_mode
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,long,1,2025-04-01 07:00:51,-6.499999999999773,12.482511390176715,2025-04-01 07:02:51,2025-04-01 11:02:51,2025-04-01,2025-04-01 09:02:51,2025-04-01 13:02:51,7200,parquet_prompt_bid_ask,F:BRN\M25,74.91499999999999,74.63499999999999,2.9966,-30.996600000000115,74.92,74.63,-29.000000000000625,actual_bid_ask,ask,bid,74.91499999999999,74.63499999999999,-30.996600000000115,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,long,1,2025-04-02 07:00:00,-17.99999999999926,14.796676459304287,2025-04-02 07:02:00,2025-04-02 11:02:00,2025-04-02,2025-04-02 09:02:00,2025-04-02 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\M25,74.32499999999999,74.39500000000001,2.9729999999999994,4.027000000002161,74.33,74.39,6.000000000000227,actual_bid_ask,ask,bid,74.32499999999999,74.39500000000001,4.027000000002161,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,long,1,2025-04-03 07:00:00,-27.999999999998693,19.2294012426614,2025-04-03 07:02:00,2025-04-03 11:02:00,2025-04-03,2025-04-03 09:02:00,2025-04-03 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\M25,72.685,72.315,2.9074,-39.90740000000046,72.69,72.31,-37.999999999999545,actual_bid_ask,ask,bid,72.685,72.315,-39.90740000000046,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,long,1,2025-04-04 07:00:00,-30.000000000001137,16.25259204537633,2025-04-04 07:02:00,2025-04-04 11:02:00,2025-04-04,2025-04-04 09:02:00,2025-04-04 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\M25,69.095,67.625,2.7638,-149.7637999999999,69.1,67.62,-147.99999999999898,actual_bid_ask,ask,bid,69.095,67.625,-149.7637999999999,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,long,1,2025-04-07 07:00:00,-30.000000000000426,47.18301387386417,2025-04-07 07:02:00,2025-04-07 11:02:00,2025-04-07,2025-04-07 09:02:00,2025-04-07 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\M25,63.46,63.135000000000005,2.5384,-35.03839999999958,63.47,63.13,-33.99999999999963,actual_bid_ask,ask,bid,63.46,63.135000000000005,-35.03839999999958,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,short,-1,2025-04-08 07:00:00,23.499999999999943,24.27489581814436,2025-04-08 07:02:00,2025-04-08 11:02:00,2025-04-08,2025-04-08 09:02:00,2025-04-08 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\M25,64.88499999999999,64.32499999999999,2.5953999999999997,53.40460000000023,64.88,64.33,54.999999999999716,actual_bid_ask,bid,ask,64.88499999999999,64.32499999999999,53.40460000000023,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,long,1,2025-04-09 07:04:57,-22.49999999999943,44.057316185909656,2025-04-09 07:06:57,2025-04-09 11:06:57,2025-04-09,2025-04-09 09:06:57,2025-04-09 13:06:57,7200,parquet_prompt_bid_ask,F:BRN\M25,61.335,60.96,2.4534000000000002,-39.9534,61.34,60.95,-39.00000000000006,actual_bid_ask,ask,bid,61.335,60.96,-39.9534,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,long,1,2025-04-10 07:02:49,-20.999999999997954,31.556429246550998,2025-04-10 07:04:49,2025-04-10 11:04:49,2025-04-10,2025-04-10 09:04:49,2025-04-10 13:04:49,7200,parquet_prompt_bid_ask,F:BRN\M25,64.9,63.215,2.596,-171.09600000000023,64.91,63.21,-169.99999999999957,actual_bid_ask,ask,bid,64.9,63.215,-171.09600000000023,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,short,-1,2025-04-11 07:00:00,18.50000000000165,23.84062971792765,2025-04-11 07:02:00,2025-04-11 11:02:00,2025-04-11,2025-04-11 09:02:00,2025-04-11 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\M25,63.985,63.495000000000005,2.5594,46.44059999999949,63.98,63.5,47.99999999999969,actual_bid_ask,bid,ask,63.985,63.495000000000005,46.44059999999949,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,long,1,2025-04-14 07:00:00,-16.99999999999875,17.277305366041553,2025-04-14 07:02:00,2025-04-14 11:02:00,2025-04-14,2025-04-14 09:02:00,2025-04-14 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\M25,64.63,65.265,2.5852,60.91480000000051,64.64,65.26,62.000000000000455,actual_bid_ask,ask,bid,64.63,65.265,60.91480000000051,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
2,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal,short,-1,2025-04-15 07:00:00,8.00000000000125,15.830466471485485,2025-04-15 07:02:00,2025-04-15 11:02:00,2025-04-15,2025-04-15 09:02:00,2025-04-15 13:02:00,7200,parquet_prompt_bid_ask,F:BRN\M25,65.25999999999999,64.785,2.6104,44.88959999999943,65.25,64.79,45.999999999999375,actual_bid_ask,bid,ask,65.25999999999999,64.785,44.88959999999943,mid_dynamic_cost,mid,mid,mid_dynamic_cost,3m_train_1m_test,3m_train_1m_test_2025-04,2025-01-01,2025-04-01,2025-04-01,2025-05-01,0.9037028825523405,strict_all_gates
