schedule,model_a_total_pnl_cents,model_b_total_pnl_cents,actual_minus_mid_pnl_cents,model_a_daily_sharpe,model_b_daily_sharpe,model_a_win_month_rate,model_b_win_month_rate,model_a_randomized_entry_p_value,model_b_randomized_entry_p_value,model_a_top_3_trade_removed_pnl_cents,model_b_top_3_trade_removed_pnl_cents
3m_train_1m_test,-1610.7954000000104,-1377.9212000000025,232.87420000000793,-2.5919788123803578,-2.2267541186091284,0.16666666666666666,0.16666666666666666,0.8711288711288712,0.7852147852147852,-2018.6600000000062,-1790.921200000003
6m_train_1m_test,-291.3378000000031,-234.92320000000956,56.41459999999353,-0.9146149077312072,-0.7345355236036984,0.2222222222222222,0.3333333333333333,0.3196803196803197,0.36663336663336665,-578.4108000000019,-526.9232000000084
