schedule,fill_model,month,pnl_cents,trades
3m_train_1m_test,actual_bid_ask,2025-04,-412.00000000000045,21
3m_train_1m_test,actual_bid_ask,2025-05,-70.99999999999653,21
3m_train_1m_test,actual_bid_ask,2025-06,-357.9999999999984,20
3m_train_1m_test,actual_bid_ask,2025-07,-10.999999999999943,23
3m_train_1m_test,actual_bid_ask,2025-08,58.99999999999466,21
3m_train_1m_test,actual_bid_ask,2025-09,-461.0000000000042,22
3m_train_1m_test,actual_bid_ask,2025-10,-23.00000000000182,23
3m_train_1m_test,actual_bid_ask,2025-11,-7.999999999997698,20
3m_train_1m_test,actual_bid_ask,2025-12,-99.92039999999795,22
3m_train_1m_test,actual_bid_ask,2026-01,6.999199999999883,16
3m_train_1m_test,mid_dynamic_cost,2025-04,-438.05220000000287,21
3m_train_1m_test,mid_dynamic_cost,2025-05,-96.5749999999957,21
3m_train_1m_test,mid_dynamic_cost,2025-06,-385.8322000000012,20
3m_train_1m_test,mid_dynamic_cost,2025-07,-41.27260000000058,23
3m_train_1m_test,mid_dynamic_cost,2025-08,29.376199999999958,21
3m_train_1m_test,mid_dynamic_cost,2025-09,-488.9776000000016,22
3m_train_1m_test,mid_dynamic_cost,2025-10,-48.551800000004576,23
3m_train_1m_test,mid_dynamic_cost,2025-11,-47.989000000005575,20
3m_train_1m_test,mid_dynamic_cost,2025-12,-99.92039999999795,22
3m_train_1m_test,mid_dynamic_cost,2026-01,6.999199999999883,16
6m_train_1m_test,actual_bid_ask,2025-07,22.999999999998977,23
6m_train_1m_test,actual_bid_ask,2025-08,58.99999999999466,21
6m_train_1m_test,actual_bid_ask,2025-09,-113.00000000000381,22
6m_train_1m_test,actual_bid_ask,2025-10,38.000000000000256,23
6m_train_1m_test,actual_bid_ask,2025-11,-24.99999999999929,20
6m_train_1m_test,actual_bid_ask,2025-12,-201.9236000000004,22
6m_train_1m_test,actual_bid_ask,2026-01,-14.999599999999994,16
6m_train_1m_test,mid_dynamic_cost,2025-07,-8.777000000000289,23
6m_train_1m_test,mid_dynamic_cost,2025-08,29.376199999999958,21
6m_train_1m_test,mid_dynamic_cost,2025-09,-158.48239999999663,22
6m_train_1m_test,mid_dynamic_cost,2025-10,9.454399999997378,23
6m_train_1m_test,mid_dynamic_cost,2025-11,-47.989000000005575,20
6m_train_1m_test,mid_dynamic_cost,2025-12,-99.92039999999795,22
6m_train_1m_test,mid_dynamic_cost,2026-01,-14.999599999999994,16
