fill_model,entry_time_utc,entry_time_dubai,pnl_cents,cum_pnl_cents,param_id,parameter_set,is_in_sample_visual
actual_bid_ask,2025-01-02 07:10:04,2025-01-02 11:10:04,71.99935913085938,71.99935913085938,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-03 08:26:25,2025-01-03 12:26:25,-25.0,46.999359130859375,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-07 07:15:16,2025-01-07 11:15:16,-80.999755859375,-34.000396728515625,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-10 07:07:59,2025-01-10 11:07:59,140.99960327148438,106.99920654296875,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-13 07:02:10,2025-01-13 11:02:10,-3.000640869140625,103.99856567382812,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-14 07:02:10,2025-01-14 11:02:10,-15.999603271484375,87.99896240234375,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-15 07:07:27,2025-01-15 11:07:27,23.000335693359375,110.99929809570312,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-16 07:06:10,2025-01-16 11:06:10,64.9993896484375,175.99868774414062,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-17 07:04:46,2025-01-17 11:04:46,-20.000457763671875,155.99822998046875,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-20 07:02:00,2025-01-20 11:02:00,-29.999542236328125,125.99868774414062,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-21 07:09:05,2025-01-21 11:09:05,100.0,225.99868774414062,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-22 07:18:01,2025-01-22 11:18:01,-97.0001220703125,128.99856567382812,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
actual_bid_ask,2025-01-23 07:46:46,2025-01-23 11:46:46,55.999755859375,184.99832153320312,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,True
