schedule,fill_model,date,pnl_cents,trades,month
3m_train_1m_test,actual_bid_ask,2025-04-01,-29.000000000000625,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-02,6.000000000000227,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-03,-37.999999999999545,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-04,-147.99999999999898,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-07,-33.99999999999963,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-08,54.999999999999716,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-09,-39.00000000000006,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-10,-169.99999999999957,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-11,47.99999999999969,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-14,62.000000000000455,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-15,45.999999999999375,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-16,-112.00000000000045,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-17,7.9999999999998295,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-21,-46.999999999999886,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-22,-17.99999999999926,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-23,16.99999999999875,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-24,18.999999999999773,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-25,46.999999999999886,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-28,-29.000000000000625,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-29,-50.99999999999909,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-04-30,-5.000000000000426,1,2025-04
3m_train_1m_test,actual_bid_ask,2025-05-01,-47.99999999999969,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-02,-32.99999999999983,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-05,-45.000000000000284,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-06,14.000000000000057,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-07,-4.999999999999716,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-08,-14.999999999999858,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-09,31.000000000000227,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-12,-31.999999999999318,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-13,6.000000000000227,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-14,17.00000000000017,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-15,-15.999999999999659,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-16,-1.999999999999602,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-19,11.000000000001364,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-20,10.999999999999943,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-21,-16.00000000000108,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-22,35.99999999999994,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-23,9.000000000000341,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-26,-31.000000000000227,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-27,10.000000000000853,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-28,-31.000000000000227,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-05-30,57.99999999999983,1,2025-05
3m_train_1m_test,actual_bid_ask,2025-06-02,-89.00000000000006,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-03,7.9999999999998295,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-04,-31.999999999999318,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-05,12.000000000000455,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-06,-32.00000000000074,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-09,-46.000000000000796,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-10,-25.99999999999909,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-11,96.0000000000008,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-12,-57.00000000000074,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-13,-215.00000000000057,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-16,-159.99999999999943,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-17,156.00000000000023,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-18,29.999999999999716,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-19,-3.0000000000001137,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-20,40.00000000000057,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-23,-20.999999999999375,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-24,71.99999999999989,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-25,-50.99999999999909,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-27,-20.000000000000284,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-06-30,-20.000000000000284,1,2025-06
3m_train_1m_test,actual_bid_ask,2025-07-01,-1.0000000000005116,1,2025-07
3m_train_1m_test,actual_bid_ask,2025-07-02,35.99999999999994,1,2025-07
3m_train_1m_test,actual_bid_ask,2025-07-03,3.0000000000001137,1,2025-07
3m_train_1m_test,actual_bid_ask,2025-07-04,23.000000000000398,1,2025-07
3m_train_1m_test,actual_bid_ask,2025-07-07,-50.0,1,2025-07
