schedule,fill_model,total_pnl_cents,daily_sharpe,trades,win_rate,profit_factor,max_drawdown_cents,top_1_trade_removed_pnl_cents,top_3_trade_removed_pnl_cents,top_5_trade_removed_pnl_cents,top_month_removed_pnl_cents,win_month_rate,distinct_parameter_sets,randomized_entry_p_value,bootstrap_mean_trade_ci_low,bootstrap_mean_trade_ci_high,randomized_resamples,test_name,test_value,threshold,pass
6m_train_1m_test,actual_bid_ask,-234.92320000000956,-0.7345355236036984,147,0.48299319727891155,0.8857537021093117,-490.65279999999973,-353.9232000000093,-526.9232000000084,-668.9232000000079,-293.9232000000042,0.3333333333333333,6,0.36663336663336665,-7.266618639455781,4.146646122448776,1000,top_3_trade_removed_pnl,-526.9232000000084,> 0,False
6m_train_1m_test,actual_bid_ask,-234.92320000000956,-0.7345355236036984,147,0.48299319727891155,0.8857537021093117,-490.65279999999973,-353.9232000000093,-526.9232000000084,-668.9232000000079,-293.9232000000042,0.3333333333333333,6,0.36663336663336665,-7.266618639455781,4.146646122448776,1000,top_5_trade_removed_pnl,-668.9232000000079,> 0,False
6m_train_1m_test,actual_bid_ask,-234.92320000000956,-0.7345355236036984,147,0.48299319727891155,0.8857537021093117,-490.65279999999973,-353.9232000000093,-526.9232000000084,-668.9232000000079,-293.9232000000042,0.3333333333333333,6,0.36663336663336665,-7.266618639455781,4.146646122448776,1000,top_month_removed_pnl,-293.9232000000042,> 0,False
6m_train_1m_test,actual_bid_ask,-234.92320000000956,-0.7345355236036984,147,0.48299319727891155,0.8857537021093117,-490.65279999999973,-353.9232000000093,-526.9232000000084,-668.9232000000079,-293.9232000000042,0.3333333333333333,6,0.36663336663336665,-7.266618639455781,4.146646122448776,1000,win_month_rate,0.3333333333333333,>= 0.65,False
6m_train_1m_test,actual_bid_ask,-234.92320000000956,-0.7345355236036984,147,0.48299319727891155,0.8857537021093117,-490.65279999999973,-353.9232000000093,-526.9232000000084,-668.9232000000079,-293.9232000000042,0.3333333333333333,6,0.36663336663336665,-7.266618639455781,4.146646122448776,1000,parameter_stability_distinct_sets,6.0,<= 4,False
6m_train_1m_test,actual_bid_ask,-234.92320000000956,-0.7345355236036984,147,0.48299319727891155,0.8857537021093117,-490.65279999999973,-353.9232000000093,-526.9232000000084,-668.9232000000079,-293.9232000000042,0.3333333333333333,6,0.36663336663336665,-7.266618639455781,4.146646122448776,1000,randomized_entry_p_value,0.36663336663336665,< 0.05,False
6m_train_1m_test,actual_bid_ask,-234.92320000000956,-0.7345355236036984,147,0.48299319727891155,0.8857537021093117,-490.65279999999973,-353.9232000000093,-526.9232000000084,-668.9232000000079,-293.9232000000042,0.3333333333333333,6,0.36663336663336665,-7.266618639455781,4.146646122448776,1000,bootstrap_mean_trade_ci_low,-7.266618639455781,> 0,False
6m_train_1m_test,mid_dynamic_cost,-291.3378000000031,-0.9146149077312072,147,0.46258503401360546,0.8593367155092301,-467.129400000005,-408.75280000000157,-578.4108000000019,-717.4332000000009,-320.71400000000307,0.2222222222222222,7,0.3196803196803197,-7.657848639455835,3.60707993197276,1000,top_1_trade_removed_pnl,-408.75280000000157,> 0,False
6m_train_1m_test,mid_dynamic_cost,-291.3378000000031,-0.9146149077312072,147,0.46258503401360546,0.8593367155092301,-467.129400000005,-408.75280000000157,-578.4108000000019,-717.4332000000009,-320.71400000000307,0.2222222222222222,7,0.3196803196803197,-7.657848639455835,3.60707993197276,1000,top_3_trade_removed_pnl,-578.4108000000019,> 0,False
6m_train_1m_test,mid_dynamic_cost,-291.3378000000031,-0.9146149077312072,147,0.46258503401360546,0.8593367155092301,-467.129400000005,-408.75280000000157,-578.4108000000019,-717.4332000000009,-320.71400000000307,0.2222222222222222,7,0.3196803196803197,-7.657848639455835,3.60707993197276,1000,top_5_trade_removed_pnl,-717.4332000000009,> 0,False
6m_train_1m_test,mid_dynamic_cost,-291.3378000000031,-0.9146149077312072,147,0.46258503401360546,0.8593367155092301,-467.129400000005,-408.75280000000157,-578.4108000000019,-717.4332000000009,-320.71400000000307,0.2222222222222222,7,0.3196803196803197,-7.657848639455835,3.60707993197276,1000,top_month_removed_pnl,-320.71400000000307,> 0,False
6m_train_1m_test,mid_dynamic_cost,-291.3378000000031,-0.9146149077312072,147,0.46258503401360546,0.8593367155092301,-467.129400000005,-408.75280000000157,-578.4108000000019,-717.4332000000009,-320.71400000000307,0.2222222222222222,7,0.3196803196803197,-7.657848639455835,3.60707993197276,1000,win_month_rate,0.2222222222222222,>= 0.65,False
6m_train_1m_test,mid_dynamic_cost,-291.3378000000031,-0.9146149077312072,147,0.46258503401360546,0.8593367155092301,-467.129400000005,-408.75280000000157,-578.4108000000019,-717.4332000000009,-320.71400000000307,0.2222222222222222,7,0.3196803196803197,-7.657848639455835,3.60707993197276,1000,parameter_stability_distinct_sets,7.0,<= 4,False
6m_train_1m_test,mid_dynamic_cost,-291.3378000000031,-0.9146149077312072,147,0.46258503401360546,0.8593367155092301,-467.129400000005,-408.75280000000157,-578.4108000000019,-717.4332000000009,-320.71400000000307,0.2222222222222222,7,0.3196803196803197,-7.657848639455835,3.60707993197276,1000,randomized_entry_p_value,0.3196803196803197,< 0.05,False
6m_train_1m_test,mid_dynamic_cost,-291.3378000000031,-0.9146149077312072,147,0.46258503401360546,0.8593367155092301,-467.129400000005,-408.75280000000157,-578.4108000000019,-717.4332000000009,-320.71400000000307,0.2222222222222222,7,0.3196803196803197,-7.657848639455835,3.60707993197276,1000,bootstrap_mean_trade_ci_low,-7.657848639455835,> 0,False
