date,total_pnl_cents
2026-01-02,26.570799999999913
2026-01-03,0.0
2026-01-05,-41.403200000000055
2026-01-06,71.5428000000002
2026-01-07,-10.39319999999983
2026-01-08,95.5812000000004
2026-01-09,-5.478400000000114
2026-01-10,0.0
2026-01-12,1.4892000000006251
2026-01-13,61.458400000000765
2026-01-14,-115.57479999999954
2026-01-15,54.44960000000003
2026-01-16,44.4680000000006
2026-01-17,0.0
2026-01-19,-1.5207999999994888
2026-01-20,13.460399999999659
2026-01-21,-88.53839999999923
2026-01-22,-62.57639999999943
2026-01-23,53.44399999999952
2026-01-24,0.0
2026-01-26,-10.59199999999983
2026-01-27,-97.55399999999958
2026-01-28,-44.64080000000017
2026-01-29,43.2924000000008
2026-01-30,-47.70800000000028
2026-01-31,0.0
2026-02-02,-77.6368
2026-02-03,-89.61000000000045
2026-02-04,-19.66760000000017
2026-02-05,-57.683199999999715
2026-02-06,-69.71640000000016
2026-02-07,0.0
2026-02-09,-130.69640000000012
2026-02-10,0.0
2026-02-11,-5.7676000000001135
2026-02-12,44.259599999999885
2026-02-13,-54.669999999999604
2026-02-14,0.0
2026-02-16,65.31279999999926
2026-02-17,96.3008000000009
2026-02-18,-200.6788000000004
2026-02-19,-37.825200000000855
2026-02-20,-4.842800000001024
2026-02-21,0.0
2026-02-23,0.0
2026-02-24,0.0
2026-02-25,-74.86239999999988
2026-02-26,-38.816399999999945
2026-02-27,-175.8452000000004
2026-03-02,216.93519999999887
2026-03-03,176.82480000000115
2026-03-04,31.685599999999432
2026-03-05,-131.36680000000013
2026-03-06,155.62560000000033
2026-03-07,0.0
2026-03-09,771.4228000000005
2026-03-10,-191.70959999999954
2026-03-11,-531.4871999999987
2026-03-12,189.99719999999976
2026-03-13,-14.035999999999433
2026-03-14,0.0
2026-03-16,-93.18000000000006
2026-03-17,41.87999999999938
2026-03-18,94.91679999999948
2026-03-19,255.50999999999942
2026-03-20,230.73680000000084
2026-03-21,0.0
2026-03-23,35.48440000000057
2026-03-24,-234.15679999999972
2026-03-25,-89.98879999999994
2026-03-26,164.84119999999976
