date,profit_factor
2026-01-02,0.0
2026-01-03,0.0
2026-01-05,0.0
2026-01-06,0.0
2026-01-07,0.0
2026-01-08,0.0
2026-01-09,0.0
2026-01-10,0.0
2026-01-12,-32.000000000000114
2026-01-13,10.999999999999147
2026-01-14,0.0
2026-01-15,-2.9999999999994884
2026-01-16,0.0
2026-01-17,0.0
2026-01-19,0.0
2026-01-20,0.0
2026-01-21,0.0
2026-01-22,0.0
2026-01-23,0.0
2026-01-24,0.0
2026-01-26,0.0
2026-01-27,0.0
2026-01-28,0.0
2026-01-29,-50.999999999999886
2026-01-30,-1.9999999999989768
2026-01-31,0.0
2026-02-02,-14.999999999999943
2026-02-03,6.252776074688882e-13
2026-02-04,108.00000000000045
2026-02-05,-44.99999999999966
2026-02-06,-29.0
2026-02-07,0.0
2026-02-09,0.0
2026-02-10,0.0
2026-02-11,-22.000000000000682
2026-02-12,0.0
2026-02-13,-14.999999999999943
2026-02-14,0.0
2026-02-16,0.0
2026-02-17,3.9999999999998295
2026-02-18,0.0
2026-02-19,-8.000000000000625
2026-02-20,-40.999999999999034
2026-02-21,0.0
2026-02-23,0.0
2026-02-24,-8.000000000000625
2026-02-25,0.0
2026-02-26,-34.00000000000114
2026-02-27,-21.99999999999926
2026-03-02,0.0
2026-03-03,-18.000000000000057
2026-03-04,-44.00000000000057
2026-03-05,-37.00000000000125
2026-03-06,58.000000000000455
2026-03-07,0.0
2026-03-09,-129.0
2026-03-10,-108.99999999999972
2026-03-11,357.99999999999903
2026-03-12,197.9999999999996
2026-03-13,-81.00000000000102
2026-03-14,0.0
2026-03-16,58.000000000000455
2026-03-17,86.99999999999966
2026-03-18,132.99999999999903
2026-03-19,121.99999999999909
2026-03-20,-92.00000000000097
2026-03-21,0.0
2026-03-23,-32.999999999999204
2026-03-24,132.99999999999903
2026-03-25,303.00000000000074
2026-03-26,0.0
