date,daily_sharpe
2026-01-02,0.0
2026-01-03,0.0
2026-01-05,-105.37760000000011
2026-01-06,48.5483999999998
2026-01-07,15.591599999999971
2026-01-08,0.0
2026-01-09,54.494800000000026
2026-01-10,0.0
2026-01-12,0.0
2026-01-13,3.4200000000002273
2026-01-14,15.380800000000683
2026-01-15,-7.531199999999716
2026-01-16,0.0
2026-01-17,0.0
2026-01-19,0.0
2026-01-20,3.457200000000227
2026-01-21,0.0
2026-01-22,25.450799999999404
2026-01-23,0.0
2026-01-24,0.0
2026-01-26,-18.59119999999966
2026-01-27,12.388000000000568
2026-01-28,-7.653199999999716
2026-01-29,10.254800000000966
2026-01-30,-19.70840000000017
2026-01-31,0.0
2026-02-02,-28.60239999999909
2026-02-03,-114.58560000000045
2026-02-04,-1.6711999999994887
2026-02-05,17.306400000000284
2026-02-06,-39.716000000000456
2026-02-07,0.0
2026-02-09,-56.70200000000062
2026-02-10,0.0
2026-02-11,-4.774399999999602
2026-02-12,-7.739999999999716
2026-02-13,-53.65880000000051
2026-02-14,0.0
2026-02-16,40.312799999999264
2026-02-17,51.29520000000063
2026-02-18,-55.733600000000116
2026-02-19,-44.83719999999875
2026-02-20,14.163600000000171
2026-02-21,0.0
2026-02-23,-90.87679999999955
2026-02-24,35.15359999999954
2026-02-25,-38.85439999999994
2026-02-26,24.19280000000102
2026-02-27,-59.88880000000074
2026-03-02,162.91079999999965
2026-03-03,-471.18599999999924
2026-03-04,-113.33680000000085
2026-03-05,-33.33520000000114
2026-03-06,415.5716000000012
2026-03-07,0.0
2026-03-09,762.4292000000003
2026-03-10,10.298800000000057
2026-03-11,-318.5315999999992
2026-03-12,-250.01160000000078
2026-03-13,-88.04839999999892
2026-03-14,0.0
2026-03-16,78.84359999999982
2026-03-17,-22.149200000000683
2026-03-18,-243.04000000000005
2026-03-19,306.51599999999996
2026-03-20,230.73680000000084
2026-03-21,0.0
2026-03-23,842.5267999999999
2026-03-24,39.88199999999977
2026-03-25,-93.99199999999915
2026-03-26,176.83920000000023
