selector_objective,train_start,train_end,test_start,test_end,selected_params,train_total_pnl_cents,train_sharpe,train_trades,test_total_pnl_cents,test_sharpe,test_trades,test_win_rate,test_max_drawdown_cents
profit_factor,2025-10,2025-12,2026-01,2026-01,a=30s | move=50c/900s | hold=3600s | vol>2x/300s | momentum,30.557599999999965,0.7696485829937336,5,18.64879999999949,4.249161033181492,2,1.0,0.0
profit_factor,2025-11,2026-01,2026-02,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum,33.55359999999992,1.1513580757210256,8,-152.93280000000152,-8.818587408742879,9,0.1111111111111111,-152.93280000000155
profit_factor,2025-12,2026-02,2026-03,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum,18.319600000000797,1.8330302779814696,1,476.25719999999865,1.9226955719066003,13,0.6153846153846154,-549.4960000000004
