date,total_pnl_cents,daily_sharpe,profit_factor
2026-01-02,24.999999999999915,0.0,0.0
2026-01-03,0.0,0.0,0.0
2026-01-05,-45.00000000000037,-28.0000000000002,0.0
2026-01-06,10.000000000000057,46.9999999999998,0.0
2026-01-07,24.999999999999915,-3.000000000000199,0.0
2026-01-08,21.0,0.0,0.0
2026-01-09,-18.000000000000057,9.000000000000256,0.0
2026-01-10,0.0,0.0,0.0
2026-01-12,12.00000000000037,-48.00000000000048,-32.000000000000114
2026-01-13,-10.000000000000227,-9.000000000000426,10.999999999999147
2026-01-14,-23.000000000001194,-10.000000000000227,0.0
2026-01-15,81.00000000000085,83.00000000000045,-2.9999999999994884
2026-01-16,5.999999999999432,0.0,0.0
2026-01-17,0.0,0.0,0.0
2026-01-19,-35.00000000000023,34.000000000000256,0.0
2026-01-20,11.999999999999659,2.0000000000002274,0.0
2026-01-21,-7.000000000000114,0.0,0.0
2026-01-22,-7.000000000000114,-23.999999999998863,0.0
2026-01-23,51.99999999999952,0.0,0.0
2026-01-24,0.0,0.0,0.0
2026-01-26,-41.999999999999545,-44.99999999999966,0.0
2026-01-27,24.000000000000824,-22.999999999999773,0.0
2026-01-28,3.9999999999998295,-8.999999999999716,0.0
2026-01-29,-72.00000000000068,9.000000000000966,-50.999999999999886
2026-01-30,-141.99999999999955,91.99999999999937,-1.9999999999989768
2026-01-31,0.0,0.0,0.0
2026-02-02,166.00000000000028,128.99999999999983,-14.999999999999943
2026-02-03,38.00000000000017,-100.99999999999989,6.252776074688882e-13
2026-02-04,10.000000000000057,-43.00000000000006,108.00000000000045
2026-02-05,-77.99999999999949,28.99999999999983,-44.99999999999966
2026-02-06,-129.0,-70.00000000000108,-29.0
2026-02-07,0.0,0.0,0.0
2026-02-09,-132.0000000000001,-58.000000000000625,0.0
2026-02-10,-29.0,-14.999999999999943,0.0
2026-02-11,10.000000000000057,-17.000000000000966,-22.000000000000682
2026-02-12,42.999999999999886,-8.999999999999716,0.0
2026-02-13,-55.9999999999996,-55.00000000000051,-14.999999999999943
2026-02-14,0.0,0.0,0.0
2026-02-16,6.252776074688882e-13,1.0000000000011369,0.0
2026-02-17,95.00000000000091,50.000000000000625,3.9999999999998295
2026-02-18,-202.0000000000004,-57.000000000000114,0.0
2026-02-19,-54.99999999999909,-27.99999999999949,-8.000000000000625
2026-02-20,-14.999999999999943,-69.99999999999966,-40.999999999999034
2026-02-21,0.0,0.0,0.0
2026-02-23,-5.000000000000512,-33.999999999999716,0.0
2026-02-24,-4.0,42.999999999999886,-8.000000000000625
2026-02-25,6.999999999999943,-35.99999999999932,0.0
2026-02-26,-39.99999999999994,23.000000000001023,-34.00000000000114
2026-02-27,-11.99999999999983,-61.00000000000074,-21.99999999999926
2026-03-02,180.99999999999943,186.99999999999966,0.0
2026-03-03,-24.000000000000284,-22.000000000000682,-18.000000000000057
2026-03-04,-185.99999999999932,142.9999999999999,-44.00000000000057
2026-03-05,-183.99999999999972,149.0000000000001,-37.00000000000125
2026-03-06,58.000000000000455,31.999999999999943,58.000000000000455
2026-03-07,0.0,0.0,0.0
2026-03-09,-799.9999999999993,833.9999999999995,-129.0
2026-03-10,-410.0000000000002,11.999999999999659,-108.99999999999972
2026-03-11,-291.00000000000045,-244.99999999999966,357.99999999999903
2026-03-12,547.9999999999995,746.0,197.9999999999996
2026-03-13,53.00000000000074,-39.99999999999994,-81.00000000000102
2026-03-14,0.0,0.0,0.0
2026-03-16,-183.99999999999972,-144.00000000000057,58.000000000000455
2026-03-17,-296.00000000000017,194.9999999999995,86.99999999999966
2026-03-18,131.99999999999994,66.99999999999937,132.99999999999903
2026-03-19,-143.00000000000006,36.99999999999966,121.99999999999909
2026-03-20,166.99999999999937,92.0000000000008,-92.00000000000097
2026-03-21,0.0,0.0,0.0
2026-03-23,-29.99999999999909,-241.00000000000045,-32.999999999999204
2026-03-24,342.9999999999999,327.9999999999993,132.99999999999903
2026-03-25,199.9999999999992,225.99999999999972,303.00000000000074
2026-03-26,1.0000000000011369,158.99999999999955,0.0
