selector_objective,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day
daily_sharpe,1007.8320000000059,14.194816901408533,1.2699135385573415,2.0419146988620747,-893.4739999999979,0.352112676056338,0.7323943661971831,71,52,0.4807692307692308,19.381384615384732,1.4216634584778045,22,30,0.7323943661971831
profit_factor,341.97319999999655,4.816523943661923,0.7735516826692478,0.8829873460673526,-702.4288000000018,0.15492957746478872,0.3380281690140845,71,24,0.4583333333333333,14.248883333333191,1.4248167057975802,5,19,0.3380281690140845
total_pnl_cents,187.2664000000041,2.6375549295775227,0.28529299488167836,0.4135374981320873,-1092.0364,0.352112676056338,0.8028169014084507,71,57,0.43859649122807015,3.285375438596569,1.0657023447981646,25,32,0.8028169014084507
