signal_time,entry_time,exit_time,side,move_cents,signal_volume,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,selector_objective,test_month,selected_params
2026-01-12 03:16:13,2026-01-12 03:16:43,2026-01-12 04:16:43,1,53.999999999999915,309.0,63.33,63.05,-28.000000000000114,4.0,-32.000000000000114,profit_factor,2026-01,a=30s | move=50c/900s | hold=3600s | vol>2x/300s | momentum
2026-01-13 18:53:48,2026-01-13 18:54:18,2026-01-13 19:54:18,1,60.00000000000085,9933.0,64.84,64.99,14.999999999999147,4.0,10.999999999999147,profit_factor,2026-01,a=30s | move=50c/900s | hold=3600s | vol>2x/300s | momentum
2026-01-15 00:15:00,2026-01-15 00:15:30,2026-01-15 01:15:30,-1,-235.99999999999923,12848.0,63.92,63.91,1.0000000000005116,4.0,-2.9999999999994884,profit_factor,2026-01,a=30s | move=50c/900s | hold=3600s | vol>2x/300s | momentum
2026-01-29 20:45:27,2026-01-29 20:45:57,2026-01-29 21:45:57,-1,-50.99999999999909,1638.0,68.45,68.92,-46.999999999999886,4.0,-50.999999999999886,profit_factor,2026-01,a=30s | move=50c/900s | hold=3600s | vol>2x/300s | momentum
2026-01-30 06:20:38,2026-01-30 06:21:08,2026-01-30 07:21:08,-1,-59.00000000000034,1428.0,67.62,67.6,2.000000000001023,4.0,-1.9999999999989768,profit_factor,2026-01,a=30s | move=50c/900s | hold=3600s | vol>2x/300s | momentum
2026-02-02 03:08:21,2026-02-02 03:08:51,2026-02-02 03:23:51,-1,-42.00000000000017,42.0,66.83,66.94,-10.999999999999943,4.0,-14.999999999999943,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-03 02:50:23,2026-02-03 02:50:53,2026-02-03 03:05:53,-1,-35.00000000000085,16.0,65.31,65.27,4.000000000000625,4.0,6.252776074688882e-13,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-04 21:27:00,2026-02-04 21:27:30,2026-02-04 21:42:30,1,34.00000000000034,610.0,67.71,68.83,112.00000000000045,4.0,108.00000000000045,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-05 18:14:18,2026-02-05 18:14:48,2026-02-05 18:29:48,-1,-33.99999999999892,221.0,66.78,67.19,-40.99999999999966,4.0,-44.99999999999966,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-06 12:44:04,2026-02-06 12:44:34,2026-02-06 12:59:34,-1,-37.999999999999545,472.0,67.47,67.72,-25.0,4.0,-29.0,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-11 16:41:54,2026-02-11 16:42:24,2026-02-11 16:57:24,-1,-34.00000000000034,363.0,69.35,69.53,-18.000000000000682,4.0,-22.000000000000682,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-13 15:43:54,2026-02-13 15:44:24,2026-02-13 15:59:24,-1,-35.99999999999994,548.0,66.47,66.58,-10.999999999999943,4.0,-14.999999999999943,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-17 15:05:25,2026-02-17 15:05:55,2026-02-17 15:20:55,1,31.000000000000227,500.0,68.03,68.11,7.9999999999998295,4.0,3.9999999999998295,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-19 19:01:01,2026-02-19 19:01:31,2026-02-19 19:16:31,-1,-32.99999999999983,2509.0,70.86,70.9,-4.000000000000625,4.0,-8.000000000000625,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-20 01:22:02,2026-02-20 01:22:32,2026-02-20 01:37:32,-1,-31.999999999999318,621.0,70.98,71.35,-36.999999999999034,4.0,-40.999999999999034,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-24 19:26:57,2026-02-24 19:27:27,2026-02-24 19:42:27,-1,-30.999999999998806,1454.0,70.97,71.01,-4.000000000000625,4.0,-8.000000000000625,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-26 22:08:25,2026-02-26 22:08:55,2026-02-26 22:23:55,1,32.00000000000074,2742.0,71.93,71.63,-30.000000000001137,4.0,-34.00000000000114,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-02-27 19:34:44,2026-02-27 19:35:14,2026-02-27 19:50:14,-1,-30.999999999998806,4198.0,72.48,72.66,-17.99999999999926,4.0,-21.99999999999926,profit_factor,2026-02,a=30s | move=30c/30s | hold=900s | vol>2x/300s | momentum
2026-03-03 05:00:02,2026-03-03 05:00:03,2026-03-03 06:00:03,1,75.0,847.0,78.75,78.61,-14.000000000000057,4.0,-18.000000000000057,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-04 05:01:13,2026-03-04 05:01:14,2026-03-04 06:01:14,-1,-80.00000000000114,685.0,81.64,82.04,-40.00000000000057,4.0,-44.00000000000057,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-05 10:50:25,2026-03-05 10:50:26,2026-03-05 11:50:26,-1,-79.00000000000063,1849.0,83.46,83.79,-33.00000000000125,4.0,-37.00000000000125,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-06 00:04:36,2026-03-06 00:04:37,2026-03-06 01:04:37,-1,-90.99999999999966,3684.0,85.12,84.5,62.000000000000455,4.0,58.000000000000455,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
2026-03-09 02:47:41,2026-03-09 02:47:42,2026-03-09 03:47:42,1,75.0,1318.0,108.74,107.49,-125.0,4.0,-129.0,profit_factor,2026-03,a=1s | move=75c/60s | hold=3600s | vol>2x/300s | momentum
