signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,session_bucket,side,move_cents,signal_volume,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,out_of_frame_category,selector_objective,test_month,selected_params,exclusion_reason
2026-01-05 03:01:04,2026-01-05 07:01:04,2026-01-05 03:01:05,2026-01-05 07:01:05,2026-01-05 06:01:05,2026-01-05 10:01:05,Outside 11:00-24:00 Dubai,-1,-35.00000000000014,115.0,60.22,60.46,-24.0000000000002,2.4088,-26.4088000000002,Excluded: before 11:00 Dubai,daily_sharpe,2026-01,a=1s | move=20c/60s | hold=10800s | vol off | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-07 05:00:00,2026-01-07 09:00:00,2026-01-07 05:00:01,2026-01-07 09:00:01,2026-01-07 08:00:01,2026-01-07 12:00:01,Outside 11:00-24:00 Dubai,-1,-35.00000000000014,189.0,59.72,59.71,0.999999999999801,2.3888,-1.3888000000001988,Excluded: before 11:00 Dubai,daily_sharpe,2026-01,a=1s | move=20c/60s | hold=10800s | vol off | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-09 05:00:06,2026-01-09 09:00:06,2026-01-09 05:00:07,2026-01-09 09:00:07,2026-01-09 08:00:07,2026-01-09 12:00:07,Outside 11:00-24:00 Dubai,-1,-21.000000000000085,111.0,61.96,61.83,13.000000000000256,2.4784,10.521600000000255,Excluded: before 11:00 Dubai,daily_sharpe,2026-01,a=1s | move=20c/60s | hold=10800s | vol off | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-12 03:02:36,2026-01-12 07:02:36,2026-01-12 03:02:37,2026-01-12 07:02:37,2026-01-12 06:02:37,2026-01-12 10:02:37,Outside 11:00-24:00 Dubai,1,21.999999999999886,58.0,62.99,62.55,-44.00000000000048,2.5196,-46.51960000000048,Excluded: before 11:00 Dubai,daily_sharpe,2026-01,a=1s | move=20c/60s | hold=10800s | vol off | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-13 01:48:20,2026-01-13 05:48:20,2026-01-13 01:48:21,2026-01-13 05:48:21,2026-01-13 04:48:21,2026-01-13 08:48:21,Outside 11:00-24:00 Dubai,1,20.000000000000284,220.0,63.59,63.54,-5.000000000000426,2.5436,-7.543600000000426,Excluded: before 11:00 Dubai,daily_sharpe,2026-01,a=1s | move=20c/60s | hold=10800s | vol off | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-14 05:00:48,2026-01-14 09:00:48,2026-01-14 05:00:49,2026-01-14 09:00:49,2026-01-14 08:00:49,2026-01-14 12:00:49,Outside 11:00-24:00 Dubai,-1,-20.000000000000284,222.0,64.52,64.58,-6.000000000000227,2.5808,-8.580800000000227,Excluded: before 11:00 Dubai,daily_sharpe,2026-01,a=1s | move=20c/60s | hold=10800s | vol off | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-15 00:02:09,2026-01-15 04:02:09,2026-01-15 00:02:10,2026-01-15 04:02:10,2026-01-15 03:02:10,2026-01-15 07:02:10,Outside 11:00-24:00 Dubai,-1,-23.000000000000398,382.0,65.45,64.58,87.00000000000045,2.6180000000000003,84.38200000000046,Excluded: before 11:00 Dubai,daily_sharpe,2026-01,a=1s | move=20c/60s | hold=10800s | vol off | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-19 03:01:01,2026-01-19 07:01:01,2026-01-19 03:01:02,2026-01-19 07:01:02,2026-01-19 06:01:02,2026-01-19 10:01:02,Outside 11:00-24:00 Dubai,1,26.999999999999602,38.0,63.08,63.46,38.000000000000256,2.5232,35.47680000000025,Excluded: before 11:00 Dubai,daily_sharpe,2026-01,a=1s | move=20c/60s | hold=10800s | vol off | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-22 05:00:03,2026-01-22 09:00:03,2026-01-22 05:00:04,2026-01-22 09:00:04,2026-01-22 08:00:04,2026-01-22 12:00:04,Outside 11:00-24:00 Dubai,-1,-20.000000000000284,48.0,64.43,64.63,-19.999999999998863,2.5772000000000004,-22.577199999998864,Excluded: before 11:00 Dubai,daily_sharpe,2026-01,a=1s | move=20c/60s | hold=10800s | vol off | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-26 03:01:00,2026-01-26 07:01:00,2026-01-26 03:01:01,2026-01-26 07:01:01,2026-01-26 06:01:01,2026-01-26 10:01:01,Outside 11:00-24:00 Dubai,-1,-75.0,24.0,64.19,64.6,-40.99999999999966,2.5676,-43.56759999999966,Excluded: before 11:00 Dubai,daily_sharpe,2026-01,a=1s | move=20c/60s | hold=10800s | vol off | momentum,Signal outside 11:00-24:00 Dubai tradable window
2026-01-27 00:20:12,2026-01-27 04:20:12,2026-01-27 00:20:13,2026-01-27 04:20:13,2026-01-27 03:20:13,2026-01-27 07:20:13,Outside 11:00-24:00 Dubai,-1,-22.999999999998977,191.0,64.22,64.41,-18.999999999999773,2.5688,-21.568799999999772,Excluded: before 11:00 Dubai,daily_sharpe,2026-01,a=1s | move=20c/60s | hold=10800s | vol off | momentum,Signal outside 11:00-24:00 Dubai tradable window
