date,daily_pnl_cents
2025-10-01,35.369199999999545
2025-10-02,0.0
2025-10-03,0.0
2025-10-04,0.0
2025-10-06,0.0
2025-10-07,-108.58680000000022
2025-10-08,0.0
2025-10-09,0.0
2025-10-10,75.47760000000011
2025-10-11,0.0
2025-10-13,0.0
2025-10-14,0.0
2025-10-15,0.0
2025-10-16,0.0
2025-10-17,0.0
2025-10-18,0.0
2025-10-20,0.0
2025-10-21,-85.41359999999983
2025-10-22,0.0
2025-10-23,0.0
2025-10-24,0.0
2025-10-25,0.0
2025-10-27,0.0
2025-10-28,-31.555999999999916
2025-10-29,0.0
2025-10-30,0.0
2025-10-31,-34.59959999999932
2025-11-01,0.0
2025-11-03,0.0
2025-11-04,0.0
2025-11-05,0.0
2025-11-06,0.0
2025-11-07,0.0
2025-11-08,0.0
2025-11-10,0.0
2025-11-11,0.0
2025-11-12,0.0
2025-11-13,0.0
2025-11-14,-76.54760000000091
2025-11-15,0.0
2025-11-17,0.0
2025-11-18,0.0
2025-11-19,0.0
2025-11-20,0.0
2025-11-21,-63.51599999999994
2025-11-22,0.0
2025-11-24,0.0
2025-11-25,-11.460799999999631
2025-11-26,0.0
2025-11-27,0.0
2025-11-28,0.0
2025-12-01,0.0
2025-12-02,0.0
2025-12-03,0.0
2025-12-04,0.0
2025-12-05,0.0
2025-12-06,0.0
2025-12-08,0.0
2025-12-09,0.0
2025-12-10,0.0
2025-12-11,0.0
2025-12-12,0.0
2025-12-13,0.0
2025-12-15,0.0
2025-12-16,0.0
2025-12-17,0.0
2025-12-18,0.0
2025-12-19,0.0
2025-12-20,0.0
2025-12-22,0.0
2025-12-23,0.0
2025-12-24,0.0
2025-12-26,0.0
2025-12-27,0.0
2025-12-29,0.0
2025-12-30,0.0
2025-12-31,0.0
2026-01-02,0.0
2026-01-03,0.0
2026-01-05,0.0
2026-01-06,0.0
2026-01-07,0.0
2026-01-08,0.0
2026-01-09,0.0
2026-01-10,0.0
2026-01-12,0.0
2026-01-13,0.0
2026-01-14,50.40839999999869
2026-01-15,0.0
2026-01-16,0.0
2026-01-17,0.0
2026-01-19,0.0
2026-01-20,0.0
2026-01-21,0.0
2026-01-22,0.0
2026-01-23,0.0
2026-01-24,0.0
2026-01-26,0.0
2026-01-27,84.39600000000046
2026-01-28,0.0
2026-01-29,0.0
2026-01-30,18.285199999999374
2026-01-31,0.0
2026-02-02,-81.59880000000062
2026-02-03,0.0
2026-02-04,0.0
2026-02-05,16.308400000001193
2026-02-06,0.0
2026-02-07,0.0
2026-02-09,78.29880000000023
2026-02-10,0.0
2026-02-11,0.0
2026-02-12,0.0
2026-02-13,-77.662
2026-02-14,0.0
2026-02-16,0.0
2026-02-17,5.32400000000125
2026-02-18,0.0
2026-02-19,0.0
2026-02-20,0.0
2026-02-21,0.0
2026-02-23,0.0
2026-02-24,0.0
2026-02-25,0.0
2026-02-26,88.20040000000108
2026-02-27,0.0
2026-03-02,162.91079999999965
2026-03-03,-471.18599999999924
2026-03-04,-113.33680000000085
2026-03-05,-33.33520000000114
2026-03-06,415.5716000000012
2026-03-07,0.0
2026-03-09,762.4292000000003
2026-03-10,10.298800000000057
2026-03-11,-318.5315999999992
2026-03-12,-250.01160000000078
2026-03-13,-88.04839999999892
2026-03-14,0.0
2026-03-16,78.84359999999982
2026-03-17,-22.149200000000683
2026-03-18,-243.04000000000005
2026-03-19,306.51599999999996
2026-03-20,230.73680000000084
2026-03-21,0.0
2026-03-23,842.5267999999999
2026-03-24,39.88199999999977
2026-03-25,-93.99199999999915
2026-03-26,176.83920000000023
