label,delay_s,threshold_cents,lookback_s,hold_s,volume_window_s,volume_multiple,direction,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day
a=7s | move=77.5c/75s | hold=16200s | vol off | momentum,7,77.5,75,16200,300,0.0,momentum,4779.999999999997,4779.999999999997,67.3239436619718,4.92100878956677,18.3008559795905,-142.99999999999818,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,227.61904761904748,33.08053691275165,8,13,0.29577464788732394
a=3s | move=77.5c/75s | hold=16200s | vol off | momentum,3,77.5,75,16200,300,0.0,momentum,4768.000000000002,4768.000000000002,67.15492957746481,4.893029997532724,18.15141915733022,-147.9999999999991,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,227.04761904761912,30.61490683229805,8,13,0.29577464788732394
a=7s | move=75c/75s | hold=16200s | vol off | momentum,7,75.0,75,16200,300,0.0,momentum,4764.999999999998,4764.999999999998,67.112676056338,4.927985554715774,19.547995580637103,-142.99999999999818,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,226.9047619047618,30.78124999999999,8,13,0.29577464788732394
a=10s | move=77.5c/75s | hold=16200s | vol off | momentum,10,77.5,75,16200,300,0.0,momentum,4757.000000000002,4757.000000000002,67.00000000000003,4.910589465192124,18.170223420896065,-144.99999999999955,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,226.52380952380958,33.582191780821944,8,13,0.29577464788732394
a=10s | move=85c/75s | hold=16200s | vol off | momentum,10,85.0,75,16200,300,0.0,momentum,4753.000000000002,4753.000000000002,66.943661971831,4.964200433224046,30.67105069158302,-49.999999999999545,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,226.33333333333343,94.19607843137209,8,13,0.29577464788732394
a=7s | move=85c/75s | hold=16200s | vol off | momentum,7,85.0,75,16200,300,0.0,momentum,4751.000000000001,4751.000000000001,66.9154929577465,4.93578201742892,31.962746618932652,-52.999999999999545,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,226.23809523809524,81.52542372881149,8,13,0.29577464788732394
a=7s | move=72.5c/75s | hold=16200s | vol off | momentum,7,72.5,75,16200,300,0.0,momentum,4733.999999999999,4733.999999999999,66.67605633802816,4.888559475217099,23.70521515338805,-142.99999999999818,0.2535211267605634,0.30985915492957744,71,22,0.8181818181818182,215.1818181818181,23.98058252427182,8,14,0.30985915492957744
a=7s | move=80c/75s | hold=16200s | vol off | momentum,7,80.0,75,16200,300,0.0,momentum,4728.999999999997,4728.999999999997,66.60563380281687,4.8696922042004385,18.336456430544516,-146.9999999999991,0.2535211267605634,0.29577464788732394,71,21,0.8571428571428571,225.1904761904761,31.90849673202599,8,13,0.29577464788732394
a=1s | move=75c/75s | hold=16200s | vol off | momentum,1,75.0,75,16200,300,0.0,momentum,4725.000000000002,4725.000000000002,66.54929577464792,4.892520007820688,13.962878361858705,-158.9999999999991,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,225.00000000000014,30.716981132075468,8,13,0.29577464788732394
a=3s | move=85c/75s | hold=16200s | vol off | momentum,3,85.0,75,16200,300,0.0,momentum,4724.000000000002,4724.000000000002,66.53521126760566,4.9235229286683575,43.932699656470426,-46.99999999999909,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,224.95238095238105,79.73333333333255,8,13,0.29577464788732394
a=3s | move=75c/75s | hold=16200s | vol off | momentum,3,75.0,75,16200,300,0.0,momentum,4721.000000000003,4721.000000000003,66.49295774647891,4.8892949571354105,15.880459565141717,-147.9999999999991,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,224.80952380952394,32.89864864864863,8,13,0.29577464788732394
a=30s | move=85c/75s | hold=16200s | vol off | momentum,30,85.0,75,16200,300,0.0,momentum,4719.000000000001,4719.000000000001,66.46478873239438,4.829581093746617,26.177733444308387,-69.99999999999955,0.2676056338028169,0.29577464788732394,71,21,0.9047619047619048,224.71428571428575,57.855421686746304,8,13,0.29577464788732394
a=5s | move=77.5c/75s | hold=16200s | vol off | momentum,5,77.5,75,16200,300,0.0,momentum,4718.000000000002,4718.000000000002,66.45070422535214,4.830808162762843,20.633917140639728,-142.99999999999955,0.23943661971830985,0.29577464788732394,71,21,0.8095238095238095,224.66666666666674,29.944785276073475,8,13,0.29577464788732394
a=7s | move=70c/75s | hold=16200s | vol off | momentum,7,70.0,75,16200,300,0.0,momentum,4713.999999999999,4713.999999999999,66.39436619718309,4.864162645800887,22.51801653665641,-151.99999999999864,0.23943661971830985,0.30985915492957744,71,22,0.7727272727272727,214.27272727272722,21.318965517241374,9,13,0.30985915492957744
