params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=120s | move=1x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,1.0,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,0.0,0.0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.75,1800,3600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-23.15839999999926,-0.8577185185184911,-1.7343574779751338,0.0,-37.59999999999943,0.037037037037037035,0.07407407407407407,27,2,0.5,-11.57919999999963,0.3840851063829788,1,1,0.07407407407407407,0,1,0.0,0.0,0.0,14.44160000000017,0.6236009396158901,-37.59999999999943,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.55,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,-28.162799999999688,-1.043066666666655,-1.7417385645939558,0.0,-45.56639999999997,0.037037037037037035,0.07407407407407407,27,2,0.5,-14.081399999999844,0.38193932371220707,1,1,0.07407407407407407,0,1,0.0,0.0,0.0,17.403600000000285,0.6179641228855255,-45.56639999999997,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.4,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,-52.832800000000574,-1.9567703703703916,-2.4666596870074704,-1.2208982986420134,-81.16200000000123,0.1111111111111111,0.18518518518518517,27,5,0.6,-10.566560000000115,0.34904511963726714,4,1,0.18518518518518517,0,1,0.0,0.0,0.0,12.445600000000567,0.23556578489121213,-65.27840000000114,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.25,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-102.84599999999915,-3.8091111111110796,-3.4658341973349898,-1.7421862954532883,-126.66319999999978,0.07407407407407407,0.18518518518518517,27,5,0.4,-20.56919999999983,0.18803567255525266,0,5,0.18518518518518517,0,1,0.0,0.0,0.0,23.42280000000051,0.22774633918675208,-126.26879999999966,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.55,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-61.16279999999881,-2.2652888888888447,-3.4706384573695406,-1.1048361813105891,-61.16279999999881,0.0,0.07407407407407407,27,2,0.0,-30.581399999999405,0.0,1,1,0.07407407407407407,0,1,0.0,0.0,0.0,0.0,0.0,-61.16279999999881,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.25x percent_to_dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.25,1800,3600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,-88.84600000000121,-3.2905925925926374,-3.7978392506229937,-1.7391920838977748,-89.73400000000144,0.037037037037037035,0.18518518518518517,27,5,0.2,-17.769200000000243,0.09612716033808051,5,0,0.18518518518518517,0,1,0.0,0.0,0.0,9.448799999999745,0.10635031402651347,-98.29480000000096,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.75,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-88.15839999999912,-3.265125925925893,-4.037893622531734,-1.9789073700089643,-88.15839999999912,0.0,0.07407407407407407,27,2,0.0,-44.07919999999956,0.0,1,1,0.07407407407407407,0,1,0.0,0.0,0.0,0.0,0.0,-88.15839999999912,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.4x percent_to_dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.4,1800,21600,63,percent_to_dollar,continuation,exit_by_midnight,-inf,-217.2591999999986,-8.046637037036986,-5.274865458165672,-7.414257261432975,-217.2591999999986,0.037037037037037035,0.14814814814814814,27,4,0.25,-54.31479999999965,0.019975857918984787,0,4,0.14814814814814814,0,1,0.0,0.0,0.0,4.428400000000739,0.02038302635746043,-221.68759999999935,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.75x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.75,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,4.219795651250816,192.3191999999997,3.7709647058823474,3.3060303967015034,0.0,-39.45879999999974,0.0784313725490196,0.09803921568627451,51,5,0.8,38.46383999999994,5.873924194349425,3,2,0.09803921568627451,2,2,1.0,114.47760000000059,0.5952479003656461,77.48399999999971,0.4028926909013756,114.8352,robust_percent_all,Robust percent-vol: all directions,robust_stability_score,2025-10-01,2025-11-30,2025-12-01,2025-12-31
