date,anti_overfit_percent_wf
2025-12-01,0.0
2025-12-02,-10.49480000000054
2025-12-03,0.0
2025-12-04,0.0
2025-12-05,0.0
2025-12-06,0.0
2025-12-08,0.0
2025-12-09,0.0
2025-12-10,0.0
2025-12-11,0.0
2025-12-12,0.0
2025-12-13,0.0
2025-12-15,0.0
2025-12-16,0.0
2025-12-17,31.606000000000343
2025-12-18,0.0
2025-12-19,0.0
2025-12-20,0.0
2025-12-22,0.0
2025-12-23,0.0
2025-12-24,0.0
2025-12-26,0.0
2025-12-27,0.0
2025-12-29,0.0
2025-12-30,0.0
2025-12-31,0.0
2026-01-02,0.0
2026-01-03,0.0
2026-01-05,-66.40880000000006
2026-01-06,-4.462000000000312
2026-01-07,0.0
2026-01-08,0.0
2026-01-09,28.542400000000228
2026-01-10,0.0
2026-01-12,0.0
2026-01-13,-25.591599999998977
2026-01-14,-78.5884000000005
2026-01-15,-26.5316000000002
2026-01-16,0.0
2026-01-17,0.0
2026-01-19,0.0
2026-01-20,28.431599999999516
2026-01-21,0.0
2026-01-22,0.0
2026-01-23,0.0
2026-01-24,0.0
2026-01-26,0.0
2026-01-27,-16.604800000000058
2026-01-28,0.0
2026-01-29,62.225999999999146
2026-01-30,0.0
2026-01-31,0.0
2026-02-02,0.0
2026-02-03,92.40320000000028
2026-02-04,0.0
2026-02-05,18.339999999999375
2026-02-06,114.33640000000017
2026-02-07,0.0
2026-02-09,-8.721599999998807
2026-02-10,0.0
2026-02-11,0.0
2026-02-12,0.0
2026-02-13,39.33800000000017
2026-02-14,0.0
2026-02-16,0.0
2026-02-17,-55.676000000000116
2026-02-18,0.0
2026-02-19,51.17560000000063
2026-02-20,0.0
2026-02-21,0.0
2026-02-23,0.0
2026-02-24,6.172400000000341
2026-02-25,0.0
2026-02-26,-172.81719999999888
2026-02-27,0.0
2026-03-02,20.905599999999488
2026-03-03,21.8112
2026-03-04,72.70079999999909
2026-03-05,18.638799999999886
2026-03-06,43.60039999999989
2026-03-07,0.0
2026-03-09,640.3671999999989
2026-03-10,-135.76600000000073
2026-03-11,-32.494400000000624
2026-03-12,-103.02559999999949
2026-03-13,12.98200000000017
2026-03-14,0.0
2026-03-16,-217.14799999999954
2026-03-17,-17.150400000000968
2026-03-18,14.955999999999772
2026-03-19,67.51359999999988
2026-03-20,1.7215999999988068
2026-03-21,0.0
2026-03-23,-210.47280000000023
2026-03-24,151.86240000000024
2026-03-25,-86.01160000000074
2026-03-26,-48.23239999999977
