params,delay_s,rarity_percentile,move_window_s,hold_s,signal_mode,bad_hour_rule,trend_filter,vol_filter,time_bucket,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,rare_stability_score,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | trend=up | vol=any | time=any | exit_by_midnight,120,95.0,900,7200,continuation,exit_by_midnight,up,any,any,3.6181462070500956,293.2067999999972,10.859511111111008,3.1492039858830645,3.4733731822451936,-103.54200000000048,0.18518518518518517,0.2962962962962963,27,8,0.625,36.65084999999965,2.5529659266414986,4,4,0.2962962962962963,1,1,1.0,293.2067999999972,1.0,199.4259999999996,0.6801547576659255,93.78079999999761,7,5,0.7142857142857143,6.689574778478667,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 1800s moves | hold=3600s | reversal | trend=down | vol=any | time=any | exit_by_midnight,120,99.0,1800,3600,reversal,exit_by_midnight,down,any,any,4.38658155725437,119.18759999999892,4.414355555555516,3.8438091926875924,0.0,-45.48159999999997,0.18518518518518517,0.2222222222222222,27,6,0.8333333333333334,19.86459999999982,3.620567438260646,4,2,0.2222222222222222,1,1,1.0,119.18759999999892,1.0,60.551600000000256,0.5080360708664392,58.63599999999867,7,3,0.42857142857142855,6.229438700111514,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=any | time=any | exit_by_midnight,120,99.0,1800,7200,reversal,exit_by_midnight,down,any,any,4.38658155725437,119.18759999999892,4.414355555555516,3.8438091926875924,0.0,-45.48159999999997,0.18518518518518517,0.2222222222222222,27,6,0.8333333333333334,19.86459999999982,3.620567438260646,4,2,0.2222222222222222,1,1,1.0,119.18759999999892,1.0,60.551600000000256,0.5080360708664392,58.63599999999867,7,3,0.42857142857142855,6.229438700111514,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 1800s moves | hold=3600s | continuation | trend=up | vol=any | time=any | exit_by_midnight,120,95.0,1800,3600,continuation,exit_by_midnight,up,any,any,3.072161935792041,225.2308000000008,8.341881481481511,2.707044728425376,3.439045745863531,-99.54359999999988,0.18518518518518517,0.2962962962962963,27,8,0.625,28.153850000000098,2.1503246209350757,4,4,0.2962962962962963,1,1,1.0,225.23080000000078,0.9999999999999999,168.4384000000008,0.7478479852666695,56.792400000000015,7,5,0.7142857142857143,6.143590507220612,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 1800s moves | hold=7200s | continuation | trend=up | vol=any | time=any | exit_by_midnight,120,95.0,1800,7200,continuation,exit_by_midnight,up,any,any,3.072161935792041,225.2308000000008,8.341881481481511,2.707044728425376,3.439045745863531,-99.54359999999988,0.18518518518518517,0.2962962962962963,27,8,0.625,28.153850000000098,2.1503246209350757,4,4,0.2962962962962963,1,1,1.0,225.23080000000078,0.9999999999999999,168.4384000000008,0.7478479852666695,56.792400000000015,7,5,0.7142857142857143,6.143590507220612,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 1800s moves | hold=3600s | reversal | trend=any | vol=any | time=late | exit_by_midnight,120,99.0,1800,3600,reversal,exit_by_midnight,any,any,late,2.5405675187457937,115.69799999999937,4.285111111111088,2.1228196819223446,1.4410797643697544,-112.53720000000014,0.2962962962962963,0.4444444444444444,27,12,0.6666666666666666,9.641499999999949,1.6916377931291602,9,3,0.4444444444444444,1,1,1.0,115.6979999999994,1.0000000000000002,67.40560000000029,0.5825995263530974,48.29239999999908,7,5,0.7142857142857143,5.611996090174365,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 1800s moves | hold=7200s | reversal | trend=any | vol=any | time=late | exit_by_midnight,120,99.0,1800,7200,reversal,exit_by_midnight,any,any,late,2.5405675187457937,115.69799999999937,4.285111111111088,2.1228196819223446,1.4410797643697544,-112.53720000000014,0.2962962962962963,0.4444444444444444,27,12,0.6666666666666666,9.641499999999949,1.6916377931291602,9,3,0.4444444444444444,1,1,1.0,115.6979999999994,1.0000000000000002,67.40560000000029,0.5825995263530974,48.29239999999908,7,5,0.7142857142857143,5.611996090174365,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 1800s moves | hold=3600s | reversal | trend=down | vol=any | time=late | exit_by_midnight,120,95.0,1800,3600,reversal,exit_by_midnight,down,any,late,2.521035628628769,85.18280000000014,3.154918518518524,2.205670274689713,2.284103847269048,-80.22519999999997,0.25925925925925924,0.37037037037037035,27,10,0.7,8.518280000000015,1.8321460808946601,5,5,0.37037037037037035,1,1,1.0,85.18280000000014,1.0,63.50600000000037,0.7455260921218868,21.676799999999773,7,5,0.7142857142857143,5.59246420005734,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | trend=down | vol=any | time=late | exit_by_midnight,120,95.0,1800,7200,reversal,exit_by_midnight,down,any,late,2.521035628628769,85.18280000000014,3.154918518518524,2.205670274689713,2.284103847269048,-80.22519999999997,0.25925925925925924,0.37037037037037035,27,10,0.7,8.518280000000015,1.8321460808946601,5,5,0.37037037037037035,1,1,1.0,85.18280000000014,1.0,63.50600000000037,0.7455260921218868,21.676799999999773,7,5,0.7142857142857143,5.59246420005734,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | reversal | trend=any | vol=any | time=late | exit_by_midnight,120,97.5,1800,3600,reversal,exit_by_midnight,any,any,late,2.749796279251594,135.87719999999854,5.032488888888834,2.257432549462645,1.7790694748746705,-121.54080000000049,0.4444444444444444,0.6296296296296297,27,17,0.7058823529411765,7.992776470588146,1.6360529824140766,11,6,0.6296296296296297,1,1,1.0,135.87719999999848,0.9999999999999996,67.40560000000029,0.4960773404220945,68.47159999999825,11,5,0.45454545454545453,5.431614461069776,regime_rare_move_wf,Regime-gated rare move walk-forward,regime_rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
