params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,removed_top_win_cents,deflated_total_pnl_cents,deflated_daily_sharpe,deflated_max_drawdown_cents,deflated_trades,deflated_win_rate,deflated_profit_factor,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,anti_overfit_score,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=180s | move=0.5x percent_to_dollar sigma (63D)/1800s | hold=14400s | reversal | exit_by_midnight,180,0.5,1800,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,70.25120000000011,2.6018962962963004,3.869451310698163,0.0,-7.563999999999716,0.07407407407407407,0.1111111111111111,27,3,0.6666666666666666,23.417066666666702,10.287572712849348,2,1,0.1111111111111111,1,1,1.0,70.25120000000011,1.0,44.40519999999989,0.632091693807363,25.846000000000224,44.40519999999989,25.846000000000224,2.2861938103608472,-7.563999999999716,2,0.5,4.416975145425274,80,59,0.7375,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=90s | move=0.5x percent_to_dollar sigma (63D)/1200s | hold=14400s | reversal | exit_by_midnight,90,0.5,1200,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,46.8323999999996,1.7345333333333186,2.292481873852446,0.0,-13.566399999999943,0.037037037037037035,0.07407407407407407,27,2,0.5,23.4161999999998,4.45208751031927,1,1,0.07407407407407407,1,1,1.0,46.8323999999996,1.0,60.39879999999955,1.2896797943304221,-13.566399999999945,60.39879999999955,-13.566399999999943,-3.0550504633027233,-13.566399999999943,1,0.0,0.0,80,59,0.7375,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.5x percent_to_dollar sigma (63D)/1200s | hold=14400s | reversal | exit_by_midnight,180,0.5,1200,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,55.840399999999946,2.068162962962961,3.378999868281789,0.0,0.0,0.07407407407407407,0.07407407407407407,27,2,1.0,27.920199999999973,inf,1,1,0.07407407407407407,1,1,1.0,55.840399999999946,1.0,50.40280000000011,0.9026224740510483,5.437599999999833,50.40280000000011,5.437599999999829,3.055050463300973,0.0,1,1.0,inf,80,57,0.7125,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.45x percent_to_dollar sigma (63D)/1200s | hold=14400s | reversal | exit_by_midnight,180,0.45,1200,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,123.2559999999988,4.565037037036993,4.0462359786924065,0.0,-7.563999999999723,0.07407407407407407,0.1111111111111111,27,3,0.6666666666666666,41.08533333333293,17.29508196721128,2,1,0.1111111111111111,1,1,1.0,123.2559999999988,1.0,77.41839999999972,0.6281105990783449,45.837599999999085,77.41839999999972,45.83759999999909,2.5826489331289566,-7.563999999999716,2,0.5,7.0599682707553875,80,57,0.7125,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.45x percent_to_dollar sigma (63D)/1800s | hold=14400s | reversal | exit_by_midnight,180,0.45,1800,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,91.70720000000031,3.3965629629629746,4.891725758962192,0.0,-6.563999999999204,0.1111111111111111,0.14814814814814814,27,4,0.75,22.92680000000008,14.971237050578374,3,1,0.14814814814814814,1,1,1.0,91.70720000000031,1.0,44.40519999999989,0.48420625643351595,47.302000000000426,44.40519999999989,47.302000000000426,3.7689904493043,-6.563999999999204,3,0.6666666666666666,8.20627666057251,80,56,0.7,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.75x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,120,0.75,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,71.8379999999996,2.6606666666666516,3.7422007197417857,0.0,0.0,0.07407407407407407,0.07407407407407407,27,2,1.0,35.9189999999998,inf,1,1,0.07407407407407407,1,1,1.0,71.8379999999996,1.0,57.39999999999943,0.7990200172610562,14.438000000000166,57.39999999999943,14.438000000000171,3.055050463302794,0.0,1,1.0,inf,80,56,0.7,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.5x percent_to_dollar sigma (63D)/1200s | hold=14400s | reversal | exit_by_midnight,120,0.5,1200,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,43.83799999999949,1.6236296296296107,2.56354272338296,0.0,-7.564399999999716,0.037037037037037035,0.07407407407407407,27,2,0.5,21.918999999999745,6.795304320236151,1,1,0.07407407407407407,1,1,1.0,43.83799999999949,1.0,51.402399999999204,1.172553492403846,-7.564399999999715,51.402399999999204,-7.564399999999716,-3.0550504633017956,-7.564399999999716,1,0.0,0.0,80,56,0.7,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.5x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,180,0.5,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,129.72159999999985,4.804503703703698,4.874239280774436,0.0,-7.564399999999715,0.1111111111111111,0.14814814814814814,27,4,0.75,32.43039999999996,18.14896092221281,3,1,0.14814814814814814,1,1,1.0,129.72159999999985,1.0,64.42160000000017,0.4966142878287058,65.29999999999968,64.42160000000017,65.29999999999968,3.780809685109843,-7.564399999999716,3,0.6666666666666666,9.632541906825725,80,55,0.6875,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.55x percent_to_dollar sigma (63D)/1800s | hold=14400s | reversal | exit_by_midnight,180,0.55,1800,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,42.8384000000004,1.5866074074074221,2.55342066516671,0.0,-7.564399999999716,0.037037037037037035,0.07407407407407407,27,2,0.5,21.4192000000002,6.663159007984155,1,1,0.07407407407407407,1,1,1.0,42.8384000000004,1.0,50.40280000000011,1.1765798909389624,-7.564399999999715,50.40280000000011,-7.564399999999716,-3.0550504633017956,-7.564399999999716,1,0.0,0.0,80,55,0.6875,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.55x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,120,0.55,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,130.71919999999966,4.841451851851839,4.526421542527473,0.0,-14.566399999999035,0.1111111111111111,0.14814814814814814,27,4,0.75,32.679799999999915,9.97402240773275,3,1,0.14814814814814814,1,1,1.0,130.71919999999966,1.0,69.42279999999988,0.5310834215631679,61.29639999999978,69.42279999999988,61.29639999999977,3.2638689254070115,-14.566399999999033,3,0.6666666666666666,5.208067882249466,80,54,0.675,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.75x percent_to_dollar sigma (63D)/2400s | hold=14400s | reversal | exit_by_midnight,180,0.75,2400,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,60.83759999999966,2.253244444444432,3.465451599819353,0.0,0.0,0.07407407407407407,0.07407407407407407,27,2,1.0,30.41879999999983,inf,1,1,0.07407407407407407,1,1,1.0,60.83759999999966,1.0,53.40159999999881,0.8777729561981259,7.436000000000853,53.40159999999881,7.436000000000853,3.0550504633017583,0.0,1,1.0,inf,80,54,0.675,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.4x percent_to_dollar sigma (63D)/1200s | hold=14400s | reversal | exit_by_midnight,180,0.4,1200,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,41.26240000000091,1.5282370370370708,3.310803866770974,0.0,-8.563999999998806,0.07407407407407407,0.1111111111111111,27,3,0.6666666666666666,13.754133333333636,5.818122372723124,2,1,0.1111111111111111,1,1,1.0,41.26240000000091,1.0,33.40999999999994,0.8096959944162047,7.852400000000969,33.40999999999994,7.852400000000966,1.2756483165911376,-8.563999999998806,2,0.5,1.9169079869220158,80,54,0.675,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=90s | move=0.65x percent_to_dollar sigma (63D)/3600s | hold=14400s | reversal | exit_by_midnight,90,0.65,3600,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,141.27159999999947,5.232281481481461,5.184584044705175,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,47.090533333333155,inf,2,1,0.1111111111111111,1,1,1.0,141.27159999999947,1.0,66.42199999999977,0.47017234886558956,74.8495999999997,66.42199999999977,74.84959999999971,4.246047514334797,0.0,2,1.0,inf,53,53,1.0,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=90s | move=0.7x percent_to_dollar sigma (63D)/2400s | hold=21600s | reversal | exit_by_midnight,90,0.7,2400,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,179.26679999999976,6.639511111111102,4.942145797326694,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,59.75559999999992,inf,2,1,0.1111111111111111,1,1,1.0,179.26679999999976,1.0,96.42040000000091,0.5378597710228611,82.84639999999885,96.42040000000091,82.84639999999884,4.219637379112989,0.0,2,1.0,inf,53,53,1.0,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.7x percent_to_dollar sigma (63D)/2400s | hold=21600s | reversal | exit_by_midnight,120,0.7,2400,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,176.26239999999964,6.528237037037024,4.805334482946086,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,58.754133333333215,inf,2,1,0.1111111111111111,1,1,1.0,176.26239999999962,0.9999999999999999,96.42160000000091,0.5470344214080888,79.84079999999874,96.42160000000091,79.84079999999872,3.9296998869355524,0.0,2,1.0,inf,53,53,1.0,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.7x percent_to_dollar sigma (63D)/2400s | hold=21600s | reversal | exit_by_midnight,180,0.7,2400,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,169.2575999999996,6.2687999999999855,4.720941920692608,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,56.41919999999987,inf,2,1,0.1111111111111111,1,1,1.0,169.2575999999996,1.0,93.42079999999937,0.5519444917096756,75.83680000000022,93.42079999999937,75.83680000000022,3.751221342620153,0.0,2,1.0,inf,53,53,1.0,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.45x percent_to_dollar sigma (63D)/1200s | hold=14400s | reversal | exit_by_midnight,120,0.45,1200,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,130.25480000000096,4.824251851851887,3.8070440825353837,0.0,-14.566399999999035,0.07407407407407407,0.1111111111111111,27,3,0.6666666666666666,43.41826666666699,9.942140817223176,2,1,0.1111111111111111,1,1,1.0,130.25480000000096,1.0,87.42120000000057,0.6711553048332954,42.83360000000039,87.42120000000057,42.833600000000395,2.18973952374982,-14.566399999999033,2,0.5,3.9405755711774564,80,53,0.6625,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=90s | move=0.7x percent_to_dollar sigma (63D)/2400s | hold=7200s | reversal | exit_by_midnight,90,0.7,2400,7200,63,percent_to_dollar,reversal,exit_by_midnight,-inf,36.26680000000049,1.3432148148148328,4.767161509789845,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,12.088933333333495,inf,2,1,0.1111111111111111,1,1,1.0,36.26680000000049,1.0,19.40159999999989,0.5349686214388815,16.8652000000006,19.40159999999989,16.8652000000006,3.748572478895819,0.0,2,1.0,inf,80,52,0.65,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.65x percent_to_dollar sigma (63D)/2400s | hold=21600s | reversal | exit_by_midnight,180,0.65,2400,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,171.25719999999922,6.34285925925923,4.700373204351293,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,57.085733333333074,inf,2,1,0.1111111111111111,1,1,1.0,171.25719999999922,1.0,94.42119999999989,0.5513414910438821,76.83599999999933,94.42119999999989,76.83599999999932,3.696468465804205,0.0,2,1.0,inf,53,52,0.9811320754716981,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.45x percent_to_dollar sigma (63D)/1200s | hold=21600s | reversal | exit_by_midnight,180,0.45,1200,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,147.25599999999972,5.453925925925915,4.512257678251207,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,49.08533333333324,inf,2,1,0.1111111111111111,1,1,1.0,147.25599999999972,1.0,86.41840000000006,0.5868582604443977,60.837599999999654,86.41840000000006,60.83759999999966,3.465451599819353,0.0,2,1.0,inf,53,52,0.9811320754716981,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.5x percent_to_dollar sigma (63D)/1800s | hold=14400s | reversal | exit_by_midnight,120,0.5,1800,14400,63,percent_to_dollar,reversal,exit_by_midnight,-inf,49.24719999999932,1.8239703703703452,3.0981363090333027,0.0,-14.566399999999033,0.07407407407407407,0.1111111111111111,27,3,0.6666666666666666,16.415733333333105,4.380876537785466,2,1,0.1111111111111111,1,1,1.0,49.24719999999932,1.0,39.40719999999875,0.800191686024775,9.840000000000565,39.40719999999875,9.840000000000567,1.0402036181034449,-14.566399999999033,2,0.5,1.675527240773255,80,52,0.65,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.45x percent_to_dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,180,0.45,1800,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,185.70720000000009,6.8780444444444475,5.4974445952563675,0.0,0.0,0.14814814814814814,0.14814814814814814,27,4,1.0,46.42680000000002,inf,3,1,0.14814814814814814,1,1,1.0,185.70720000000009,1.0,83.45919999999923,0.4494128391360119,102.24800000000086,83.45919999999923,102.24800000000084,4.740790894330799,0.0,3,1.0,inf,53,51,0.9622641509433962,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=180s | move=0.4x percent_to_dollar sigma (63D)/1200s | hold=21600s | reversal | exit_by_midnight,180,0.4,1200,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,83.26240000000108,3.0837925925926326,4.342798440436218,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,27.754133333333694,inf,2,1,0.1111111111111111,1,1,1.0,83.26240000000108,1.0,56.41000000000034,0.6774966851784191,26.852400000000742,56.41000000000034,26.85240000000074,4.292580520956238,0.0,2,1.0,inf,53,51,0.9622641509433962,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move=0.65x percent_to_dollar sigma (63D)/2400s | hold=21600s | reversal | exit_by_midnight,120,0.65,2400,21600,63,percent_to_dollar,reversal,exit_by_midnight,-inf,175.26840000000055,6.491422222222242,4.868808620074906,0.0,0.0,0.1111111111111111,0.1111111111111111,27,3,1.0,58.42280000000019,inf,2,1,0.1111111111111111,1,1,1.0,175.26840000000055,1.0,97.4216,0.5558423537842514,77.84680000000056,97.4216,77.84680000000054,4.212634034380817,0.0,2,1.0,inf,53,51,0.9622641509433962,-inf,anti_overfit_percent_wf,Anti-overfit top-trade-neutral walk-forward,top_trade_neutral_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
