date,robust_percent_all,robust_percent_strict,robust_percent_continuation,robust_percent_reversal
2025-11-01,0.0,0.0,0.0,0.0
2025-11-03,-2.6096,-2.6096,-2.6096,59.39039999999903
2025-11-04,17.429200000000286,17.429200000000286,17.429200000000286,-15.570799999999545
2025-11-05,-3.574400000000512,-3.574400000000512,-3.574400000000512,-17.57440000000057
2025-11-06,-70.53880000000068,-70.53880000000068,-70.53880000000068,3.461200000000227
2025-11-07,-12.564800000000853,-12.564800000000853,-12.564800000000853,25.435200000000112
2025-11-08,0.0,0.0,0.0,0.0
2025-11-10,-36.55599999999963,-36.55599999999963,-36.55599999999963,-19.55600000000017
2025-11-11,33.444399999999945,33.444399999999945,33.444399999999945,-93.55559999999966
2025-11-12,5.418400000001251,5.418400000001251,5.418400000001251,-144.5816000000009
2025-11-13,17.485999999999574,17.485999999999574,17.485999999999574,-23.514000000000085
2025-11-14,4.441600000000028,4.441600000000028,4.441600000000028,2.441600000000426
2025-11-15,0.0,0.0,0.0,0.0
2025-11-17,-10.55999999999983,-10.55999999999983,-10.55999999999983,-60.55999999999983
2025-11-18,6.44439999999963,6.44439999999963,6.44439999999963,-6.555599999999915
2025-11-19,3.4248000000002277,3.4248000000002277,3.4248000000002277,-115.57519999999954
2025-11-20,4.445600000000028,4.445600000000028,4.445600000000028,-18.55439999999966
2025-11-21,0.49199999999940314,0.49199999999940314,0.49199999999940314,36.492000000000054
2025-11-22,0.0,0.0,0.0,0.0
2025-11-24,17.500000000000284,17.500000000000284,17.500000000000284,8.499999999999943
2025-11-25,-14.487199999999744,-14.487199999999744,-14.487199999999744,-77.4872
2025-11-26,14.52640000000017,14.52640000000017,14.52640000000017,0.5263999999994029
2025-11-27,-4.498799999999602,-4.498799999999602,-4.498799999999602,-26.498800000000198
2025-11-28,-17.528000000000567,-17.528000000000567,-17.528000000000567,45.4720000000004
2025-12-01,0.0,0.0,-71.55199999999978,0.0
2025-12-02,0.0,0.0,69.5064000000006,0.0
2025-12-03,0.0,0.0,-7.496800000000427,0.0
2025-12-04,0.0,0.0,-3.486799999999801,0.0
2025-12-05,0.0,0.0,-79.49920000000031,0.0
2025-12-06,0.0,0.0,0.0,0.0
2025-12-08,0.0,0.0,58.478399999999944,0.0
2025-12-09,0.0,0.0,-58.48160000000023,0.0
2025-12-10,0.0,0.0,-49.463600000000596,0.0
2025-12-11,0.0,0.0,62.53640000000057,0.0
2025-12-12,0.0,0.0,52.558800000000424,0.0
2025-12-13,0.0,0.0,0.0,0.0
2025-12-15,0.0,0.0,27.569599999999717,0.0
2025-12-16,0.0,0.0,58.614799999999946,0.0
2025-12-17,0.0,0.0,-23.371600000000086,0.0
2025-12-18,0.0,0.0,-23.382000000000087,0.0
2025-12-19,0.0,0.0,-58.363999999999514,0.0
2025-12-20,0.0,0.0,0.0,0.0
2025-12-22,0.0,0.0,27.575599999999717,0.0
2025-12-23,0.0,0.0,0.0,0.0
2025-12-24,0.0,0.0,-17.45999999999986,0.0
2025-12-26,0.0,0.0,-90.46919999999955,0.0
2025-12-27,0.0,0.0,0.0,0.0
2025-12-29,0.0,0.0,38.57159999999966,0.0
2025-12-30,0.0,0.0,20.551599999999688,0.0
2025-12-31,0.0,0.0,3.5536000000002272,0.0
2026-01-02,-78.4227999999998,-78.4227999999998,79.56960000000002,-78.4227999999998
2026-01-03,0.0,0.0,0.0,0.0
2026-01-05,146.6172000000002,146.6172000000002,-29.407200000000312,146.6172000000002
2026-01-06,4.543200000000028,4.543200000000028,-84.44080000000002,4.543200000000028
2026-01-07,4.601200000000029,4.601200000000029,33.608799999999945,4.601200000000029
2026-01-08,0.0,0.0,63.60719999999966,0.0
2026-01-09,4.522400000000029,4.522400000000029,-42.48759999999986,4.522400000000029
2026-01-10,0.0,0.0,0.0,0.0
2026-01-12,-24.504399999999887,-24.504399999999887,24.487200000000314,-24.504399999999887
2026-01-13,-73.55239999999938,-73.55239999999938,64.45200000000017,-73.55239999999938
2026-01-14,-66.58240000000006,-66.58240000000006,-115.57319999999955,-66.58240000000006
2026-01-15,-48.54360000000008,-48.54360000000008,38.44679999999966,-48.54360000000008
2026-01-16,-57.527600000000426,-57.527600000000426,58.47679999999994,-57.527600000000426
2026-01-17,0.0,0.0,0.0,0.0
2026-01-19,45.491599999999686,45.491599999999686,10.477600000000255,45.491599999999686
