date,stable_4var_percent
2026-01-02,0.0
2026-01-03,0.0
2026-01-05,179.61720000000003
2026-01-06,47.532
2026-01-07,0.0
2026-01-08,0.0
2026-01-09,163.54599999999965
2026-01-10,0.0
2026-01-12,0.0
2026-01-13,-14.595999999999034
2026-01-14,-45.59719999999926
2026-01-15,-1.5291999999994883
2026-01-16,0.0
2026-01-17,0.0
2026-01-19,0.0
2026-01-20,26.432399999999916
2026-01-21,0.0
2026-01-22,0.0
2026-01-23,13.40159999999966
2026-01-24,0.0
2026-01-26,0.0
2026-01-27,0.0
2026-01-28,0.0
2026-01-29,-2.748
2026-01-30,-5.761599999998693
2026-01-31,0.0
2026-02-02,24.375200000001023
2026-02-03,65.38360000000068
2026-02-04,-14.672000000000455
2026-02-05,-70.69560000000068
2026-02-06,40.306800000000685
2026-02-07,0.0
2026-02-09,104.31879999999931
2026-02-10,-19.73960000000017
2026-02-11,27.249199999999718
2026-02-12,112.24640000000056
2026-02-13,-19.68360000000017
2026-02-14,0.0
2026-02-16,-102.6696
2026-02-17,-128.70519999999908
2026-02-18,147.304
2026-02-19,89.19080000000017
2026-02-20,56.144799999998924
2026-02-21,0.0
2026-02-23,65.16240000000069
2026-02-24,39.15200000000017
2026-02-25,42.15920000000028
2026-02-26,-161.8215999999989
2026-02-27,141.15119999999976
2026-03-02,116.91800000000029
2026-03-03,393.81079999999986
2026-03-04,-139.29359999999994
2026-03-05,21.6444
2026-03-06,612.6099999999997
2026-03-07,0.0
2026-03-09,-1750.6275999999993
2026-03-10,-584.7704000000002
2026-03-11,-512.4832000000004
2026-03-12,100.99919999999972
2026-03-13,-101.01919999999988
2026-03-14,0.0
2026-03-16,-286.18920000000077
2026-03-17,-120.15319999999966
2026-03-18,-745.0455999999997
2026-03-19,-196.49000000000018
2026-03-20,150.6939999999997
2026-03-21,0.0
2026-03-23,945.5224
2026-03-24,-28.14559999999949
2026-03-25,-267.96680000000003
2026-03-26,242.7991999999999
