signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,side,move_cents,threshold_cents,rarity_percentile,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,bad_hour_rule,signal_mode,trend_filter,vol_filter,time_bucket,trend_5d_pct,vol_rank,params,run_key,run_label,objective,test_start,test_end,selected_params
2026-01-19 10:15:34,2026-01-19 14:15:34,2026-01-19 10:17:34,2026-01-19 14:17:34,2026-01-19 14:17:34,2026-01-19 18:17:34,1,-28.999999999999915,28.999999999999915,95.0,63.09,62.92,-17.00000000000017,2.5236,-19.523600000000172,exit_by_midnight,reversal,any,any,any,0.0018951358180669953,0.6349206349206349,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-01-01,2026-01-31,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
2026-01-20 11:30:25,2026-01-20 15:30:25,2026-01-20 11:32:25,2026-01-20 15:32:25,2026-01-20 15:32:25,2026-01-20 19:32:25,1,-29.999999999999716,28.999999999999915,95.0,63.13,63.41,27.999999999999403,2.5252000000000003,25.4747999999994,exit_by_midnight,reversal,any,any,any,-0.020098948670377315,0.6349206349206349,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-01-01,2026-01-31,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
2026-01-21 12:55:22,2026-01-21 16:55:22,2026-01-21 12:57:22,2026-01-21 16:57:22,2026-01-21 16:57:22,2026-01-21 20:57:22,1,-28.999999999999915,28.999999999999915,95.0,63.17,64.32,114.99999999999915,2.5268,112.47319999999915,exit_by_midnight,reversal,any,any,any,-0.034357499621613385,0.7301587301587301,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-01-01,2026-01-31,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
2026-01-22 13:04:10,2026-01-22 17:04:10,2026-01-22 13:06:10,2026-01-22 17:06:10,2026-01-22 17:06:10,2026-01-22 21:06:10,1,-30.000000000001137,29.000000000000625,95.0,64.07,63.39,-67.99999999999926,2.5627999999999997,-70.56279999999926,exit_by_midnight,reversal,any,any,any,0.025742888924201512,0.7777777777777778,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-01-01,2026-01-31,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
2026-01-23 12:40:35,2026-01-23 16:40:35,2026-01-23 12:42:35,2026-01-23 16:42:35,2026-01-23 16:42:35,2026-01-23 20:42:35,-1,28.999999999999915,28.999999999999915,95.0,63.93,64.45,-52.00000000000031,2.5572,-54.557200000000314,exit_by_midnight,reversal,any,any,any,-0.0026780088216760145,0.7619047619047619,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-01-01,2026-01-31,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
2026-01-26 10:12:15,2026-01-26 14:12:15,2026-01-26 10:14:15,2026-01-26 14:14:15,2026-01-26 14:14:15,2026-01-26 18:14:15,-1,29.999999999999716,28.999999999999915,95.0,64.95,64.63,32.00000000000074,2.5980000000000003,29.40200000000074,exit_by_midnight,reversal,any,any,any,0.03250236667718509,0.9523809523809523,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-01-01,2026-01-31,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
2026-01-27 13:26:23,2026-01-27 17:26:23,2026-01-27 13:28:23,2026-01-27 17:28:23,2026-01-27 17:28:23,2026-01-27 21:28:23,-1,29.000000000000625,28.999999999999915,95.0,64.23,64.63,-39.99999999999915,2.5692000000000004,-42.56919999999915,exit_by_midnight,reversal,any,any,any,0.007523510971786829,0.8571428571428571,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-01-01,2026-01-31,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
2026-01-28 11:15:19,2026-01-28 15:15:19,2026-01-28 11:17:19,2026-01-28 15:17:19,2026-01-28 15:17:19,2026-01-28 19:17:19,1,-29.999999999999716,29.999999999999716,95.0,66.07,65.8,-26.999999999999602,2.6428,-29.642799999999603,exit_by_midnight,reversal,any,any,any,0.018280402788536154,0.9841269841269841,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-01-01,2026-01-31,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
2026-01-29 10:36:17,2026-01-29 14:36:17,2026-01-29 10:38:17,2026-01-29 14:38:17,2026-01-29 14:38:17,2026-01-29 18:38:17,-1,31.000000000000227,29.999999999999716,95.0,67.82,67.92,-10.000000000000853,2.7127999999999997,-12.712800000000852,exit_by_midnight,reversal,any,any,any,0.05354604327910284,0.8412698412698413,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-01-01,2026-01-31,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
2026-01-30 09:39:06,2026-01-30 13:39:06,2026-01-30 09:41:06,2026-01-30 13:41:06,2026-01-30 13:41:06,2026-01-30 17:41:06,-1,32.00000000000074,30.999999999999517,95.0,68.0,68.24,-23.99999999999949,2.72,-26.719999999999487,exit_by_midnight,reversal,any,any,any,0.05792870313460341,1.0,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2026-01-01,2026-01-31,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
