date,rare_move_percentile_wf
2026-01-02,-43.42240000000037
2026-01-03,0.0
2026-01-05,107.61759999999943
2026-01-06,-30.452000000000112
2026-01-07,65.61319999999998
2026-01-08,-56.40159999999992
2026-01-09,0.5191999999994028
2026-01-10,0.0
2026-01-12,-35.504399999999826
2026-01-13,-52.5532
2026-01-14,124.42600000000103
2026-01-15,97.4428
2026-01-16,-62.526400000000145
2026-01-17,0.0
2026-01-19,-19.523600000000172
2026-01-20,25.4747999999994
2026-01-21,112.47319999999915
2026-01-22,-70.56279999999926
2026-01-23,-54.557200000000314
2026-01-24,0.0
2026-01-26,29.40200000000074
2026-01-27,-42.56919999999915
2026-01-28,-29.642799999999603
2026-01-29,-12.712800000000852
2026-01-30,-26.719999999999487
2026-01-31,0.0
2026-03-02,-306.0600000000001
2026-03-03,-91.17719999999954
2026-03-04,182.71599999999995
2026-03-05,-8.342799999999716
2026-03-06,43.62399999999989
2026-03-07,0.0
2026-03-09,-660.5324000000003
2026-03-10,67.28479999999938
2026-03-11,-51.5232000000004
2026-03-12,-308.01440000000065
2026-03-13,-43.04719999999864
2026-03-14,0.0
2026-03-16,-202.17000000000039
2026-03-17,30.886000000000852
2026-03-18,-5.07519999999909
2026-03-19,275.54319999999973
2026-03-20,-93.29960000000005
2026-03-21,0.0
2026-03-23,167.5243999999999
2026-03-24,-147.14199999999926
2026-03-25,98.0375999999996
2026-03-26,-109.19999999999972
