date,dollar_monthly_sharpe_objective,dollar_monthly_pnl_objective,percent_to_dollar_monthly_sharpe_objective,percent_to_dollar_monthly_pnl_objective
2025-11-01,0.0,0.0,0.0,0.0
2025-11-03,31.421600000000343,31.421600000000343,31.421600000000343,31.421600000000343
2025-11-04,-31.573200000000625,-31.573200000000625,-31.573200000000625,-31.573200000000625
2025-11-05,39.43240000000017,39.43240000000017,40.43279999999926,40.43279999999926
2025-11-06,-34.53720000000003,-34.53720000000003,-34.53720000000003,-34.53720000000003
2025-11-07,-15.545200000000257,-15.545200000000257,-15.545200000000257,-15.545200000000257
2025-11-08,0.0,0.0,0.0,0.0
2025-11-10,77.43039999999972,77.43039999999972,77.43039999999972,77.43039999999972
2025-11-11,-69.57159999999875,-69.57159999999875,-69.57159999999875,-69.57159999999875
2025-11-12,-76.5544000000002,-76.5544000000002,-76.5544000000002,-76.5544000000002
2025-11-13,-22.514400000000286,-22.514400000000286,-22.514400000000286,-22.514400000000286
2025-11-14,59.445600000000454,59.445600000000454,56.44440000000034,56.44440000000034
2025-11-15,0.0,0.0,0.0,0.0
2025-11-17,8.427199999999942,8.427199999999942,8.427199999999942,8.427199999999942
2025-11-18,11.442799999999346,11.442799999999346,11.442799999999346,11.442799999999346
2025-11-19,-46.55039999999977,-46.55039999999977,-45.54999999999997,-45.54999999999997
2025-11-20,0.0,0.0,0.0,0.0
2025-11-21,40.498799999999974,40.498799999999974,40.498799999999974,40.498799999999974
2025-11-22,0.0,0.0,0.0,0.0
2025-11-24,0.0,0.0,0.0,0.0
2025-11-25,-21.45159999999977,-21.45159999999977,-21.45159999999977,-21.45159999999977
2025-11-26,0.0,0.0,0.0,0.0
2025-11-27,0.0,0.0,0.0,0.0
2025-11-28,0.0,0.0,0.0,0.0
2025-12-01,0.0,-52.5516,0.0,-53.5519999999998
2025-12-02,-16.492400000000057,-13.493599999999944,-9.495200000000029,-13.493599999999944
2025-12-03,0.0,75.52800000000012,0.0,75.52800000000012
2025-12-04,0.0,-33.48679999999952,0.0,-33.48679999999952
2025-12-05,0.0,-79.49920000000031,0.0,-79.49920000000031
2025-12-06,0.0,0.0,0.0,0.0
2025-12-08,0.0,68.47840000000008,0.0,68.47840000000008
2025-12-09,0.0,-58.48160000000023,0.0,-58.48160000000023
2025-12-10,0.0,-62.46280000000014,0.0,-64.46360000000045
2025-12-11,0.0,94.53319999999988,0.0,94.53319999999988
2025-12-12,0.0,57.55880000000014,0.0,57.55880000000014
2025-12-13,0.0,0.0,0.0,0.0
2025-12-15,0.0,64.56959999999945,0.0,64.56959999999945
2025-12-16,0.0,92.61600000000028,0.0,95.6148000000004
2025-12-17,0.0,-1.3716000000001989,0.0,-1.3716000000001989
2025-12-18,0.0,-14.388000000000455,0.0,-5.382000000000113
2025-12-19,0.0,-41.364000000000054,0.0,-41.364000000000054
2025-12-20,0.0,0.0,0.0,0.0
2025-12-22,0.0,26.575599999999916,0.0,26.575599999999916
2025-12-23,0.0,13.552000000000369,0.0,13.552000000000369
2025-12-24,0.0,14.54000000000017,0.0,14.54000000000017
2025-12-26,0.0,-113.46919999999994,0.0,-113.46919999999994
2025-12-27,0.0,0.0,0.0,0.0
2025-12-29,0.0,54.571200000000026,0.0,55.57159999999983
2025-12-30,0.0,9.551599999999745,0.0,9.551599999999745
2025-12-31,0.0,-31.446399999999915,0.0,-31.446399999999915
2026-01-02,-79.42280000000031,-79.42280000000031,-79.42280000000031,-79.42280000000031
2026-01-03,0.0,0.0,0.0,0.0
2026-01-05,178.61680000000024,178.61680000000024,179.61720000000003,179.61720000000003
2026-01-06,19.543199999999885,19.543199999999885,19.543199999999885,19.543199999999885
2026-01-07,4.601200000000029,4.601200000000029,4.601200000000029,4.601200000000029
2026-01-08,0.0,0.0,0.0,0.0
2026-01-09,104.52240000000003,104.52240000000003,104.52240000000003,104.52240000000003
2026-01-10,0.0,0.0,0.0,0.0
2026-01-12,-24.504399999999887,-24.504399999999887,-24.504399999999887,-24.504399999999887
2026-01-13,-123.55239999999938,-123.55239999999938,-123.55239999999938,-123.55239999999938
2026-01-14,-102.5744,-102.5744,-82.58239999999972,-82.58239999999972
2026-01-15,68.44200000000008,68.44200000000008,-37.54360000000014,-37.54360000000014
2026-01-16,-51.5276000000002,-51.5276000000002,-51.5276000000002,-51.5276000000002
2026-01-17,0.0,0.0,0.0,0.0
2026-01-19,65.49159999999998,65.49159999999998,65.49159999999998,65.49159999999998
2026-01-20,76.47559999999991,76.47559999999991,76.47559999999991,76.47559999999991
2026-01-21,122.47599999999929,122.47599999999929,122.47599999999929,122.47599999999929
2026-01-22,7.459199999999431,7.459199999999431,21.46479999999949,21.46479999999949
2026-01-23,-88.55759999999994,-88.55759999999994,-88.55759999999994,-88.55759999999994
2026-01-24,0.0,0.0,0.0,0.0
2026-01-26,66.40239999999977,66.40239999999977,66.40239999999977,66.40239999999977
2026-01-27,-83.57800000000023,-83.57800000000023,-66.58480000000006,-66.58480000000006
2026-01-28,59.368800000000455,59.368800000000455,62.370000000000566,62.370000000000566
2026-01-29,-89.71320000000046,-89.71320000000046,-93.71159999999966,-93.71159999999966
2026-01-30,-118.71639999999965,-118.71639999999965,-118.71639999999965,-118.71639999999965
2026-01-31,0.0,0.0,0.0,0.0
2026-02-02,55.36280000000125,55.36280000000125,55.36280000000125,55.36280000000125
2026-02-03,69.38519999999988,69.38519999999988,69.38519999999988,69.38519999999988
2026-02-04,3.320800000000227,3.320800000000227,3.320800000000227,3.320800000000227
2026-02-05,46.31200000000091,46.31200000000091,46.31200000000091,46.31200000000091
2026-02-06,-66.68480000000005,-66.68480000000005,-63.68599999999994,-63.68599999999994
2026-02-07,0.0,0.0,0.0,0.0
2026-02-09,107.31999999999942,107.31999999999942,107.31999999999942,107.31999999999942
2026-02-10,-10.736000000001251,-10.736000000001251,-10.736000000001251,-10.736000000001251
2026-02-11,19.245999999999885,19.245999999999885,9.241999999999035,9.241999999999035
2026-02-12,108.24799999999995,108.24799999999995,99.2515999999996,99.2515999999996
2026-02-13,-14.681600000000454,-14.681600000000454,-12.680799999999431,-12.680799999999431
2026-02-14,0.0,0.0,0.0,0.0
2026-02-16,-99.67079999999989,-99.67079999999989,-99.67079999999989,-99.67079999999989
2026-02-17,-128.70519999999908,-128.70519999999908,-128.70519999999908,-128.70519999999908
2026-02-18,-193.67960000000107,-193.67960000000107,-191.68040000000005,-191.68040000000005
2026-02-19,91.19160000000119,91.19160000000119,91.19160000000119,91.19160000000119
2026-02-20,71.13879999999949,71.13879999999949,70.13919999999898,70.13919999999898
2026-02-21,0.0,0.0,0.0,0.0
2026-02-23,85.17040000000097,85.17040000000097,94.1739999999999,94.1739999999999
2026-02-24,-85.86439999999983,-85.86439999999983,-94.86800000000017,-94.86800000000017
2026-02-25,-75.8520000000004,-75.8520000000004,-74.85160000000131,-74.85160000000131
2026-02-26,-157.8231999999997,-157.8231999999997,-157.8231999999997,-157.8231999999997
2026-02-27,141.15119999999976,141.15119999999976,142.1516000000003,142.1516000000003
2026-03-02,-13.133999999999432,-152.0703999999995,-114.08559999999994,-114.08559999999994
