signal_time,signal_time_dubai,entry_time,entry_time_dubai,exit_time,exit_time_dubai,side,move_cents,threshold_cents,daily_sigma_dollars,sigma_multiple,entry_price,exit_price,gross_pnl_cents,cost_cents,net_pnl_cents,bad_hour_rule,signal_mode,params,run_key,run_label,objective,test_start,test_end,selected_params
2026-01-05 12:29:54,2026-01-05 16:29:54,2026-01-05 12:31:54,2026-01-05 16:31:54,2026-01-05 16:31:54,2026-01-05 20:31:54,1,-46.000000000000085,44.74345857749497,0.8135174286817266,0.55,59.57,60.68,110.99999999999994,2.3828,108.61719999999994,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-01-01,2026-01-31,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-01-06 13:00:14,2026-01-06 17:00:14,2026-01-06 13:02:14,2026-01-06 17:02:14,2026-01-06 17:02:14,2026-01-06 21:02:14,-1,46.000000000000085,45.73993236073081,0.8316351338314693,0.55,61.7,61.59,10.999999999999943,2.468,8.531999999999943,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-01-01,2026-01-31,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-01-09 13:40:22,2026-01-09 17:40:22,2026-01-09 13:42:22,2026-01-09 17:42:22,2026-01-09 17:42:22,2026-01-09 21:42:22,1,-46.000000000000085,45.375113434784026,0.8250020624506186,0.55,61.35,61.79,43.99999999999977,2.454,41.54599999999977,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-01-01,2026-01-31,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-01-13 18:44:14,2026-01-13 22:44:14,2026-01-13 18:46:14,2026-01-13 22:46:14,2026-01-13 19:59:59,2026-01-13 23:59:59,-1,48.0000000000004,47.116130967509754,0.8566569266819953,0.55,64.9,65.02,-11.999999999999034,2.596,-14.595999999999034,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-01-01,2026-01-31,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-01-14 14:13:20,2026-01-14 18:13:20,2026-01-14 14:15:20,2026-01-14 18:15:20,2026-01-14 18:15:20,2026-01-14 22:15:20,-1,48.99999999999949,48.136125008331305,0.8752022728787509,0.55,64.93,65.34,-40.99999999999966,2.5972000000000004,-43.59719999999966,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-01-01,2026-01-31,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-01-15 13:51:21,2026-01-15 17:51:21,2026-01-15 13:53:21,2026-01-15 17:53:21,2026-01-15 17:53:21,2026-01-15 21:53:21,1,-50.0,49.971937901769145,0.9085806891230753,0.55,63.23,63.07,-15.999999999999659,2.5292,-18.52919999999966,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-01-01,2026-01-31,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-01-20 18:29:55,2026-01-20 22:29:55,2026-01-20 18:31:55,2026-01-20 22:31:55,2026-01-20 19:59:59,2026-01-20 23:59:59,-1,54.000000000000625,52.27692876496873,0.9504896139085223,0.55,64.19,63.9,28.999999999999915,2.5676,26.432399999999916,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-01-01,2026-01-31,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-01-23 17:54:47,2026-01-23 21:54:47,2026-01-23 17:56:47,2026-01-23 21:56:47,2026-01-23 19:59:59,2026-01-23 23:59:59,-1,53.000000000000114,52.7738725169801,0.9595249548541835,0.55,64.96,64.8,15.999999999999659,2.5984,13.40159999999966,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-01-01,2026-01-31,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-01-29 17:17:13,2026-01-29 21:17:13,2026-01-29 17:19:13,2026-01-29 21:19:13,2026-01-29 19:59:59,2026-01-29 23:59:59,-1,56.00000000000023,55.42252771977366,1.007682322177703,0.55,68.7,68.7,-0.0,2.748,-2.748,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-01-01,2026-01-31,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-01-30 18:09:21,2026-01-30 22:09:21,2026-01-30 18:11:21,2026-01-30 22:11:21,2026-01-30 19:59:59,2026-01-30 23:59:59,-1,60.00000000000085,59.03487308230488,1.0733613287691794,0.55,69.04,69.07,-2.9999999999986926,2.7616000000000005,-5.761599999998693,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-01-01,2026-01-31,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
2026-02-03 12:51:45,2026-02-03 16:51:45,2026-02-03 12:53:45,2026-02-03 16:53:45,2026-02-03 16:53:45,2026-02-03 20:53:45,1,-60.00000000000085,59.988284502982836,1.0906960818724152,0.55,64.92,65.87,95.00000000000028,2.5968,92.40320000000028,exit_by_midnight,reversal,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight,stable_4var_percent,Stable 4-variable percent-vol walk-forward,stable_4var_score,2026-02-01,2026-02-28,a=120s | move=0.55x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
