delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,label
60,0.35,3600,7200,63,percent_to_dollar,reversal,exit_by_midnight,a=60s | move=0.35x percent_to_dollar sigma (63D)/3600s | hold=7200s | reversal | exit_by_midnight
60,0.35,3600,14400,63,percent_to_dollar,continuation,exit_by_midnight,a=60s | move=0.35x percent_to_dollar sigma (63D)/3600s | hold=14400s | continuation | exit_by_midnight
60,0.35,3600,14400,63,percent_to_dollar,reversal,exit_by_midnight,a=60s | move=0.35x percent_to_dollar sigma (63D)/3600s | hold=14400s | reversal | exit_by_midnight
60,0.35,3600,21600,63,percent_to_dollar,continuation,exit_by_midnight,a=60s | move=0.35x percent_to_dollar sigma (63D)/3600s | hold=21600s | continuation | exit_by_midnight
60,0.35,3600,21600,63,percent_to_dollar,reversal,exit_by_midnight,a=60s | move=0.35x percent_to_dollar sigma (63D)/3600s | hold=21600s | reversal | exit_by_midnight
60,0.4,900,1800,63,percent_to_dollar,continuation,exit_by_midnight,a=60s | move=0.4x percent_to_dollar sigma (63D)/900s | hold=1800s | continuation | exit_by_midnight
60,0.4,900,1800,63,percent_to_dollar,reversal,exit_by_midnight,a=60s | move=0.4x percent_to_dollar sigma (63D)/900s | hold=1800s | reversal | exit_by_midnight
60,0.4,900,3600,63,percent_to_dollar,continuation,exit_by_midnight,a=60s | move=0.4x percent_to_dollar sigma (63D)/900s | hold=3600s | continuation | exit_by_midnight
60,0.4,900,3600,63,percent_to_dollar,reversal,exit_by_midnight,a=60s | move=0.4x percent_to_dollar sigma (63D)/900s | hold=3600s | reversal | exit_by_midnight
60,0.4,900,7200,63,percent_to_dollar,continuation,exit_by_midnight,a=60s | move=0.4x percent_to_dollar sigma (63D)/900s | hold=7200s | continuation | exit_by_midnight
60,0.4,900,7200,63,percent_to_dollar,reversal,exit_by_midnight,a=60s | move=0.4x percent_to_dollar sigma (63D)/900s | hold=7200s | reversal | exit_by_midnight
60,0.4,900,14400,63,percent_to_dollar,continuation,exit_by_midnight,a=60s | move=0.4x percent_to_dollar sigma (63D)/900s | hold=14400s | continuation | exit_by_midnight
60,0.4,900,14400,63,percent_to_dollar,reversal,exit_by_midnight,a=60s | move=0.4x percent_to_dollar sigma (63D)/900s | hold=14400s | reversal | exit_by_midnight
