params,delay_s,sigma_multiple,move_window_s,hold_s,vol_window_days,vol_method,signal_mode,bad_hour_rule,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,rebalance,objective,train_start,train_end,test_start,test_end,run_key
a=120s | move=1x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,1.0,1800,3600,63,dollar,continuation,exit_by_midnight,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,0.0,0.0,0,0,0.0,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,dollar_monthly_sharpe_objective
a=120s | move=1x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,1.0,1800,3600,63,dollar,reversal,exit_by_midnight,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,0.0,0.0,0,0,0.0,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,dollar_monthly_sharpe_objective
a=120s | move=1x dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,1.0,1800,21600,63,dollar,continuation,exit_by_midnight,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,0.0,0.0,0,0,0.0,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,dollar_monthly_sharpe_objective
a=120s | move=1x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,1.0,1800,21600,63,dollar,reversal,exit_by_midnight,-inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.0,0.0,0.0,0,0,0.0,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,dollar_monthly_sharpe_objective
a=120s | move=0.55x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.55,1800,3600,63,dollar,reversal,exit_by_midnight,-inf,-14.162800000000345,-0.524548148148161,-0.5370702775971948,0.0,-62.56639999999943,0.037037037037037035,0.07407407407407407,27,2,0.5,-7.081400000000173,0.7736356894435152,1,1,0.07407407407407407,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,dollar_monthly_sharpe_objective
a=120s | move=0.55x dollar sigma (63D)/1800s | hold=21600s | reversal | exit_by_midnight,120,0.55,1800,21600,63,dollar,reversal,exit_by_midnight,-inf,-14.162800000000345,-0.524548148148161,-0.5370702775971948,0.0,-62.56639999999943,0.037037037037037035,0.07407407407407407,27,2,0.5,-7.081400000000173,0.7736356894435152,1,1,0.07407407407407407,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,dollar_monthly_sharpe_objective
a=120s | move=0.75x dollar sigma (63D)/1800s | hold=3600s | continuation | exit_by_midnight,120,0.75,1800,3600,63,dollar,continuation,exit_by_midnight,-inf,-25.158399999999574,-0.9317925925925769,-1.0362949499753467,0.0,-62.59999999999943,0.037037037037037035,0.07407407407407407,27,2,0.5,-12.579199999999787,0.5981086261980767,1,1,0.07407407407407407,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,dollar_monthly_sharpe_objective
a=120s | move=0.75x dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.75,1800,21600,63,dollar,continuation,exit_by_midnight,-inf,-25.158399999999574,-0.9317925925925769,-1.0362949499753467,0.0,-62.59999999999943,0.037037037037037035,0.07407407407407407,27,2,0.5,-12.579199999999787,0.5981086261980767,1,1,0.07407407407407407,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,dollar_monthly_sharpe_objective
a=120s | move=0.4x dollar sigma (63D)/1800s | hold=21600s | continuation | exit_by_midnight,120,0.4,1800,21600,63,dollar,continuation,exit_by_midnight,-inf,-140.25920000000184,-5.194785185185253,-2.9011997416056063,-3.104910830866785,-158.0972000000008,0.037037037037037035,0.14814814814814814,27,4,0.25,-35.06480000000046,0.34053641316715016,0,4,0.14814814814814814,monthly,daily_sharpe,2025-10-01,2025-10-31,2025-11-01,2025-11-30,dollar_monthly_sharpe_objective
a=120s | move=0.75x dollar sigma (63D)/1800s | hold=3600s | reversal | exit_by_midnight,120,0.75,1800,3600,63,dollar,reversal,exit_by_midnight,2.004739796292815,124.31719999999973,2.4375921568627397,2.004739796292815,28.765668733156268,-44.46080000000018,0.058823529411764705,0.09803921568627451,51,5,0.6,24.863439999999947,2.428618052108009,3,2,0.09803921568627451,monthly,daily_sharpe,2025-10-01,2025-11-30,2025-12-01,2025-12-31,dollar_monthly_sharpe_objective
