date,regime_rare_move_wf
2026-01-02,-79.42280000000031
2026-01-03,0.0
2026-01-05,0.0
2026-01-06,0.0
2026-01-07,3.6016000000002273
2026-01-08,0.0
2026-01-09,0.0
2026-01-10,0.0
2026-01-12,0.0
2026-01-13,0.0
2026-01-14,0.0
2026-01-15,0.0
2026-01-16,0.0
2026-01-17,0.0
2026-01-19,0.0
2026-01-20,76.47559999999991
2026-01-21,122.47599999999929
2026-01-22,0.0
2026-01-23,-89.55719999999974
2026-01-24,0.0
2026-01-26,0.0
2026-01-27,0.0
2026-01-28,0.0
2026-01-29,0.0
2026-01-30,0.0
2026-01-31,0.0
2026-03-02,-5.129199999999603
2026-03-03,388.8088000000002
2026-03-04,-215.32399999999905
2026-03-05,22.64480000000051
2026-03-06,-530.4255999999996
2026-03-07,0.0
2026-03-09,-867.2743999999996
2026-03-10,415.29439999999977
2026-03-11,-322.55919999999975
2026-03-12,17.049599999999373
2026-03-13,26.954400000000227
2026-03-14,0.0
2026-03-16,380.7696000000009
2026-03-17,0.0
2026-03-18,0.0
2026-03-19,-295.5295999999997
2026-03-20,-60.345600000000225
2026-03-21,0.0
2026-03-23,0.0
2026-03-24,259.95040000000006
2026-03-25,0.0
2026-03-26,0.0
