params,delay_s,rarity_percentile,move_window_s,hold_s,signal_mode,bad_hour_rule,trend_filter,vol_filter,time_bucket,score,total_pnl_cents,avg_daily_pnl_cents,daily_sharpe,daily_sortino,max_drawdown_cents,positive_day_rate,active_day_rate,days,trades,win_rate,avg_trade_cents,profit_factor,long_trades,short_trades,trades_per_day,profitable_months,month_count,profitable_month_rate,best_month_pnl_cents,best_month_share,top_trade_pnl_cents,top_trade_share,top_trade_removed_pnl_cents,cluster_neighbors,cluster_positive_neighbors,cluster_positive_rate,rare_stability_score,run_key,run_label,objective,train_start,train_end,test_start,test_end
a=120s | move>97.5th percentile of recent 900s moves | hold=21600s | reversal | exit_by_midnight,120,97.5,900,21600,reversal,exit_by_midnight,any,any,any,4.615312763669236,296.6820000000003,10.988222222222234,3.7943999636692363,4.733252447199791,-131.5264000000002,0.4444444444444444,0.7037037037037037,27,19,0.631578947368421,15.61484210526317,1.9966567812381932,11,8,0.7037037037037037,1,1,1.0,296.68200000000024,0.9999999999999998,95.4624000000004,0.321766740146016,201.2195999999999,53,30,0.5660377358490566,17.46436936744282,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move>99th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,300,99.0,1800,14400,reversal,exit_by_midnight,any,any,any,3.876658519489276,178.60840000000005,6.615125925925928,3.214877811854021,2.480623084112633,-106.53479999999992,0.4074074074074074,0.5185185185185185,27,14,0.7857142857142857,12.757742857142862,2.010813955594177,11,3,0.5185185185185185,1,1,1.0,178.60840000000005,1.0,65.40399999999926,0.36618658472949334,113.20440000000079,35,30,0.8571428571428571,17.16237280520356,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move>97.5th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,300,97.5,1800,14400,reversal,exit_by_midnight,any,any,any,2.5023670464844034,142.71039999999795,5.285570370370294,2.107711339347165,2.1474210120033037,-118.00640000000054,0.5185185185185185,0.7777777777777778,27,21,0.6666666666666666,6.795733333333237,1.4992988633469133,15,6,0.7777777777777778,1,1,1.0,142.71039999999797,1.0000000000000002,90.44240000000069,0.6337477857255112,52.26799999999726,53,34,0.6415094339622641,17.0646311974278,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>97.5th percentile of recent 1800s moves | hold=21600s | reversal | exit_by_midnight,120,97.5,1800,21600,reversal,exit_by_midnight,any,any,any,2.5016117249243552,155.3055999999994,5.752059259259237,2.0987736955752587,2.202046679620642,-181.57599999999962,0.37037037037037035,0.5925925925925926,27,16,0.625,9.706599999999963,1.5068416256987094,12,4,0.5925925925925926,1,1,1.0,155.3055999999994,1.0,86.44520000000077,0.5566135413018017,68.86039999999863,53,34,0.6415094339622641,17.063875875867755,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move>97.5th percentile of recent 3600s moves | hold=14400s | reversal | exit_by_midnight,300,97.5,3600,14400,reversal,exit_by_midnight,any,any,any,5.291773565110429,270.1940000000001,10.007185185185188,4.462930765110429,3.647794958309102,-118.53960000000038,0.5185185185185185,0.7407407407407407,27,20,0.7,13.509700000000004,2.4751318476136266,12,8,0.7407407407407407,1,1,1.0,270.1940000000001,1.0,71.50280000000019,0.26463504000829097,198.69119999999987,35,26,0.7428571428571429,16.806059279396145,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=300s | move>99th percentile of recent 3600s moves | hold=14400s | reversal | exit_by_midnight,300,99.0,3600,14400,reversal,exit_by_midnight,any,any,any,6.303013406462641,279.07119999999856,10.335970370370317,5.437666606462644,3.677531797205423,-93.95000000000077,0.3333333333333333,0.4074074074074074,27,11,0.8181818181818182,25.370109090908965,3.9704225651941707,8,3,0.4074074074074074,1,1,1.0,279.0711999999986,1.0000000000000002,74.4227999999996,0.2666803310409673,204.64839999999896,23,22,0.9565217391304348,16.537796015158293,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=60s | move>99th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,60,99.0,1800,14400,reversal,exit_by_midnight,any,any,any,3.6105636754446424,157.60519999999858,5.837229629629577,2.9734039994694865,1.990197197994156,-110.53639999999983,0.37037037037037035,0.5185185185185185,27,14,0.7142857142857143,11.257514285714182,1.9536340973448998,11,3,0.5185185185185185,1,1,1.0,157.60519999999855,0.9999999999999998,56.55199999999963,0.35882064804968455,101.05319999999895,35,29,0.8285714285714286,16.453420818301787,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>99th percentile of recent 1800s moves | hold=7200s | reversal | exit_by_midnight,120,99.0,1800,7200,reversal,exit_by_midnight,any,any,any,0.8069984786274146,41.6011999999989,1.5407851851851444,0.9559847767919074,1.2249097105018043,-121.65759999999963,0.25925925925925924,0.5185185185185185,27,14,0.5,2.971514285714206,1.223931082890855,11,3,0.5185185185185185,1,1,1.0,41.60119999999888,0.9999999999999997,59.600399999999745,1.4326605963289838,-17.999200000000847,53,36,0.6792452830188679,16.225866403155717,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=60s | move>97.5th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,60,97.5,1800,14400,reversal,exit_by_midnight,any,any,any,2.0863467551055366,133.68679999999833,4.951362962962901,1.8387069775251101,1.881927253913587,-139.4740000000003,0.48148148148148145,0.7777777777777778,27,21,0.6190476190476191,6.366038095238017,1.4322377057130746,15,6,0.7777777777777778,1,1,1.0,133.68679999999833,1.0,105.44439999999983,0.78874204483914,28.242399999998497,53,33,0.6226415094339622,16.22030901925648,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight,120,95.0,1800,14400,reversal,exit_by_midnight,any,any,any,2.941793632826609,187.96959999999905,6.961837037037002,2.5157454628689186,4.324508656736173,-141.57960000000034,0.5185185185185185,0.8148148148148148,27,22,0.6363636363636364,8.544072727272685,1.5619171408858354,14,8,0.8148148148148148,1,1,1.0,187.96959999999908,1.0000000000000002,114.44440000000017,0.6088452600846135,73.52519999999888,53,31,0.5849056603773585,16.219152123392647,rare_move_percentile_wf,Rare move percentile walk-forward,rare_move_stability_score,2025-10-01,2025-10-31,2025-11-01,2025-11-30
