Time,%BRN 1!-ICE.Price,%BRN 1!-ICE.Size,%BRN 1!-ICE.Conditions
2026-02-13T00:00:00,67.02,2.0,SetByAsk
2026-02-13T00:00:00,67.01,1.0,SetByAsk
2026-02-13T00:00:03,67.02,1.0,SetByBid
2026-02-13T00:00:03,67.02,1.0,SetByBid
2026-02-13T00:00:03,67.02,1.0,SetByBid
2026-02-13T00:00:03,67.02,1.0,SetByBid
2026-02-13T00:00:15,67.01,1.0,SetByAsk
2026-02-13T00:00:29,67.01,1.0,SetByAsk
2026-02-13T00:00:35,67.01,1.0,SetByAsk
2026-02-13T00:00:47,67.02,2.0,SetByBid
2026-02-13T00:00:47,67.02,1.0,SetByBid
2026-02-13T00:01:02,67.03,1.0,SetByAsk
2026-02-13T00:01:37,67.02,2.0,SetByBid
2026-02-13T00:01:37,67.02,1.0,SetByBid
2026-02-13T00:01:39,67.03,2.0,SetByBid
2026-02-13T00:01:39,67.03,2.0,SetByBid
2026-02-13T00:01:39,67.03,2.0,SetByBid
2026-02-13T00:01:39,67.03,1.0,SetByBid
2026-02-13T00:01:39,67.03,1.0,SetByBid
2026-02-13T00:01:46,67.01,1.0,SetByAsk
2026-02-13T00:02:29,67.02,1.0,SetByBid
2026-02-13T00:02:29,67.02,1.0,SetByBid
2026-02-13T00:02:51,67.02,2.0,SetByBid
2026-02-13T00:02:58,67.02,2.0,SetByAsk
2026-02-13T00:03:13,67.02,2.0,"SetByAsk, Leg"
2026-02-13T00:03:13,67.01,2.0,"SetByAsk, Leg"
2026-02-13T00:03:13,67.01,2.0,SetByAsk
2026-02-13T00:03:13,67.01,2.0,SetByAsk
2026-02-13T00:03:13,67.01,2.0,SetByAsk
2026-02-13T00:03:13,67.01,1.0,SetByAsk
2026-02-13T00:03:25,67.01,7.0,SetByBid
2026-02-13T00:03:25,67.01,1.0,SetByBid
2026-02-13T00:03:25,67.01,6.0,SetByBid
2026-02-13T00:03:33,67.0,4.0,SetByAsk
2026-02-13T00:03:33,67.0,2.0,SetByBid
2026-02-13T00:03:33,67.0,1.0,SetByBid
2026-02-13T00:03:33,67.0,2.0,SetByBid
2026-02-13T00:03:33,67.0,1.0,SetByBid
2026-02-13T00:03:33,67.0,1.0,SetByBid
2026-02-13T00:03:33,67.0,1.0,SetByBid
2026-02-13T00:03:34,67.0,1.0,SetByAsk
2026-02-13T00:03:34,67.0,1.0,SetByAsk
2026-02-13T00:03:34,67.0,1.0,SetByAsk
2026-02-13T00:03:34,67.0,1.0,SetByAsk
2026-02-13T00:03:34,67.0,1.0,SetByAsk
2026-02-13T00:03:34,67.0,2.0,SetByBid
2026-02-13T00:03:34,67.0,1.0,SetByAsk
2026-02-13T00:03:34,67.0,1.0,SetByAsk
2026-02-13T00:03:45,67.0,2.0,SetByAsk
2026-02-13T00:03:45,67.0,1.0,SetByAsk
2026-02-13T00:03:45,67.0,2.0,SetByBid
2026-02-13T00:03:45,67.0,1.0,SetByAsk
2026-02-13T00:03:45,67.0,2.0,SetByAsk
2026-02-13T00:03:45,67.0,5.0,SetByAsk
2026-02-13T00:03:45,67.0,2.0,SetByAsk
2026-02-13T00:03:46,67.0,1.0,SetByAsk
2026-02-13T00:03:46,67.0,1.0,SetByAsk
2026-02-13T00:03:56,67.0,1.0,SetByAsk
2026-02-13T00:04:03,67.0,2.0,SetByAsk
2026-02-13T00:04:03,67.0,3.0,SetByAsk
2026-02-13T00:04:03,67.0,1.0,SetByBid
2026-02-13T00:04:03,67.0,2.0,SetByBid
2026-02-13T00:04:03,67.0,1.0,SetByBid
2026-02-13T00:04:03,67.0,1.0,SetByBid
2026-02-13T00:04:03,67.0,1.0,SetByBid
2026-02-13T00:04:03,67.0,3.0,SetByBid
2026-02-13T00:04:03,67.0,1.0,SetByBid
2026-02-13T00:04:03,67.0,2.0,SetByBid
2026-02-13T00:04:03,67.0,1.0,SetByBid
2026-02-13T00:04:03,67.0,2.0,SetByAsk
2026-02-13T00:04:03,67.0,1.0,SetByAsk
2026-02-13T00:04:03,67.0,2.0,SetByBid
2026-02-13T00:04:03,67.0,2.0,SetByAsk
2026-02-13T00:04:03,67.0,2.0,SetByBid
2026-02-13T00:04:03,67.0,3.0,SetByAsk
2026-02-13T00:04:04,67.0,1.0,SetByAsk
2026-02-13T00:04:04,67.0,2.0,SetByAsk
2026-02-13T00:04:04,67.0,2.0,SetByBid
2026-02-13T00:04:04,67.0,1.0,SetByBid
2026-02-13T00:04:04,67.0,1.0,SetByAsk
