Time,Time,%BRN 1!-ICE.Price,%BRN 1!-ICE.Size,%BRN 1!-ICE.Conditions
2025-11-04 00:00:00,2025-11-04T00:00:00,64.83,1,SetByBid
2025-11-04 00:00:05,2025-11-04T00:00:05,64.82,1,SetByAsk
2025-11-04 00:00:06,2025-11-04T00:00:06,64.82,1,SetByAsk
2025-11-04 00:00:06,2025-11-04T00:00:06,64.82,1,SetByAsk
2025-11-04 00:00:06,2025-11-04T00:00:06,64.82,1,SetByAsk
2025-11-04 00:00:06,2025-11-04T00:00:06,64.82,1,SetByAsk
2025-11-04 00:00:08,2025-11-04T00:00:08,64.83,1,SetByBid
2025-11-04 00:00:16,2025-11-04T00:00:16,64.82,1,SetByAsk
2025-11-04 00:00:16,2025-11-04T00:00:16,64.82,1,SetByAsk
2025-11-04 00:00:16,2025-11-04T00:00:16,64.82,1,SetByAsk
2025-11-04 00:00:16,2025-11-04T00:00:16,64.82,1,SetByAsk
2025-11-04 00:00:16,2025-11-04T00:00:16,64.82,1,SetByAsk
2025-11-04 00:00:16,2025-11-04T00:00:16,64.82,1,SetByAsk
2025-11-04 00:00:32,2025-11-04T00:00:32,64.81,1,SetByAsk
2025-11-04 00:00:32,2025-11-04T00:00:32,64.81,1,SetByAsk
2025-11-04 00:00:32,2025-11-04T00:00:32,64.81,1,SetByAsk
2025-11-04 00:00:32,2025-11-04T00:00:32,64.81,1,SetByAsk
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,3,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,2,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,2,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,5,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,4,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,2,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.81,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,1,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,3,SetByBid
2025-11-04 00:00:40,2025-11-04T00:00:40,64.82,4,SetByBid
