Time,Time,%BRN 1!-ICE.Price,%BRN 1!-ICE.Size,%BRN 1!-ICE.Conditions
2025-10-13 02:00:00,2025-10-13T02:00:00,62.0,30,SetByAsk
2025-10-13 02:00:00,2025-10-13T02:00:00,62.0,7,SetByAsk
2025-10-13 02:00:00,2025-10-13T02:00:00,62.0,5,SetByAsk
2025-10-13 02:00:00,2025-10-13T02:00:00,62.0,7,SetByAsk
2025-10-13 02:00:00,2025-10-13T02:00:00,62.0,10,SetByAsk
2025-10-13 02:00:00,2025-10-13T02:00:00,62.0,7,SetByAsk
2025-10-13 02:00:00,2025-10-13T02:00:00,62.0,7,SetByAsk
2025-10-13 02:00:00,2025-10-13T02:00:00,62.0,7,SetByAsk
2025-10-13 02:00:00,2025-10-13T02:00:00,62.53,2,SetByAsk
2025-10-13 02:00:00,2025-10-13T02:00:00,62.49,1,SetByAsk
2025-10-13 02:00:01,2025-10-13T02:00:01,62.61,1,SetByBid
2025-10-13 02:00:01,2025-10-13T02:00:01,62.61,1,SetByBid
2025-10-13 02:00:01,2025-10-13T02:00:01,62.61,1,SetByBid
2025-10-13 02:00:01,2025-10-13T02:00:01,62.61,1,SetByBid
2025-10-13 02:00:01,2025-10-13T02:00:01,62.61,1,SetByBid
2025-10-13 02:00:01,2025-10-13T02:00:01,62.57,1,SetByAsk
2025-10-13 02:00:02,2025-10-13T02:00:02,62.64,1,SetByBid
2025-10-13 02:00:04,2025-10-13T02:00:04,62.51,1,SetByAsk
2025-10-13 02:00:05,2025-10-13T02:00:05,62.48,10,SetByBid
2025-10-13 02:00:06,2025-10-13T02:00:06,62.5,2,SetByBid
2025-10-13 02:00:06,2025-10-13T02:00:06,62.48,1,SetByAsk
2025-10-13 02:00:09,2025-10-13T02:00:09,62.54,1,SetByBid
2025-10-13 02:00:09,2025-10-13T02:00:09,62.49,2,SetByAsk
2025-10-13 02:00:11,2025-10-13T02:00:11,62.63,1,SetByAsk
2025-10-13 02:00:11,2025-10-13T02:00:11,62.65,1,SetByAsk
2025-10-13 02:00:11,2025-10-13T02:00:11,62.66,1,SetByAsk
2025-10-13 02:00:11,2025-10-13T02:00:11,62.65,1,SetByAsk
2025-10-13 02:00:11,2025-10-13T02:00:11,62.68,1,SetByAsk
2025-10-13 02:00:11,2025-10-13T02:00:11,62.67,1,SetByAsk
2025-10-13 02:00:11,2025-10-13T02:00:11,62.67,2,SetByAsk
2025-10-13 02:00:11,2025-10-13T02:00:11,62.67,1,SetByAsk
2025-10-13 02:00:14,2025-10-13T02:00:14,62.65,1,SetByBid
2025-10-13 02:00:20,2025-10-13T02:00:20,62.69,1,SetByAsk
2025-10-13 02:00:23,2025-10-13T02:00:23,62.58,1,SetByAsk
2025-10-13 02:00:31,2025-10-13T02:00:31,62.91,17,SetByAsk
2025-10-13 02:00:31,2025-10-13T02:00:31,62.72,1,SetByBid
2025-10-13 02:00:38,2025-10-13T02:00:38,62.67,1,SetByBid
2025-10-13 02:00:40,2025-10-13T02:00:40,62.71,1,SetByBid
2025-10-13 02:00:50,2025-10-13T02:00:50,62.75,1,SetByBid
2025-10-13 02:01:04,2025-10-13T02:01:04,62.84,5,SetByAsk
2025-10-13 02:01:04,2025-10-13T02:01:04,62.84,4,SetByAsk
2025-10-13 02:01:04,2025-10-13T02:01:04,62.81,1,SetByAsk
2025-10-13 02:01:05,2025-10-13T02:01:05,62.81,1,SetByAsk
2025-10-13 02:01:05,2025-10-13T02:01:05,62.81,1,SetByAsk
2025-10-13 02:01:05,2025-10-13T02:01:05,62.81,1,SetByAsk
2025-10-13 02:01:05,2025-10-13T02:01:05,62.81,1,SetByAsk
2025-10-13 02:01:08,2025-10-13T02:01:08,62.87,1,SetByBid
2025-10-13 02:01:08,2025-10-13T02:01:08,62.87,1,SetByBid
2025-10-13 02:01:08,2025-10-13T02:01:08,62.87,1,SetByBid
2025-10-13 02:01:08,2025-10-13T02:01:08,62.91,1,SetByBid
2025-10-13 02:01:08,2025-10-13T02:01:08,62.91,1,SetByBid
2025-10-13 02:01:09,2025-10-13T02:01:09,62.92,1,SetByBid
2025-10-13 02:01:09,2025-10-13T02:01:09,62.92,1,SetByBid
2025-10-13 02:01:10,2025-10-13T02:01:10,62.9,2,SetByBid
2025-10-13 02:01:10,2025-10-13T02:01:10,62.92,1,SetByBid
2025-10-13 02:01:11,2025-10-13T02:01:11,62.94,1,SetByBid
2025-10-13 02:01:11,2025-10-13T02:01:11,62.95,6,SetByBid
2025-10-13 02:01:12,2025-10-13T02:01:12,62.95,2,SetByBid
2025-10-13 02:01:12,2025-10-13T02:01:12,62.95,1,SetByBid
2025-10-13 02:01:14,2025-10-13T02:01:14,62.95,1,SetByBid
2025-10-13 02:01:14,2025-10-13T02:01:14,62.95,2,SetByBid
2025-10-13 02:01:14,2025-10-13T02:01:14,62.95,1,SetByBid
2025-10-13 02:01:14,2025-10-13T02:01:14,62.95,1,SetByBid
2025-10-13 02:01:15,2025-10-13T02:01:15,62.95,1,SetByBid
2025-10-13 02:01:15,2025-10-13T02:01:15,62.95,1,SetByBid
2025-10-13 02:01:15,2025-10-13T02:01:15,62.95,1,SetByBid
2025-10-13 02:01:15,2025-10-13T02:01:15,62.95,1,SetByBid
2025-10-13 02:01:15,2025-10-13T02:01:15,62.95,1,SetByBid
2025-10-13 02:01:15,2025-10-13T02:01:15,62.95,1,SetByBid
2025-10-13 02:01:15,2025-10-13T02:01:15,62.95,1,SetByBid
2025-10-13 02:01:15,2025-10-13T02:01:15,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.94,1,SetByAsk
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,2,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,4,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,4,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:16,2025-10-13T02:01:16,62.95,1,SetByBid
2025-10-13 02:01:22,2025-10-13T02:01:22,62.99,1,SetByBid
2025-10-13 02:01:23,2025-10-13T02:01:23,62.98,1,SetByBid
2025-10-13 02:01:30,2025-10-13T02:01:30,63.0,1,SetByAsk
2025-10-13 02:01:30,2025-10-13T02:01:30,63.0,1,SetByAsk
2025-10-13 02:01:30,2025-10-13T02:01:30,63.0,1,SetByAsk
2025-10-13 02:01:31,2025-10-13T02:01:31,63.05,1,SetByBid
2025-10-13 02:01:39,2025-10-13T02:01:39,63.07,1,SetByAsk
2025-10-13 02:01:40,2025-10-13T02:01:40,63.07,1,SetByAsk
2025-10-13 02:01:40,2025-10-13T02:01:40,63.07,1,SetByAsk
2025-10-13 02:02:01,2025-10-13T02:02:01,63.08,1,SetByBid
2025-10-13 02:02:07,2025-10-13T02:02:07,63.08,1,SetByBid
2025-10-13 02:02:07,2025-10-13T02:02:07,63.08,1,SetByBid
2025-10-13 02:02:07,2025-10-13T02:02:07,63.08,1,SetByBid
2025-10-13 02:02:07,2025-10-13T02:02:07,63.08,1,SetByBid
2025-10-13 02:02:12,2025-10-13T02:02:12,63.06,4,SetByAsk
2025-10-13 02:02:12,2025-10-13T02:02:12,63.06,2,SetByAsk
2025-10-13 02:02:48,2025-10-13T02:02:48,63.08,1,SetByAsk
2025-10-13 02:03:04,2025-10-13T02:03:04,63.09,1,SetByAsk
2025-10-13 02:03:04,2025-10-13T02:03:04,63.09,1,SetByAsk
2025-10-13 02:03:04,2025-10-13T02:03:04,63.09,1,SetByAsk
2025-10-13 02:03:19,2025-10-13T02:03:19,63.15,1,SetByBid
2025-10-13 02:04:13,2025-10-13T02:04:13,63.21,1,SetByBid
2025-10-13 02:04:21,2025-10-13T02:04:21,63.18,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.18,3,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.18,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.18,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.17,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.17,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.17,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.17,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.16,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.16,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.16,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.16,2,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.15,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.15,1,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.15,7,SetByAsk
2025-10-13 02:04:21,2025-10-13T02:04:21,63.15,1,SetByAsk
