Time,Time,%BRN 1!-ICE.Price,%BRN 1!-ICE.Size,%BRN 1!-ICE.Conditions
2026-01-08 00:00:01,2026-01-08T00:00:01,59.77,1.0,SetByAsk
2026-01-08 00:00:06,2026-01-08T00:00:06,59.78,1.0,SetByBid
2026-01-08 00:00:09,2026-01-08T00:00:09,59.77,4.0,SetByAsk
2026-01-08 00:00:17,2026-01-08T00:00:17,59.78,1.0,SetByBid
2026-01-08 00:00:19,2026-01-08T00:00:19,59.79,3.0,SetByAsk
2026-01-08 00:00:23,2026-01-08T00:00:23,59.79,1.0,SetByAsk
2026-01-08 00:00:27,2026-01-08T00:00:27,59.79,1.0,SetByBid
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,1.0,SetByAsk
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,2.0,SetByAsk
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,1.0,SetByAsk
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,1.0,SetByAsk
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,1.0,SetByAsk
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,2.0,SetByAsk
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,1.0,SetByAsk
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,1.0,SetByAsk
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,1.0,SetByAsk
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,1.0,SetByAsk
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,1.0,SetByAsk
2026-01-08 00:00:53,2026-01-08T00:00:53,59.76,1.0,SetByAsk
2026-01-08 00:00:56,2026-01-08T00:00:56,59.77,2.0,SetByBid
2026-01-08 00:01:00,2026-01-08T00:01:00,59.77,1.0,SetByBid
2026-01-08 00:01:05,2026-01-08T00:01:05,59.78,1.0,SetByBid
2026-01-08 00:01:32,2026-01-08T00:01:32,59.78,1.0,SetByBid
2026-01-08 00:02:01,2026-01-08T00:02:01,59.78,2.0,SetByBid
2026-01-08 00:02:01,2026-01-08T00:02:01,59.78,1.0,SetByBid
2026-01-08 00:02:01,2026-01-08T00:02:01,59.78,2.0,SetByBid
2026-01-08 00:02:32,2026-01-08T00:02:32,59.79,1.0,SetByBid
2026-01-08 00:02:36,2026-01-08T00:02:36,59.8,3.0,SetByBid
2026-01-08 00:02:36,2026-01-08T00:02:36,59.8,1.0,SetByBid
2026-01-08 00:02:36,2026-01-08T00:02:36,59.8,1.0,SetByBid
2026-01-08 00:02:36,2026-01-08T00:02:36,59.8,1.0,SetByBid
2026-01-08 00:02:36,2026-01-08T00:02:36,59.8,1.0,SetByBid
2026-01-08 00:02:36,2026-01-08T00:02:36,59.8,1.0,SetByAsk
2026-01-08 00:02:36,2026-01-08T00:02:36,59.8,1.0,SetByAsk
2026-01-08 00:02:36,2026-01-08T00:02:36,59.8,1.0,SetByAsk
2026-01-08 00:02:36,2026-01-08T00:02:36,59.8,1.0,SetByAsk
2026-01-08 00:02:36,2026-01-08T00:02:36,59.8,1.0,SetByAsk
2026-01-08 00:02:39,2026-01-08T00:02:39,59.81,1.0,SetByBid
2026-01-08 00:02:51,2026-01-08T00:02:51,59.82,1.0,SetByBid
2026-01-08 00:02:51,2026-01-08T00:02:51,59.82,1.0,SetByBid
2026-01-08 00:02:51,2026-01-08T00:02:51,59.82,1.0,SetByBid
2026-01-08 00:02:54,2026-01-08T00:02:54,59.82,1.0,SetByAsk
2026-01-08 00:02:54,2026-01-08T00:02:54,59.82,1.0,SetByAsk
2026-01-08 00:03:01,2026-01-08T00:03:01,59.82,2.0,SetByBid
2026-01-08 00:03:04,2026-01-08T00:03:04,59.82,2.0,SetByBid
2026-01-08 00:03:04,2026-01-08T00:03:04,59.82,1.0,SetByBid
2026-01-08 00:03:25,2026-01-08T00:03:25,59.81,1.0,SetByAsk
2026-01-08 00:03:25,2026-01-08T00:03:25,59.81,1.0,SetByAsk
2026-01-08 00:03:25,2026-01-08T00:03:25,59.8,1.0,SetByAsk
2026-01-08 00:03:25,2026-01-08T00:03:25,59.8,1.0,SetByAsk
2026-01-08 00:03:30,2026-01-08T00:03:30,59.8,1.0,SetByBid
2026-01-08 00:03:56,2026-01-08T00:03:56,59.81,1.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,1.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,2.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,2.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,1.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,2.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,1.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,2.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,2.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,1.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,2.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,1.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,2.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,1.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,1.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,1.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,1.0,SetByBid
2026-01-08 00:04:32,2026-01-08T00:04:32,59.82,1.0,SetByBid
2026-01-08 00:04:33,2026-01-08T00:04:33,59.82,1.0,SetByAsk
2026-01-08 00:04:53,2026-01-08T00:04:53,59.82,1.0,SetByBid
2026-01-08 00:04:55,2026-01-08T00:04:55,59.8,1.0,SetByAsk
2026-01-08 00:04:59,2026-01-08T00:04:59,59.82,1.0,SetByBid
2026-01-08 00:05:55,2026-01-08T00:05:55,59.81,1.0,SetByAsk
2026-01-08 00:05:55,2026-01-08T00:05:55,59.81,1.0,SetByAsk
2026-01-08 00:05:58,2026-01-08T00:05:58,59.81,1.0,SetByAsk
2026-01-08 00:05:59,2026-01-08T00:05:59,59.81,1.0,SetByAsk
2026-01-08 00:06:01,2026-01-08T00:06:01,59.8,1.0,SetByAsk
2026-01-08 00:06:02,2026-01-08T00:06:02,59.8,1.0,SetByAsk
2026-01-08 00:06:09,2026-01-08T00:06:09,59.8,1.0,SetByAsk
2026-01-08 00:06:12,2026-01-08T00:06:12,59.8,1.0,SetByAsk
2026-01-08 00:06:12,2026-01-08T00:06:12,59.8,1.0,SetByAsk
2026-01-08 00:06:12,2026-01-08T00:06:12,59.79,1.0,SetByAsk
2026-01-08 00:06:12,2026-01-08T00:06:12,59.79,1.0,SetByAsk
2026-01-08 00:06:15,2026-01-08T00:06:15,59.78,1.0,SetByAsk
2026-01-08 00:06:26,2026-01-08T00:06:26,59.77,1.0,SetByAsk
2026-01-08 00:06:52,2026-01-08T00:06:52,59.79,1.0,SetByBid
2026-01-08 00:06:52,2026-01-08T00:06:52,59.78,1.0,SetByAsk
2026-01-08 00:06:54,2026-01-08T00:06:54,59.78,1.0,SetByAsk
2026-01-08 00:06:54,2026-01-08T00:06:54,59.78,1.0,SetByAsk
2026-01-08 00:06:58,2026-01-08T00:06:58,59.76,1.0,SetByAsk
2026-01-08 00:07:02,2026-01-08T00:07:02,59.77,1.0,SetByBid
2026-01-08 00:07:03,2026-01-08T00:07:03,59.77,1.0,SetByBid
2026-01-08 00:07:04,2026-01-08T00:07:04,59.76,1.0,SetByAsk
2026-01-08 00:07:04,2026-01-08T00:07:04,59.76,1.0,SetByAsk
2026-01-08 00:07:04,2026-01-08T00:07:04,59.76,1.0,SetByAsk
2026-01-08 00:07:04,2026-01-08T00:07:04,59.76,1.0,SetByAsk
2026-01-08 00:07:04,2026-01-08T00:07:04,59.76,1.0,SetByAsk
2026-01-08 00:07:04,2026-01-08T00:07:04,59.76,1.0,SetByAsk
2026-01-08 00:07:06,2026-01-08T00:07:06,59.75,1.0,SetByAsk
2026-01-08 00:07:09,2026-01-08T00:07:09,59.76,1.0,SetByAsk
2026-01-08 00:07:09,2026-01-08T00:07:09,59.76,1.0,SetByBid
2026-01-08 00:07:11,2026-01-08T00:07:11,59.75,1.0,SetByAsk
2026-01-08 00:07:11,2026-01-08T00:07:11,59.75,1.0,SetByAsk
2026-01-08 00:07:23,2026-01-08T00:07:23,59.76,1.0,SetByBid
2026-01-08 00:07:45,2026-01-08T00:07:45,59.76,2.0,SetByBid
2026-01-08 00:07:45,2026-01-08T00:07:45,59.76,1.0,SetByBid
2026-01-08 00:07:55,2026-01-08T00:07:55,59.77,1.0,SetByBid
2026-01-08 00:07:56,2026-01-08T00:07:56,59.77,1.0,SetByBid
2026-01-08 00:08:01,2026-01-08T00:08:01,59.78,1.0,SetByBid
2026-01-08 00:08:04,2026-01-08T00:08:04,59.78,1.0,SetByBid
2026-01-08 00:08:04,2026-01-08T00:08:04,59.78,1.0,SetByAsk
2026-01-08 00:08:04,2026-01-08T00:08:04,59.78,1.0,SetByAsk
2026-01-08 00:08:10,2026-01-08T00:08:10,59.77,2.0,SetByAsk
2026-01-08 00:08:10,2026-01-08T00:08:10,59.77,1.0,SetByAsk
2026-01-08 00:08:11,2026-01-08T00:08:11,59.75,1.0,SetByAsk
2026-01-08 00:08:15,2026-01-08T00:08:15,59.75,1.0,SetByAsk
2026-01-08 00:08:16,2026-01-08T00:08:16,59.75,1.0,SetByAsk
2026-01-08 00:08:17,2026-01-08T00:08:17,59.75,1.0,SetByAsk
2026-01-08 00:08:25,2026-01-08T00:08:25,59.75,1.0,SetByAsk
2026-01-08 00:08:25,2026-01-08T00:08:25,59.75,2.0,SetByAsk
2026-01-08 00:08:25,2026-01-08T00:08:25,59.75,1.0,SetByAsk
2026-01-08 00:08:25,2026-01-08T00:08:25,59.75,1.0,SetByAsk
2026-01-08 00:08:25,2026-01-08T00:08:25,59.75,1.0,SetByAsk
2026-01-08 00:08:25,2026-01-08T00:08:25,59.75,1.0,SetByAsk
2026-01-08 00:08:25,2026-01-08T00:08:25,59.75,1.0,SetByAsk
2026-01-08 00:08:25,2026-01-08T00:08:25,59.75,1.0,SetByAsk
2026-01-08 00:08:27,2026-01-08T00:08:27,59.76,1.0,SetByBid
2026-01-08 00:08:38,2026-01-08T00:08:38,59.76,1.0,SetByBid
2026-01-08 00:08:41,2026-01-08T00:08:41,59.76,1.0,SetByBid
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.76,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.76,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.76,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.76,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.76,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.76,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:41,2026-01-08T00:08:41,59.76,1.0,SetByBid
2026-01-08 00:08:41,2026-01-08T00:08:41,59.76,1.0,SetByBid
2026-01-08 00:08:41,2026-01-08T00:08:41,59.75,1.0,SetByAsk
2026-01-08 00:08:45,2026-01-08T00:08:45,59.77,1.0,SetByBid
2026-01-08 00:08:47,2026-01-08T00:08:47,59.77,1.0,SetByBid
2026-01-08 00:08:51,2026-01-08T00:08:51,59.77,1.0,SetByBid
2026-01-08 00:08:55,2026-01-08T00:08:55,59.75,1.0,SetByAsk
2026-01-08 00:08:55,2026-01-08T00:08:55,59.75,1.0,SetByAsk
2026-01-08 00:08:55,2026-01-08T00:08:55,59.75,1.0,SetByAsk
2026-01-08 00:08:55,2026-01-08T00:08:55,59.75,1.0,SetByAsk
2026-01-08 00:08:59,2026-01-08T00:08:59,59.75,1.0,SetByAsk
2026-01-08 00:08:59,2026-01-08T00:08:59,59.75,1.0,SetByAsk
2026-01-08 00:08:59,2026-01-08T00:08:59,59.75,1.0,SetByAsk
2026-01-08 00:08:59,2026-01-08T00:08:59,59.75,1.0,SetByAsk
2026-01-08 00:08:59,2026-01-08T00:08:59,59.75,1.0,SetByAsk
2026-01-08 00:08:59,2026-01-08T00:08:59,59.75,1.0,SetByAsk
2026-01-08 00:08:59,2026-01-08T00:08:59,59.75,1.0,SetByAsk
2026-01-08 00:08:59,2026-01-08T00:08:59,59.75,1.0,SetByAsk
2026-01-08 00:09:02,2026-01-08T00:09:02,59.77,1.0,SetByBid
2026-01-08 00:09:04,2026-01-08T00:09:04,59.76,1.0,SetByBid
2026-01-08 00:09:13,2026-01-08T00:09:13,59.76,1.0,SetByBid
2026-01-08 00:09:14,2026-01-08T00:09:14,59.76,1.0,SetByBid
2026-01-08 00:09:15,2026-01-08T00:09:15,59.76,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.76,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.76,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.76,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.76,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.76,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.76,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.76,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.76,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.76,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.75,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.75,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.75,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.76,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.75,1.0,SetByAsk
2026-01-08 00:09:15,2026-01-08T00:09:15,59.75,1.0,SetByAsk
2026-01-08 00:09:26,2026-01-08T00:09:26,59.75,1.0,SetByAsk
2026-01-08 00:09:27,2026-01-08T00:09:27,59.76,1.0,SetByAsk
2026-01-08 00:09:27,2026-01-08T00:09:27,59.75,1.0,SetByAsk
2026-01-08 00:09:36,2026-01-08T00:09:36,59.75,1.0,SetByAsk
2026-01-08 00:09:36,2026-01-08T00:09:36,59.75,1.0,SetByAsk
2026-01-08 00:09:36,2026-01-08T00:09:36,59.75,1.0,SetByAsk
2026-01-08 00:09:47,2026-01-08T00:09:47,59.76,1.0,SetByBid
2026-01-08 00:09:47,2026-01-08T00:09:47,59.76,1.0,SetByAsk
