Time,Time,%BRN 1!-ICE.Price,%BRN 1!-ICE.Size,%BRN 1!-ICE.Conditions
2025-12-29 03:00:00,2025-12-29T03:00:00,60.32,7.0,SetByAsk
2025-12-29 03:00:02,2025-12-29T03:00:02,60.22,1.0,SetByAsk
2025-12-29 03:00:03,2025-12-29T03:00:03,60.25,1.0,SetByBid
2025-12-29 03:00:03,2025-12-29T03:00:03,60.25,1.0,SetByAsk
2025-12-29 03:00:03,2025-12-29T03:00:03,60.23,1.0,SetByAsk
2025-12-29 03:00:05,2025-12-29T03:00:05,60.16,1.0,SetByAsk
2025-12-29 03:00:39,2025-12-29T03:00:39,60.25,1.0,SetByBid
2025-12-29 03:00:39,2025-12-29T03:00:39,60.25,1.0,SetByBid
2025-12-29 03:00:39,2025-12-29T03:00:39,60.25,1.0,SetByBid
2025-12-29 03:00:48,2025-12-29T03:00:48,60.27,1.0,SetByBid
2025-12-29 03:00:59,2025-12-29T03:00:59,60.27,1.0,SetByAsk
2025-12-29 03:01:55,2025-12-29T03:01:55,60.28,1.0,SetByAsk
2025-12-29 03:01:55,2025-12-29T03:01:55,60.28,2.0,SetByAsk
2025-12-29 03:01:55,2025-12-29T03:01:55,60.28,2.0,SetByAsk
2025-12-29 03:01:56,2025-12-29T03:01:56,60.28,1.0,SetByAsk
2025-12-29 03:01:56,2025-12-29T03:01:56,60.28,1.0,SetByAsk
2025-12-29 03:01:56,2025-12-29T03:01:56,60.28,1.0,SetByAsk
2025-12-29 03:01:56,2025-12-29T03:01:56,60.28,1.0,SetByAsk
2025-12-29 03:01:56,2025-12-29T03:01:56,60.28,1.0,SetByAsk
2025-12-29 03:02:32,2025-12-29T03:02:32,60.28,1.0,SetByBid
2025-12-29 03:03:30,2025-12-29T03:03:30,60.41,1.0,SetByAsk
2025-12-29 03:04:09,2025-12-29T03:04:09,60.38,1.0,SetByBid
2025-12-29 03:04:20,2025-12-29T03:04:20,60.4,1.0,SetByBid
2025-12-29 03:04:20,2025-12-29T03:04:20,60.4,1.0,SetByBid
2025-12-29 03:04:20,2025-12-29T03:04:20,60.4,1.0,SetByBid
2025-12-29 03:04:20,2025-12-29T03:04:20,60.4,1.0,SetByBid
2025-12-29 03:05:10,2025-12-29T03:05:10,60.36,1.0,SetByBid
2025-12-29 03:08:46,2025-12-29T03:08:46,60.37,3.0,SetByAsk
2025-12-29 03:08:46,2025-12-29T03:08:46,60.39,1.0,SetByBid
2025-12-29 03:09:40,2025-12-29T03:09:40,60.37,3.0,SetByAsk
2025-12-29 03:09:40,2025-12-29T03:09:40,60.37,2.0,SetByAsk
2025-12-29 03:09:40,2025-12-29T03:09:40,60.37,1.0,SetByBid
2025-12-29 03:09:40,2025-12-29T03:09:40,60.37,1.0,SetByAsk
2025-12-29 03:09:40,2025-12-29T03:09:40,60.37,1.0,SetByBid
2025-12-29 03:09:40,2025-12-29T03:09:40,60.37,1.0,SetByBid
2025-12-29 03:09:40,2025-12-29T03:09:40,60.36,1.0,SetByBid
2025-12-29 03:09:40,2025-12-29T03:09:40,60.36,1.0,SetByBid
2025-12-29 03:09:40,2025-12-29T03:09:40,60.36,2.0,SetByBid
2025-12-29 03:09:41,2025-12-29T03:09:41,60.36,1.0,SetByBid
2025-12-29 03:10:05,2025-12-29T03:10:05,60.35,5.0,SetByAsk
2025-12-29 03:10:06,2025-12-29T03:10:06,60.36,1.0,SetByBid
2025-12-29 03:10:28,2025-12-29T03:10:28,60.36,1.0,SetByBid
