Time,Time,%BRN 1!-ICE.Price,%BRN 1!-ICE.Size,%BRN 1!-ICE.Conditions
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,3,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,2,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,3,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,2,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,3,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,2,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,3,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,5,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,3,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,1,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,3,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,10,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,5,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,5,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,5,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,5,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,5,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,5,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,5,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,30,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,100,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,50,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,1,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,1,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,4,SetByAsk
2025-11-03 03:00:00,2025-11-03T03:00:00,65.12,4,SetByAsk
