Time,%BRN 1!-ICE.Price,%BRN 1!-ICE.Size,%BRN 1!-ICE.Conditions
2026-02-02T03:00:00,68.2,7.0,SetByAsk
2026-02-02T03:00:00,68.2,7.0,SetByAsk
2026-02-02T03:00:00,68.01,1.0,SetByAsk
2026-02-02T03:00:00,68.0,1.0,SetByAsk
2026-02-02T03:00:00,68.0,1.0,SetByAsk
2026-02-02T03:00:00,68.0,1.0,SetByAsk
2026-02-02T03:00:00,68.0,2.0,SetByAsk
2026-02-02T03:00:00,68.0,1.0,SetByAsk
2026-02-02T03:00:00,68.02,1.0,SetByBid
2026-02-02T03:00:00,68.06,1.0,SetByAsk
2026-02-02T03:00:00,68.04,1.0,SetByBid
2026-02-02T03:00:00,68.04,1.0,SetByBid
2026-02-02T03:00:01,67.94,1.0,SetByBid
2026-02-02T03:00:01,67.86,1.0,SetByBid
2026-02-02T03:00:01,67.86,1.0,SetByBid
2026-02-02T03:00:01,67.86,1.0,SetByBid
2026-02-02T03:00:01,67.86,1.0,SetByBid
2026-02-02T03:00:01,67.89,1.0,SetByBid
2026-02-02T03:00:01,67.93,1.0,SetByBid
2026-02-02T03:00:02,67.81,1.0,SetByAsk
2026-02-02T03:00:02,67.81,1.0,SetByBid
2026-02-02T03:00:02,67.82,1.0,SetByBid
2026-02-02T03:00:02,67.8,3.0,SetByAsk
2026-02-02T03:00:02,67.81,3.0,SetByBid
2026-02-02T03:00:02,67.81,1.0,SetByAsk
2026-02-02T03:00:02,67.81,1.0,SetByBid
2026-02-02T03:00:03,67.8,16.0,SetByAsk
2026-02-02T03:00:03,67.82,1.0,SetByBid
2026-02-02T03:00:03,67.82,1.0,SetByBid
2026-02-02T03:00:03,67.8,1.0,SetByAsk
2026-02-02T03:00:03,67.57,1.0,SetByBid
2026-02-02T03:00:03,67.57,1.0,SetByBid
2026-02-02T03:00:05,67.7,1.0,SetByAsk
2026-02-02T03:00:06,67.72,2.0,SetByBid
2026-02-02T03:00:06,67.72,1.0,SetByBid
2026-02-02T03:00:07,67.79,1.0,SetByBid
2026-02-02T03:00:07,67.6,1.0,SetByBid
2026-02-02T03:00:08,67.77,1.0,SetByAsk
2026-02-02T03:00:08,67.71,1.0,SetByAsk
2026-02-02T03:00:10,67.65,1.0,SetByAsk
2026-02-02T03:00:11,67.56,1.0,SetByAsk
2026-02-02T03:00:11,67.56,1.0,SetByAsk
2026-02-02T03:00:11,67.56,1.0,SetByAsk
2026-02-02T03:00:11,67.5,5.0,SetByAsk
2026-02-02T03:00:12,67.51,1.0,SetByAsk
2026-02-02T03:00:12,67.58,1.0,SetByAsk
2026-02-02T03:00:12,67.58,1.0,SetByAsk
2026-02-02T03:00:12,67.5,3.0,SetByAsk
2026-02-02T03:00:15,67.53,1.0,SetByBid
2026-02-02T03:00:15,67.5,6.0,SetByAsk
2026-02-02T03:00:16,67.53,1.0,SetByBid
2026-02-02T03:00:16,67.53,2.0,SetByBid
2026-02-02T03:00:16,67.5,100.0,SetByAsk
2026-02-02T03:00:16,67.5,1.0,SetByAsk
2026-02-02T03:00:16,67.49,1.0,SetByAsk
2026-02-02T03:00:16,67.49,1.0,SetByAsk
2026-02-02T03:00:16,67.48,1.0,SetByAsk
2026-02-02T03:00:16,67.48,1.0,SetByAsk
2026-02-02T03:00:16,67.48,1.0,SetByAsk
2026-02-02T03:00:16,67.48,1.0,SetByAsk
2026-02-02T03:00:16,67.48,1.0,SetByAsk
2026-02-02T03:00:16,67.48,1.0,SetByAsk
2026-02-02T03:00:17,67.48,1.0,SetByAsk
2026-02-02T03:00:17,67.48,1.0,SetByAsk
2026-02-02T03:00:17,67.48,1.0,SetByAsk
2026-02-02T03:00:18,67.48,1.0,SetByAsk
2026-02-02T03:00:18,67.48,1.0,SetByAsk
2026-02-02T03:00:19,67.48,1.0,SetByAsk
2026-02-02T03:00:19,67.48,1.0,SetByAsk
2026-02-02T03:00:19,67.48,1.0,SetByAsk
2026-02-02T03:00:19,67.49,1.0,SetByAsk
2026-02-02T03:00:19,67.49,1.0,SetByAsk
2026-02-02T03:00:19,67.49,1.0,SetByAsk
2026-02-02T03:00:19,67.49,1.0,SetByAsk
2026-02-02T03:00:19,67.49,1.0,SetByAsk
2026-02-02T03:00:19,67.5,1.0,SetByBid
2026-02-02T03:00:19,67.49,1.0,SetByAsk
2026-02-02T03:00:19,67.5,1.0,SetByBid
2026-02-02T03:00:19,67.47,1.0,SetByAsk
2026-02-02T03:00:20,67.45,2.0,SetByBid
2026-02-02T03:00:20,67.45,1.0,SetByBid
2026-02-02T03:00:23,67.42,1.0,SetByAsk
2026-02-02T03:00:23,67.42,1.0,SetByAsk
2026-02-02T03:00:23,67.4,25.0,SetByAsk
2026-02-02T03:00:27,67.34,4.0,SetByAsk
2026-02-02T03:00:27,67.34,2.0,SetByAsk
2026-02-02T03:00:32,67.34,5.0,SetByBid
2026-02-02T03:00:32,67.34,3.0,SetByBid
2026-02-02T03:00:32,67.34,1.0,SetByBid
2026-02-02T03:00:36,67.26,1.0,SetByAsk
2026-02-02T03:00:37,67.25,19.0,SetByAsk
2026-02-02T03:00:37,67.25,1.0,SetByAsk
2026-02-02T03:00:37,67.25,15.0,SetByAsk
2026-02-02T03:00:37,67.25,1.0,SetByAsk
2026-02-02T03:00:37,67.25,13.0,SetByAsk
2026-02-02T03:00:37,67.25,1.0,SetByAsk
2026-02-02T03:00:37,67.25,3.0,SetByAsk
2026-02-02T03:00:37,67.21,1.0,SetByAsk
2026-02-02T03:00:38,67.21,2.0,SetByAsk
2026-02-02T03:00:38,67.21,3.0,SetByAsk
2026-02-02T03:00:38,67.21,2.0,SetByAsk
2026-02-02T03:00:38,67.24,5.0,SetByBid
2026-02-02T03:00:39,67.24,3.0,SetByBid
2026-02-02T03:00:39,67.24,1.0,SetByBid
2026-02-02T03:00:42,67.25,13.0,SetByAsk
2026-02-02T03:00:42,67.25,14.0,SetByAsk
2026-02-02T03:00:42,67.25,3.0,SetByAsk
2026-02-02T03:00:42,67.25,3.0,SetByAsk
2026-02-02T03:00:42,67.24,4.0,SetByAsk
2026-02-02T03:00:42,67.24,4.0,SetByAsk
2026-02-02T03:00:42,67.24,1.0,SetByAsk
2026-02-02T03:00:42,67.24,1.0,SetByAsk
2026-02-02T03:00:42,67.24,15.0,SetByAsk
2026-02-02T03:00:42,67.24,3.0,SetByAsk
2026-02-02T03:00:42,67.24,3.0,SetByAsk
2026-02-02T03:00:42,67.24,9.0,SetByAsk
2026-02-02T03:00:42,67.24,12.0,SetByAsk
2026-02-02T03:00:42,67.22,1.0,SetByAsk
2026-02-02T03:00:42,67.21,1.0,SetByAsk
2026-02-02T03:00:42,67.21,1.0,SetByAsk
2026-02-02T03:00:42,67.2,1.0,SetByAsk
2026-02-02T03:00:42,67.2,1.0,SetByAsk
2026-02-02T03:00:42,67.2,8.0,SetByAsk
2026-02-02T03:00:42,67.2,2.0,SetByAsk
2026-02-02T03:00:49,67.22,9.0,SetByBid
2026-02-02T03:00:52,67.22,1.0,SetByBid
2026-02-02T03:00:52,67.22,1.0,SetByBid
2026-02-02T03:00:52,67.2,1.0,SetByAsk
2026-02-02T03:00:55,67.16,5.0,SetByBid
2026-02-02T03:00:55,67.16,3.0,SetByBid
2026-02-02T03:00:57,67.16,1.0,SetByBid
2026-02-02T03:00:57,67.16,3.0,SetByBid
2026-02-02T03:00:57,67.16,1.0,SetByBid
2026-02-02T03:00:57,67.16,1.0,SetByBid
2026-02-02T03:00:57,67.16,1.0,SetByBid
2026-02-02T03:00:57,67.16,3.0,SetByBid
2026-02-02T03:00:57,67.16,3.0,SetByBid
2026-02-02T03:00:57,67.16,1.0,SetByBid
2026-02-02T03:00:57,67.16,1.0,SetByBid
2026-02-02T03:00:57,67.16,2.0,SetByBid
2026-02-02T03:00:57,67.16,1.0,SetByBid
2026-02-02T03:00:57,67.16,3.0,SetByBid
2026-02-02T03:00:57,67.16,1.0,SetByBid
2026-02-02T03:00:58,67.18,2.0,SetByBid
2026-02-02T03:00:58,67.18,1.0,SetByBid
2026-02-02T03:00:58,67.18,1.0,SetByBid
2026-02-02T03:00:58,67.18,2.0,SetByBid
2026-02-02T03:00:58,67.18,2.0,SetByBid
2026-02-02T03:00:58,67.18,3.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:00:59,67.16,1.0,SetByBid
2026-02-02T03:01:00,67.16,1.0,SetByBid
2026-02-02T03:01:00,67.16,1.0,SetByBid
2026-02-02T03:01:00,67.16,1.0,"SetByAsk, Leg"
2026-02-02T03:01:00,67.17,1.0,"SetByAsk, Leg"
2026-02-02T03:01:00,67.16,1.0,"SetByAsk, Leg"
2026-02-02T03:01:00,67.17,2.0,SetByBid
2026-02-02T03:01:00,67.17,1.0,SetByBid
2026-02-02T03:01:00,67.17,1.0,SetByBid
2026-02-02T03:01:00,67.17,2.0,SetByBid
2026-02-02T03:01:00,67.17,2.0,SetByBid
2026-02-02T03:01:02,67.22,1.0,SetByBid
2026-02-02T03:01:02,67.22,1.0,SetByBid
2026-02-02T03:01:02,67.22,1.0,SetByBid
2026-02-02T03:01:02,67.22,1.0,SetByBid
2026-02-02T03:01:02,67.22,1.0,SetByBid
2026-02-02T03:01:02,67.22,1.0,SetByBid
2026-02-02T03:01:04,67.19,1.0,SetByAsk
2026-02-02T03:01:05,67.14,1.0,SetByAsk
2026-02-02T03:01:06,67.07,1.0,SetByAsk
2026-02-02T03:01:06,67.07,1.0,SetByAsk
2026-02-02T03:01:06,67.07,1.0,SetByAsk
2026-02-02T03:01:06,67.07,1.0,SetByAsk
2026-02-02T03:01:06,67.07,2.0,SetByAsk
2026-02-02T03:01:06,67.06,2.0,SetByBid
2026-02-02T03:01:06,67.06,2.0,SetByBid
2026-02-02T03:01:07,67.03,1.0,"SetByAsk, Leg"
2026-02-02T03:01:07,67.02,1.0,"SetByAsk, Leg"
2026-02-02T03:01:08,67.01,1.0,SetByAsk
2026-02-02T03:01:08,67.0,1.0,SetByAsk
2026-02-02T03:01:08,67.0,4.0,SetByAsk
2026-02-02T03:01:09,66.99,37.0,SetByAsk
2026-02-02T03:01:12,67.01,1.0,SetByAsk
2026-02-02T03:01:16,67.03,1.0,SetByAsk
2026-02-02T03:01:16,67.03,1.0,SetByAsk
2026-02-02T03:01:16,67.03,2.0,SetByBid
2026-02-02T03:01:16,67.03,1.0,SetByBid
2026-02-02T03:01:17,67.13,1.0,SetByBid
2026-02-02T03:01:19,67.15,1.0,SetByBid
2026-02-02T03:01:19,67.15,1.0,SetByBid
2026-02-02T03:01:19,67.15,1.0,SetByBid
2026-02-02T03:01:21,67.15,1.0,SetByBid
2026-02-02T03:01:21,67.15,1.0,SetByBid
2026-02-02T03:01:21,67.13,1.0,SetByBid
2026-02-02T03:01:24,67.07,1.0,SetByBid
2026-02-02T03:01:24,67.07,1.0,SetByBid
2026-02-02T03:01:24,67.07,1.0,SetByBid
2026-02-02T03:01:24,67.07,1.0,SetByBid
2026-02-02T03:01:24,67.07,1.0,SetByBid
2026-02-02T03:01:24,67.07,1.0,SetByBid
2026-02-02T03:01:24,67.07,1.0,SetByBid
2026-02-02T03:01:24,67.07,1.0,SetByBid
2026-02-02T03:01:24,67.15,1.0,SetByBid
2026-02-02T03:01:24,67.15,1.0,SetByBid
2026-02-02T03:01:25,67.16,1.0,SetByBid
2026-02-02T03:01:28,67.2,1.0,SetByAsk
2026-02-02T03:01:28,67.2,1.0,SetByAsk
2026-02-02T03:01:28,67.2,1.0,"SetByAsk, Leg"
2026-02-02T03:01:29,67.2,1.0,SetByAsk
2026-02-02T03:01:29,67.2,1.0,SetByAsk
2026-02-02T03:01:29,67.2,6.0,SetByBid
2026-02-02T03:01:29,67.2,2.0,SetByBid
2026-02-02T03:01:30,67.31,1.0,SetByBid
2026-02-02T03:01:38,67.33,1.0,SetByBid
2026-02-02T03:01:38,67.33,1.0,SetByBid
2026-02-02T03:01:38,67.32,1.0,SetByAsk
2026-02-02T03:01:48,67.28,1.0,SetByBid
2026-02-02T03:01:48,67.28,1.0,SetByBid
2026-02-02T03:01:48,67.28,1.0,SetByBid
2026-02-02T03:01:48,67.28,3.0,SetByBid
2026-02-02T03:01:48,67.28,1.0,SetByBid
2026-02-02T03:01:48,67.28,3.0,SetByBid
2026-02-02T03:01:55,67.27,1.0,SetByAsk
2026-02-02T03:01:55,67.26,1.0,SetByAsk
2026-02-02T03:01:55,67.26,1.0,SetByAsk
2026-02-02T03:01:55,67.26,1.0,SetByAsk
2026-02-02T03:02:02,67.35,1.0,SetByAsk
2026-02-02T03:02:09,67.35,1.0,SetByAsk
2026-02-02T03:02:09,67.35,1.0,SetByAsk
2026-02-02T03:02:09,67.35,1.0,SetByAsk
2026-02-02T03:02:09,67.35,1.0,SetByAsk
2026-02-02T03:02:23,67.34,1.0,SetByBid
2026-02-02T03:02:27,67.31,1.0,SetByAsk
2026-02-02T03:02:27,67.3,1.0,SetByAsk
2026-02-02T03:02:27,67.3,1.0,SetByAsk
2026-02-02T03:02:38,67.27,1.0,SetByBid
2026-02-02T03:02:38,67.27,1.0,SetByBid
2026-02-02T03:02:41,67.27,1.0,SetByAsk
2026-02-02T03:02:47,67.19,1.0,SetByBid
2026-02-02T03:02:47,67.19,4.0,SetByBid
2026-02-02T03:02:56,67.32,1.0,"SetByAsk, Leg"
2026-02-02T03:03:06,67.18,3.0,SetByBid
2026-02-02T03:03:23,67.3,15.0,SetByAsk
2026-02-02T03:03:23,67.3,1.0,SetByAsk
2026-02-02T03:03:23,67.3,5.0,SetByAsk
2026-02-02T03:03:23,67.3,3.0,SetByAsk
2026-02-02T03:03:23,67.3,1.0,SetByAsk
2026-02-02T03:03:24,67.3,1.0,SetByAsk
2026-02-02T03:03:28,67.3,1.0,"SetByAsk, Leg"
2026-02-02T03:03:28,67.29,1.0,"SetByAsk, Leg"
2026-02-02T03:03:32,67.29,1.0,SetByAsk
2026-02-02T03:03:32,67.29,1.0,SetByAsk
2026-02-02T03:03:37,67.29,2.0,SetByAsk
2026-02-02T03:03:42,67.29,2.0,SetByAsk
2026-02-02T03:03:47,67.29,1.0,SetByAsk
2026-02-02T03:03:47,67.29,1.0,SetByAsk
2026-02-02T03:03:52,67.29,1.0,SetByAsk
2026-02-02T03:03:53,67.29,1.0,SetByAsk
2026-02-02T03:03:54,67.33,3.0,SetByBid
2026-02-02T03:03:54,67.33,2.0,SetByBid
2026-02-02T03:03:57,67.29,1.0,SetByAsk
2026-02-02T03:03:57,67.29,1.0,SetByAsk
2026-02-02T03:04:01,67.41,1.0,SetByBid
2026-02-02T03:04:02,67.32,1.0,"SetByAsk, Leg"
2026-02-02T03:04:02,67.31,1.0,"SetByAsk, Leg"
2026-02-02T03:04:08,67.31,1.0,SetByAsk
2026-02-02T03:04:08,67.31,1.0,SetByAsk
2026-02-02T03:04:09,67.3,1.0,SetByAsk
2026-02-02T03:04:09,67.3,1.0,SetByAsk
2026-02-02T03:04:09,67.3,1.0,SetByAsk
2026-02-02T03:04:16,67.31,1.0,"SetByAsk, Leg"
2026-02-02T03:04:16,67.3,1.0,"SetByAsk, Leg"
2026-02-02T03:04:44,67.19,1.0,SetByAsk
2026-02-02T03:04:44,67.19,1.0,SetByAsk
2026-02-02T03:04:44,67.19,1.0,SetByAsk
2026-02-02T03:04:44,67.19,1.0,SetByAsk
