Time,Time,%BRN 1!-ICE.Price,%BRN 1!-ICE.Size,%BRN 1!-ICE.Conditions
2026-01-20 00:00:11,2026-01-20T00:00:11,63.37,1.0,SetByAsk
2026-01-20 00:03:12,2026-01-20T00:03:12,63.39,1.0,"SetByAsk, Leg"
2026-01-20 00:03:12,2026-01-20T00:03:12,63.38,1.0,"SetByAsk, Leg"
2026-01-20 00:03:12,2026-01-20T00:03:12,63.38,1.0,SetByAsk
2026-01-20 00:03:23,2026-01-20T00:03:23,63.39,1.0,SetByBid
2026-01-20 00:03:23,2026-01-20T00:03:23,63.39,1.0,SetByBid
2026-01-20 00:03:23,2026-01-20T00:03:23,63.39,1.0,SetByBid
2026-01-20 00:03:25,2026-01-20T00:03:25,63.39,1.0,SetByBid
2026-01-20 00:06:38,2026-01-20T00:06:38,63.42,1.0,SetByAsk
2026-01-20 00:06:38,2026-01-20T00:06:38,63.42,1.0,SetByAsk
2026-01-20 00:06:38,2026-01-20T00:06:38,63.42,1.0,SetByAsk
2026-01-20 00:06:38,2026-01-20T00:06:38,63.42,1.0,SetByAsk
2026-01-20 00:06:40,2026-01-20T00:06:40,63.42,1.0,SetByAsk
2026-01-20 00:09:13,2026-01-20T00:09:13,63.42,1.0,SetByBid
2026-01-20 00:09:20,2026-01-20T00:09:20,63.42,1.0,SetByBid
2026-01-20 00:09:26,2026-01-20T00:09:26,63.42,1.0,SetByBid
2026-01-20 00:10:58,2026-01-20T00:10:58,63.42,1.0,SetByBid
2026-01-20 00:10:58,2026-01-20T00:10:58,63.42,1.0,SetByBid
2026-01-20 00:10:58,2026-01-20T00:10:58,63.42,1.0,SetByBid
2026-01-20 00:10:58,2026-01-20T00:10:58,63.42,1.0,SetByBid
2026-01-20 00:10:59,2026-01-20T00:10:59,63.42,1.0,SetByBid
2026-01-20 00:10:59,2026-01-20T00:10:59,63.42,1.0,SetByAsk
2026-01-20 00:12:07,2026-01-20T00:12:07,63.42,1.0,SetByBid
2026-01-20 00:13:02,2026-01-20T00:13:02,63.42,1.0,SetByBid
2026-01-20 00:18:01,2026-01-20T00:18:01,63.41,1.0,SetByAsk
2026-01-20 00:18:01,2026-01-20T00:18:01,63.41,1.0,SetByAsk
2026-01-20 00:18:32,2026-01-20T00:18:32,63.41,1.0,SetByBid
2026-01-20 00:18:57,2026-01-20T00:18:57,63.41,1.0,SetByBid
2026-01-20 00:20:13,2026-01-20T00:20:13,63.42,1.0,SetByBid
2026-01-20 00:20:34,2026-01-20T00:20:34,63.41,1.0,SetByBid
2026-01-20 00:22:34,2026-01-20T00:22:34,63.41,1.0,SetByAsk
2026-01-20 00:27:50,2026-01-20T00:27:50,63.43,1.0,"SetByAsk, Leg"
2026-01-20 00:28:04,2026-01-20T00:28:04,63.44,1.0,"SetByAsk, Leg"
2026-01-20 00:31:19,2026-01-20T00:31:19,63.43,1.0,SetByAsk
2026-01-20 00:34:37,2026-01-20T00:34:37,63.41,1.0,SetByBid
2026-01-20 00:47:10,2026-01-20T00:47:10,63.44,1.0,SetByAsk
2026-01-20 00:47:10,2026-01-20T00:47:10,63.46,1.0,SetByBid
2026-01-20 00:49:43,2026-01-20T00:49:43,63.43,1.0,SetByAsk
2026-01-20 00:49:43,2026-01-20T00:49:43,63.43,1.0,SetByAsk
2026-01-20 00:49:43,2026-01-20T00:49:43,63.43,1.0,SetByAsk
2026-01-20 00:49:43,2026-01-20T00:49:43,63.43,1.0,SetByAsk
2026-01-20 00:49:43,2026-01-20T00:49:43,63.43,1.0,SetByAsk
2026-01-20 00:49:57,2026-01-20T00:49:57,63.42,1.0,SetByAsk
2026-01-20 00:49:57,2026-01-20T00:49:57,63.42,1.0,SetByBid
2026-01-20 00:49:58,2026-01-20T00:49:58,63.41,2.0,SetByBid
2026-01-20 00:50:02,2026-01-20T00:50:02,63.4,1.0,SetByAsk
2026-01-20 00:50:02,2026-01-20T00:50:02,63.4,1.0,SetByAsk
2026-01-20 00:50:23,2026-01-20T00:50:23,63.4,1.0,SetByAsk
2026-01-20 00:50:23,2026-01-20T00:50:23,63.4,1.0,SetByAsk
2026-01-20 00:50:34,2026-01-20T00:50:34,63.4,1.0,"SetByAsk, Leg"
2026-01-20 00:50:34,2026-01-20T00:50:34,63.39,1.0,"SetByAsk, Leg"
2026-01-20 00:50:53,2026-01-20T00:50:53,63.39,1.0,SetByAsk
2026-01-20 00:50:53,2026-01-20T00:50:53,63.39,1.0,SetByAsk
2026-01-20 00:50:59,2026-01-20T00:50:59,63.39,1.0,SetByAsk
2026-01-20 00:51:00,2026-01-20T00:51:00,63.41,1.0,SetByBid
2026-01-20 00:51:04,2026-01-20T00:51:04,63.4,2.0,SetByBid
2026-01-20 00:51:36,2026-01-20T00:51:36,63.4,1.0,SetByBid
2026-01-20 00:51:39,2026-01-20T00:51:39,63.4,6.0,SetByBid
2026-01-20 00:51:39,2026-01-20T00:51:39,63.4,1.0,SetByAsk
2026-01-20 00:51:39,2026-01-20T00:51:39,63.4,1.0,SetByAsk
2026-01-20 00:51:39,2026-01-20T00:51:39,63.4,1.0,SetByBid
2026-01-20 00:51:39,2026-01-20T00:51:39,63.4,1.0,SetByBid
2026-01-20 00:51:40,2026-01-20T00:51:40,63.41,1.0,SetByBid
2026-01-20 00:52:04,2026-01-20T00:52:04,63.41,1.0,SetByBid
2026-01-20 00:52:04,2026-01-20T00:52:04,63.41,2.0,SetByBid
2026-01-20 00:52:04,2026-01-20T00:52:04,63.41,1.0,SetByBid
2026-01-20 00:54:24,2026-01-20T00:54:24,63.46,1.0,SetByAsk
2026-01-20 00:54:24,2026-01-20T00:54:24,63.43,1.0,SetByAsk
2026-01-20 00:54:24,2026-01-20T00:54:24,63.43,1.0,SetByAsk
2026-01-20 00:54:24,2026-01-20T00:54:24,63.42,1.0,SetByAsk
