train_start,train_end,test_start,test_end,selected_params,train_score,train_sharpe,train_total_pnl_cents,train_trades,test_sharpe,test_total_pnl_cents,test_trades,test_max_drawdown_cents,test_win_rate
2025-10,2025-12,2026-01,2026-01,a=1s | b=20c | c=60s | d=10800s | momentum,464.9999999999985,2.7751870966638257,464.9999999999985,41,1.4823889332219176,77.00000000000179,16,-100.99999999999801,0.4375
2025-11,2026-01,2026-02,2026-02,a=1s | b=25c | c=300s | d=21600s | momentum,737.999999999997,4.04884983513096,737.999999999997,38,-0.7476629185291269,-86.99999999999852,19,-405.9999999999993,0.47368421052631576
2025-12,2026-02,2026-03,2026-03,a=1s | b=15c | c=30s | d=21600s | momentum,730.9999999999984,3.2483451951480276,730.9999999999984,48,5.902654967566507,3166.9999999999964,19,-205.0000000000005,0.6842105263157895
