skip_reason,date,signal_time_utc,entry_time_utc,selected_symbol,contract_expiry_date,days_to_expiry,a,b,c,affected_parameter_count,stage
near_expiry_lt_3_business_days,2025-11-26,2025-11-26 07:02:28,2025-11-26 07:07:28,F:BRN\F26,2025-11-28,2.0,300,0.9,900,6,1
near_expiry_lt_3_business_days,2025-11-26,2025-11-26 07:37:11,2025-11-26 07:42:11,F:BRN\F26,2025-11-28,2.0,300,0.9,1800,6,1
near_expiry_lt_3_business_days,2025-11-26,2025-11-26 07:54:56,2025-11-26 07:59:56,F:BRN\F26,2025-11-28,2.0,300,0.9,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:00,2025-11-27 07:01:00,F:BRN\F26,2025-11-28,1.0,60,0.3,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:02,2025-11-27 07:02:02,F:BRN\F26,2025-11-28,1.0,60,0.3,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:12,2025-11-27 07:01:12,F:BRN\F26,2025-11-28,1.0,60,0.3,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:00,2025-11-27 07:01:00,F:BRN\F26,2025-11-28,1.0,60,0.5,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:16,2025-11-27 07:02:16,F:BRN\F26,2025-11-28,1.0,60,0.5,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:02,2025-11-27 07:02:02,F:BRN\F26,2025-11-28,1.0,60,0.5,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:09,2025-11-27 07:01:09,F:BRN\F26,2025-11-28,1.0,60,0.7,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:02:02,2025-11-27 07:03:02,F:BRN\F26,2025-11-28,1.0,60,0.7,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:22,2025-11-27 07:02:22,F:BRN\F26,2025-11-28,1.0,60,0.7,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:41,2025-11-27 07:01:41,F:BRN\F26,2025-11-28,1.0,60,0.9,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:05:59,2025-11-27 07:06:59,F:BRN\F26,2025-11-28,1.0,60,0.9,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:58,2025-11-27 07:02:58,F:BRN\F26,2025-11-28,1.0,60,0.9,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:00,2025-11-27 07:02:00,F:BRN\F26,2025-11-28,1.0,120,0.3,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:02,2025-11-27 07:03:02,F:BRN\F26,2025-11-28,1.0,120,0.3,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:12,2025-11-27 07:02:12,F:BRN\F26,2025-11-28,1.0,120,0.3,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:00,2025-11-27 07:02:00,F:BRN\F26,2025-11-28,1.0,120,0.5,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:16,2025-11-27 07:03:16,F:BRN\F26,2025-11-28,1.0,120,0.5,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:02,2025-11-27 07:03:02,F:BRN\F26,2025-11-28,1.0,120,0.5,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:09,2025-11-27 07:02:09,F:BRN\F26,2025-11-28,1.0,120,0.7,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:02:02,2025-11-27 07:04:02,F:BRN\F26,2025-11-28,1.0,120,0.7,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:22,2025-11-27 07:03:22,F:BRN\F26,2025-11-28,1.0,120,0.7,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:41,2025-11-27 07:02:41,F:BRN\F26,2025-11-28,1.0,120,0.9,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:05:59,2025-11-27 07:07:59,F:BRN\F26,2025-11-28,1.0,120,0.9,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:58,2025-11-27 07:03:58,F:BRN\F26,2025-11-28,1.0,120,0.9,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:00,2025-11-27 07:05:00,F:BRN\F26,2025-11-28,1.0,300,0.3,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:02,2025-11-27 07:06:02,F:BRN\F26,2025-11-28,1.0,300,0.3,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:12,2025-11-27 07:05:12,F:BRN\F26,2025-11-28,1.0,300,0.3,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:00,2025-11-27 07:05:00,F:BRN\F26,2025-11-28,1.0,300,0.5,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:16,2025-11-27 07:06:16,F:BRN\F26,2025-11-28,1.0,300,0.5,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:02,2025-11-27 07:06:02,F:BRN\F26,2025-11-28,1.0,300,0.5,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:09,2025-11-27 07:05:09,F:BRN\F26,2025-11-28,1.0,300,0.7,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:02:02,2025-11-27 07:07:02,F:BRN\F26,2025-11-28,1.0,300,0.7,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:22,2025-11-27 07:06:22,F:BRN\F26,2025-11-28,1.0,300,0.7,3600,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:00:41,2025-11-27 07:05:41,F:BRN\F26,2025-11-28,1.0,300,0.9,900,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:05:59,2025-11-27 07:10:59,F:BRN\F26,2025-11-28,1.0,300,0.9,1800,6,1
near_expiry_lt_3_business_days,2025-11-27,2025-11-27 07:01:58,2025-11-27 07:06:58,F:BRN\F26,2025-11-28,1.0,300,0.9,3600,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:00:00,2025-11-28 07:01:00,F:BRN\F26,2025-11-28,0.0,60,0.3,900,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:06:05,2025-11-28 07:07:05,F:BRN\F26,2025-11-28,0.0,60,0.3,1800,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 08:04:18,2025-11-28 08:05:18,F:BRN\F26,2025-11-28,0.0,60,0.3,3600,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:00:02,2025-11-28 07:01:02,F:BRN\F26,2025-11-28,0.0,60,0.5,900,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 07:48:49,2025-11-28 07:49:49,F:BRN\F26,2025-11-28,0.0,60,0.5,1800,6,1
near_expiry_lt_3_business_days,2025-11-28,2025-11-28 08:11:15,2025-11-28 08:12:15,F:BRN\F26,2025-11-28,0.0,60,0.5,3600,6,1
