skip_reason,date,signal_time_utc,entry_time_utc,selected_symbol,contract_expiry_date,days_to_expiry,a,b,c,affected_parameter_count,stage
forward_filled_entry,2025-01-06,2025-01-06 07:01:08,2025-01-06 07:02:08,F:BRN\H25,2025-01-31,19.0,60,0.3,900,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:01:08,2025-01-06 07:02:08,F:BRN\H25,2025-01-31,19.0,60,0.3,3600,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:02:12,2025-01-06 07:03:12,F:BRN\H25,2025-01-31,19.0,60,0.5,900,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:02:20,2025-01-06 07:03:20,F:BRN\H25,2025-01-31,19.0,60,0.5,3600,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:02:18,2025-01-06 07:03:18,F:BRN\H25,2025-01-31,19.0,60,0.7,1800,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:09:51,2025-01-06 07:10:51,F:BRN\H25,2025-01-31,19.0,60,0.9,900,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:01:08,2025-01-06 07:03:08,F:BRN\H25,2025-01-31,19.0,120,0.3,900,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:00:00,2025-01-06 07:02:00,F:BRN\H25,2025-01-31,19.0,120,0.3,1800,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:01:08,2025-01-06 07:03:08,F:BRN\H25,2025-01-31,19.0,120,0.3,3600,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:02:12,2025-01-06 07:04:12,F:BRN\H25,2025-01-31,19.0,120,0.5,900,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:02:20,2025-01-06 07:04:20,F:BRN\H25,2025-01-31,19.0,120,0.5,3600,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:10:39,2025-01-06 07:12:39,F:BRN\H25,2025-01-31,19.0,120,0.7,3600,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:09:51,2025-01-06 07:11:51,F:BRN\H25,2025-01-31,19.0,120,0.9,900,6,1
forward_filled_entry,2025-01-06,2025-01-06 07:14:08,2025-01-06 07:16:08,F:BRN\H25,2025-01-31,19.0,120,0.9,3600,6,1
