date,old_symbol,new_symbol,old_close_mid,new_open_mid,adjustment_applied
2025-02-03,F:BRN\H25,F:BRN\J25,78.51499938964844,76.42500305175781,-2.089996337890625
2025-03-03,F:BRN\J25,F:BRN\K25,74.3499984741211,73.05500030517578,-1.2949981689453125
2025-04-01,F:BRN\K25,F:BRN\M25,73.11499786376953,74.8949966430664,1.779998779296875
2025-05-01,F:BRN\M25,F:BRN\N25,66.1500015258789,61.064998626708984,-5.085002899169922
2025-06-02,F:BRN\N25,F:BRN\Q25,64.88500213623047,64.29499816894531,-0.5900039672851562
2025-07-01,F:BRN\Q25,F:BRN\U25,70.91500091552734,66.55500030517578,-4.3600006103515625
2025-08-01,F:BRN\U25,F:BRN\V25,69.33999633789062,71.7750015258789,2.4350051879882812
2025-09-01,F:BRN\V25,F:BRN\X25,67.8499984741211,67.25,-0.5999984741210938
2025-10-01,F:BRN\X25,F:BRN\Z25,67.91999816894531,66.11499786376953,-1.8050003051757812
2025-11-03,F:BRN\Z25,F:BRN\F26,65.91000366210938,65.23999786376953,-0.6700057983398438
