selector_kind,mid_total_pnl_cents,actual_total_pnl_cents,actual_minus_mid_pnl_cents,mid_daily_sharpe,actual_daily_sharpe,actual_minus_mid_sharpe,mid_trades,actual_trades,mid_top_trade_removed_pnl_cents,actual_top_trade_removed_pnl_cents
robust_top_trade_neutral,350.89939999999973,-902.0780000000009,-1252.9774000000007,0.3568901625128805,-0.7945357357168389,-1.1514258982297194,93,119,-289.46779999999916,-1542.4451999999997
train_daily_sharpe,1295.2890000000002,465.7839999999994,-829.5050000000008,0.7060333604126475,0.2579452370197924,-0.44808812339285514,126,146,352.5934000000003,-476.9116000000005
train_total_pnl,-591.4835999999964,-1248.4163999999996,-656.9328000000032,-0.37786832738742093,-0.7476377436501417,-0.36976941626272075,150,166,-1012.4773999999959,-1573.4163999999996
