run_key,run_label,fill_model,selector_kind,test_start,signal_time_dubai,entry_time_dubai,exit_time_dubai,side,fill_source,selected_symbol,move_cents,threshold_cents,entry_price,exit_price,net_pnl_cents,abs_pnl_cents,selected_params
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2026-02-01,2026-02-17 18:02:24,2026-02-17 18:07:24,2026-02-18 00:00:00,1,synthetic_dynamic_cost,%BRN 1!-ICE,28.999999999999204,28.227022552145947,67.73,66.37,-138.70919999999995,138.70919999999995,a=300s | b=0.25x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2026-03-01,2026-03-04 15:05:17,2026-03-04 15:10:17,2026-03-04 19:10:17,1,synthetic_dynamic_cost,%BRN 1!-ICE,112.00000000000045,108.06013355493235,83.97,82.69,-131.35880000000012,131.35880000000012,a=300s | b=0.7x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2026-02-01,2026-02-27 13:33:22,2026-02-27 13:38:22,2026-02-27 19:38:22,1,synthetic_dynamic_cost,%BRN 1!-ICE,31.000000000000227,30.856188900554958,71.13,72.46,130.15479999999982,130.15479999999982,a=300s | b=0.25x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2026-03-01,2026-03-16 18:57:55,2026-03-16 19:02:55,2026-03-16 23:02:55,-1,synthetic_dynamic_cost,%BRN 1!-ICE,-182.00000000000074,180.6410728932146,102.96,101.69,122.88159999999961,122.88159999999961,a=300s | b=0.7x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2026-01-01,2026-01-14 14:54:25,2026-01-14 14:57:25,2026-01-14 20:57:25,-1,synthetic_dynamic_cost,%BRN 1!-ICE,-21.999999999999886,21.016146954269423,64.29,65.48,-121.57159999999978,121.57159999999978,a=180s | b=0.25x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2026-03-01,2026-03-24 16:05:10,2026-03-24 16:10:10,2026-03-24 20:10:10,-1,synthetic_dynamic_cost,%BRN 1!-ICE,-214.00000000000006,211.51747816157226,101.38,102.52,-118.05520000000006,118.05520000000006,a=300s | b=0.7x rolling sigma | c=3600s | d=14400s | continuation | exit_by_midnight
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-11-01,2025-11-19 12:12:52,2025-11-19 12:15:52,2025-11-19 18:15:52,-1,synthetic_dynamic_cost,F:BRN\F26,-28.000000000000114,26.30296523427276,64.39,63.235,112.92440000000012,112.92440000000012,a=180s | b=0.25x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-06-01,2025-06-18 18:15:29,2025-06-18 18:18:29,2025-06-19 00:00:00,-1,synthetic_dynamic_cost,F:BRN\Q25,-162.99999999999955,161.26718119650542,75.24000000000001,76.315,-110.50959999999887,110.50959999999887,a=180s | b=0.6x rolling sigma | c=3600s | d=21600s | continuation | exit_by_midnight
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2025-05-01,2025-05-01 17:30:04,2025-05-01 17:33:04,2025-05-01 23:33:04,1,synthetic_dynamic_cost,F:BRN\N25,106.00000000000023,105.5832001717108,60.955,62.004999999999995,102.56179999999972,102.56179999999972,a=180s | b=0.6x rolling sigma | c=3600s | d=21600s | continuation | exit_by_midnight
mid_dynamic_cost_train_total_pnl,Train PnL selector,mid_dynamic_cost,train_total_pnl,2026-02-01,2026-02-19 15:39:09,2026-02-19 15:44:09,2026-02-19 21:44:09,1,synthetic_dynamic_cost,%BRN 1!-ICE,31.000000000000227,30.685312047528523,70.16,71.2,101.19360000000063,101.19360000000063,a=300s | b=0.25x rolling sigma | c=1800s | d=21600s | continuation | exit_by_midnight
